term,cur,prev,diff,ma7,z_like,total
boe,2,0,2,0.4,0.98,2
tv,2,0,2,0.4,0.98,2
씨엠디엘,2,0,2,0.4,0.98,2
아이디어,2,0,2,0.4,0.98,2
한패스,2,0,2,0.4,0.98,2
공모,2,0,2,0.6,0.789,3
수상,2,0,2,0.6,0.789,3
코스닥,2,0,2,0.6,0.789,3
엔비디아,2,1,1,0.8,0.633,4
17일까지,1,0,1,0.2,0.553,1
3년간,1,0,1,0.2,0.553,1
3주,1,0,1,0.2,0.553,1
5세대,1,0,1,0.2,0.553,1
6100,1,0,1,0.2,0.553,1
6개사,1,0,1,0.2,0.553,1
7초,1,0,1,0.2,0.553,1
97조,1,0,1,0.2,0.553,1
a3,1,0,1,0.2,0.553,1
b6,1,0,1,0.2,0.553,1
c5100,1,0,1,0.2,0.553,1
cc,1,0,1,0.2,0.553,1
dt,1,0,1,0.2,0.553,1
efepr,1,0,1,0.2,0.553,1
ev,1,0,1,0.2,0.553,1
ex30,1,0,1,0.2,0.553,1
hlb이노베이션,1,0,1,0.2,0.553,1
mled,1,0,1,0.2,0.553,1
rgb,1,0,1,0.2,0.553,1
tips,1,0,1,0.2,0.553,1
가벼운,1,0,1,0.2,0.553,1
감옥,1,0,1,0.2,0.553,1
개소,1,0,1,0.2,0.553,1
개편,1,0,1,0.2,0.553,1
거미줄,1,0,1,0.2,0.553,1
걷어낸다,1,0,1,0.2,0.553,1
게임,1,0,1,0.2,0.553,1
경제협력,1,0,1,0.2,0.553,1
계열사들,1,0,1,0.2,0.553,1
고사양,1,0,1,0.2,0.553,1
공생협의체,1,0,1,0.2,0.553,1
과기정통부,1,0,1,0.2,0.553,1
광산구,1,0,1,0.2,0.553,1
광주시,1,0,1,0.2,0.553,1
교육소식,1,0,1,0.2,0.553,1
국가인재센터로,1,0,1,0.2,0.553,1
국립한밭대,1,0,1,0.2,0.553,1
국무총리상,1,0,1,0.2,0.553,1
김태년,1,0,1,0.2,0.553,1
누가,1,0,1,0.2,0.553,1
단계,1,0,1,0.2,0.553,1
달빛동맹,1,0,1,0.2,0.553,1
대구,1,0,1,0.2,0.553,1
대기,1,0,1,0.2,0.553,1
돌파구,1,0,1,0.2,0.553,1
두산로보틱스,1,0,1,0.2,0.553,1
라인,1,0,1,0.2,0.553,1
로보스타,1,0,1,0.2,0.553,1
만인계획,1,0,1,0.2,0.553,1
먼저,1,0,1,0.2,0.553,1
메가존클라우드,1,0,1,0.2,0.553,1
못할,1,0,1,0.2,0.553,1
무역회담,1,0,1,0.2,0.553,1
민관,1,0,1,0.2,0.553,1
반독점법,1,0,1,0.2,0.553,1
복합기,1,0,1,0.2,0.553,1
볼보,1,0,1,0.2,0.553,1
부산국제영화제서,1,0,1,0.2,0.553,1
