org,topic,base_score,topic_share,company_focus,hybrid_score
AMD,2,132.3911,0.0091,0.6958,132.3911
AMD,3,79.7588,0.0107,0.4192,79.7588
AMD,1,78.3256,0.0118,0.4117,78.3256
AMD,7,51.0133,0.0086,0.2681,51.0133
AMD,0,40.5311,0.0048,0.2130,40.5311
AMD,6,32.9546,0.0097,0.1732,32.9546
AMD,4,26.6886,0.0056,0.1403,26.6886
AMD,5,11.6282,0.0028,0.0611,11.6282
ASUS,2,74.1667,0.0051,0.6874,74.1667
ASUS,0,49.6157,0.0059,0.4599,49.6157
ASUS,1,48.5203,0.0073,0.4497,48.5203
ASUS,3,30.9409,0.0042,0.2868,30.9409
ASUS,7,13.2774,0.0022,0.1231,13.2774
ASUS,6,10.7461,0.0032,0.0996,10.7461
ASUS,4,6.6721,0.0014,0.0618,6.6721
ASUS,5,5.4265,0.0013,0.0503,5.4265
AUO,2,6.9315,0.0005,0.6046,6.9315
AUO,0,5.5905,0.0007,0.4876,5.5905
AUO,7,5.5905,0.0009,0.4876,5.5905
AUO,4,2.9654,0.0006,0.2586,2.9654
AUO,5,2.3256,0.0006,0.2028,2.3256
AUO,3,2.0627,0.0003,0.1799,2.0627
AUO,1,1.3863,0.0002,0.1209,1.3863
AUO,6,0.7164,0.0002,0.0625,0.7164
Acer,2,67.2353,0.0046,0.7200,67.2353
Acer,0,44.0252,0.0052,0.4715,44.0252
Acer,1,38.8162,0.0058,0.4157,38.8162
Acer,3,23.3776,0.0031,0.2504,23.3776
Acer,6,10.0297,0.0030,0.1074,10.0297
Acer,7,9.7834,0.0016,0.1048,9.7834
Acer,4,2.9654,0.0006,0.0318,2.9654
Acer,5,1.5504,0.0004,0.0166,1.5504
BMW,2,52.6792,0.0036,0.5597,52.6792
BMW,1,49.2134,0.0074,0.5228,49.2134
BMW,3,43.3173,0.0058,0.4602,43.3173
BMW,0,33.5430,0.0040,0.3564,33.5430
BMW,7,16.7715,0.0028,0.1782,16.7715
BMW,6,16.4773,0.0049,0.1751,16.4773
BMW,4,8.8962,0.0019,0.0945,8.8962
BMW,5,5.4265,0.0013,0.0577,5.4265
BOE,2,726.4182,0.0498,0.7255,726.4182
BOE,0,524.1097,0.0618,0.5235,524.1097
BOE,1,310.5299,0.0466,0.3102,310.5299
BOE,3,237.9013,0.0321,0.2376,237.9013
BOE,7,143.2566,0.0240,0.1431,143.2566
BOE,4,120.0986,0.0252,0.1200,120.0986
BOE,5,96.1263,0.0235,0.0960,96.1263
BOE,6,53.0139,0.0157,0.0530,53.0139
BYD,2,79.0188,0.0054,0.7600,79.0188
BYD,3,41.2546,0.0056,0.3968,41.2546
BYD,0,34.2418,0.0040,0.3293,34.2418
BYD,1,31.8848,0.0048,0.3067,31.8848
BYD,6,17.9101,0.0053,0.1723,17.9101
BYD,4,14.0856,0.0030,0.1355,14.0856
BYD,7,11.8798,0.0020,0.1143,11.8798
BYD,5,3.8761,0.0009,0.0373,3.8761
Bosch,7,2.0964,0.0004,0.5957,2.0964
Bosch,5,1.5504,0.0004,0.4405,1.5504
Bosch,4,1.4827,0.0003,0.4213,1.4827
Bosch,2,1.3863,0.0001,0.3939,1.3863
Bosch,6,0.7164,0.0002,0.2036,0.7164
Bosch,1,0.6931,0.0001,0.1970,0.6931
Bosch,3,0.6876,0.0001,0.1954,0.6876
CES,2,208.6373,0.0143,0.6973,208.6373
CES,6,113.1918,0.0334,0.3783,113.1918
CES,0,96.4362,0.0114,0.3223,96.4362
CES,7,85.9540,0.0144,0.2873,85.9540
CES,1,76.9393,0.0116,0.2571,76.9393
CES,3,66.6949,0.0090,0.2229,66.6949
CES,5,62.7922,0.0154,0.2099,62.7922
CES,4,46.7050,0.0098,0.1561,46.7050
CSOT,2,432.5238,0.0296,0.7209,432.5238
CSOT,0,322.8516,0.0381,0.5381,322.8516
CSOT,1,180.2183,0.0271,0.3004,180.2183
CSOT,3,121.0134,0.0163,0.2017,121.0134
CSOT,7,97.8338,0.0164,0.1631,97.8338
CSOT,4,77.8417,0.0163,0.1297,77.8417
CSOT,5,72.0947,0.0176,0.1202,72.0947
CSOT,6,26.5069,0.0078,0.0442,26.5069
Corning,2,2.0794,0.0001,0.7252,2.0794
Corning,3,1.3752,0.0002,0.4796,1.3752
Corning,4,0.7413,0.0002,0.2585,0.7413
Corning,0,0.6988,0.0001,0.2437,0.6988
Corning,7,0.6988,0.0001,0.2437,0.6988
Corning,1,0.6931,0.0001,0.2417,0.6931
Counterpoint,3,5.5006,0.0007,0.5529,5.5006
Counterpoint,2,4.8520,0.0003,0.4877,4.8520
