org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
10km,0,0,0,0,0,0,1,0,0,0,0,0,3,1
120Hz,0,1,0,0,0,0,0,0,2,1,0,0,0,0
12억달러,1,2,0,1,1,4,2,2,3,3,1,5,0,2
192개,0,0,0,0,0,0,1,2,0,0,2,0,1,0
1위,2,2,0,3,4,2,3,1,4,5,0,2,2,3
1차,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024년,5,1,1,3,0,1,0,4,2,4,4,1,3,2
2030년,1,2,0,1,1,4,2,2,3,3,1,5,0,2
2030년에,3,2,0,2,1,4,2,1,3,3,0,5,0,2
2가지,0,2,0,0,1,2,2,0,2,3,4,1,2,0
2개,0,0,1,1,0,0,0,0,1,0,1,0,2,1
2분기,1,2,0,2,4,1,3,0,3,4,1,1,0,1
2위,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3배,0,0,0,1,0,1,2,3,0,2,2,0,3,5
3위,0,0,0,0,1,0,2,1,0,0,2,0,2,0
4가지,0,0,1,1,0,0,0,0,1,0,1,0,2,1
4명,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4분기,1,2,0,3,5,2,4,1,4,3,0,1,2,2
500니트,0,1,0,0,0,0,0,0,2,1,0,0,0,0
5G,5,1,3,2,1,3,0,5,2,3,4,0,4,2
5km,0,0,0,0,0,0,1,0,0,0,0,0,3,1
5위,0,0,0,0,1,0,2,1,0,0,2,0,2,0
6000MT,0,1,1,1,0,2,0,2,0,1,3,1,3,1
8.6G,3,6,0,6,11,4,11,2,12,12,4,7,3,5
8.6세대,6,22,2,23,49,17,41,8,43,36,8,15,12,18
8세대,2,4,0,2,4,2,6,4,10,6,7,2,0,2
8월,0,1,1,1,0,0,1,0,1,3,0,0,0,1
9급,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9이닝당,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AI,18,10,11,11,9,12,10,18,13,22,19,12,23,22
Air,0,0,1,1,0,0,0,0,1,0,1,0,2,1
AMAZE,3,1,1,0,0,1,0,0,1,3,1,0,2,2
AMG,0,1,0,0,0,1,0,0,1,1,1,0,1,1
and,1,0,0,0,0,1,0,0,0,0,0,2,1,1
APEC,0,0,1,0,0,0,1,0,0,0,0,0,2,1
AP시스템,5,10,0,5,10,5,15,7,25,13,17,5,0,5
AR,3,2,2,1,1,1,2,0,4,4,2,3,1,3
Black,0,1,1,1,0,2,0,2,0,1,3,1,3,1
BOE,8,12,1,14,24,7,18,7,25,25,4,8,7,14
by,1,0,0,0,0,1,0,0,0,0,0,2,1,1
CEO,2,0,1,3,0,0,3,2,2,2,2,0,5,3
chips,1,0,0,0,0,1,0,0,0,0,0,2,1,1
CIOE,2,1,0,0,0,0,1,0,1,3,0,0,0,0
CLE,0,1,0,0,0,1,0,0,1,1,1,0,1,1
CLENOX,4,0,0,1,0,19,0,0,0,1,6,12,0,4
CNS,3,5,5,3,3,2,3,3,3,5,2,3,5,2
cooling,1,0,0,0,0,1,0,0,0,0,0,2,1,1
Corintis,1,0,0,0,0,1,0,0,0,0,0,2,1,1
CPU,2,0,1,0,0,1,0,2,0,3,4,1,4,2
DNB,1,2,2,1,1,3,1,0,2,2,0,1,1,1
ELA,5,10,0,5,10,5,15,7,25,13,17,5,0,5
ETF,0,0,0,1,0,1,2,3,0,2,2,0,3,5
e스포츠,1,2,2,1,1,3,1,0,2,2,0,1,1,1
FC,1,2,2,1,1,3,1,0,2,2,0,1,1,1
for,2,0,0,0,0,1,0,0,0,0,0,2,1,1
GPU,2,0,1,0,0,1,0,2,0,3,4,1,4,2
in,1,0,0,0,0,1,0,0,0,0,0,2,1,1
is,1,0,0,0,0,1,0,0,0,0,0,2,1,1
IT,1,6,0,6,14,5,12,1,10,10,1,5,2,6
ITC,2,4,0,4,10,2,6,2,8,8,0,2,0,4
IT기기용,0,2,1,2,5,2,4,0,4,3,0,2,1,1
IT용,1,4,0,5,8,3,8,0,6,8,1,4,1,2
K-pop,3,1,1,0,0,1,0,0,1,3,1,0,2,2
KBO리그,0,0,0,0,1,0,2,1,0,0,2,0,2,0
KCC,0,1,0,1,0,0,3,0,1,1,0,0,2,1
KIA전,0,0,0,0,1,0,2,1,0,0,2,0,2,0
KT,0,0,0,0,1,0,2,1,0,0,2,0,2,0
Laser,1,2,0,1,2,1,3,1,5,2,4,1,0,1
LCD,1,6,4,5,9,6,9,2,11,13,1,7,5,4
LED,12,8,3,9,7,17,12,3,12,14,4,22,4,9
LFD,0,5,4,0,2,1,2,0,3,3,1,2,2,0
LG,3,6,5,4,4,2,6,3,4,7,3,3,6,3
LG디스플레,4,16,3,11,32,16,24,3,24,27,3,9,11,12
LG디스플레이,0,6,2,5,12,7,10,4,11,11,1,6,5,4
LG화학,0,0,0,0,0,0,1,1,0,1,1,0,1,0
LLO,1,2,0,1,2,1,3,1,5,3,3,1,0,1
LTPO,1,3,0,1,1,2,1,1,7,4,1,1,1,2
LTPS,1,2,0,1,1,2,1,1,5,3,1,1,1,2
Meta,5,1,1,3,0,1,0,4,2,4,4,1,3,2
Micro-LED,10,6,2,7,2,16,8,5,8,10,5,20,3,9
NB,2,0,0,1,0,10,0,0,0,0,2,6,0,2
NPU,2,0,1,0,0,1,0,2,0,3,4,1,4,2
of,1,0,0,0,0,1,0,0,0,0,0,2,1,1
OLED,40,106,36,66,132,64,119,31,145,145,46,62,47,54
OMEN,1,18,12,2,7,4,8,0,8,10,3,5,6,1
on,1,0,0,0,0,1,0,0,0,0,0,2,1,1
Opal,0,1,1,1,0,2,0,2,0,1,3,1,3,1
or,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OSAT,0,0,0,1,1,1,1,2,0,2,3,0,1,2
P-Complex,1,0,0,1,0,5,0,0,0,0,1,3,0,1
PC,0,2,4,0,0,0,1,0,1,2,0,0,0,0
