org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
10년,3,1,2,2,0,1,0,0
10월,0,0,0,0,1,0,0,0
11월,3,0,1,2,0,1,0,0
120Hz,0,0,0,1,1,0,1,1
1268만원,0,0,0,0,1,0,0,0
12억달러,1,0,2,4,3,0,4,2
1군,1,0,0,0,0,0,0,0
1위,1,0,4,3,3,0,3,5
2024년,3,1,1,3,2,1,1,1
2030년,1,0,2,4,3,0,4,2
2030년에,1,0,3,4,3,0,4,2
2가지,0,0,1,3,2,0,3,2
2개,1,0,0,1,0,1,0,0
2분기,2,1,6,5,2,1,4,4
3.3m2,0,0,0,0,1,0,0,0
3500억,4,2,4,4,0,2,0,0
3종,0,1,0,0,0,0,0,0
3할2푼8리,1,0,0,0,0,0,0,0
4가지,1,0,0,1,0,1,0,0
4분기,0,0,5,3,3,0,4,5
500니트,0,0,0,1,1,0,1,1
5G,2,2,2,3,3,1,1,2
8.6G,1,0,11,11,9,1,14,10
8.6세대,4,2,51,43,41,2,55,55
84m2,0,0,0,0,1,0,0,0
8세대,2,0,6,6,8,0,8,4
8월,1,0,1,1,1,0,1,1
9월,1,0,2,0,0,0,0,0
AI,19,11,16,30,14,14,16,13
Air,1,0,0,1,0,1,0,0
AMAZE,2,1,0,3,1,1,1,1
AMG,0,0,0,1,1,0,1,1
and,2,0,0,1,0,5,1,0
AP시스템,4,0,15,13,20,0,20,10
AR,3,2,4,8,5,2,5,3
BOE,3,1,25,22,20,3,24,22
by,2,0,0,1,0,5,1,0
chips,2,0,0,1,0,5,1,0
CIOE,0,0,0,2,1,0,1,1
CLE,0,0,0,1,1,0,1,1
CLENOX,0,0,0,5,0,0,8,0
CNS,2,4,3,5,3,1,4,5
cooling,2,0,0,1,0,5,1,0
Corintis,2,0,0,1,0,5,1,0
CTO,0,0,1,4,2,0,4,4
ELA,4,0,15,13,20,0,20,10
EMI,0,0,1,2,2,0,1,1
ETF에,2,1,2,2,0,1,0,0
for,2,0,0,1,0,5,1,0
H-1B,1,2,1,3,1,1,1,0
IBK투자증권,0,1,1,1,0,0,0,0
in,2,0,0,1,0,5,1,0
is,2,0,0,1,0,5,1,0
IT,0,1,16,12,11,0,17,18
ITC,0,0,10,6,6,0,8,8
IT기기용,0,0,4,4,3,0,5,5
IT용,0,0,7,6,4,0,9,8
K-pop,2,1,0,3,1,1,1,1
KBO리그,1,0,0,0,0,0,0,0
KCC,0,0,1,1,1,0,1,2
KT,3,0,1,2,0,1,0,0
Laser,1,0,3,2,4,0,4,2
LCD,1,3,3,6,6,0,6,8
LCK,9,15,0,0,3,0,0,0
LED,5,0,10,19,10,1,18,10
LFD,1,5,1,4,2,0,4,3
LG,4,5,3,7,4,2,5,6
LG디스플레,1,2,38,32,29,0,40,48
LG디스플레이,0,2,14,13,12,0,16,19
LLO,0,0,3,3,4,0,4,2
LTPO,0,0,2,4,5,0,4,3
LTPS,0,0,2,3,4,0,3,2
Meta,3,1,1,3,2,1,1,1
Micro-LED,5,0,9,15,8,1,14,6
MS,2,0,1,3,0,1,1,0
NB,0,0,0,2,0,0,4,0
NC,1,0,0,0,0,0,0,0
of,2,0,0,1,0,5,1,0
OLED,16,26,136,136,122,4,162,157
OMEN,2,9,3,8,5,0,9,7
on,2,0,0,1,0,5,1,0
P-Complex,0,0,0,1,0,0,2,0
PC,1,9,2,4,4,0,4,3
Pin,0,0,0,7,0,0,10,0
Ray-Ban,3,1,1,3,2,1,1,1
RGB,0,0,3,3,2,0,5,4
RPG,3,13,1,6,5,1,5,4
Shot,0,0,0,7,0,0,10,0
SON,9,15,0,0,3,0,0,0
SSG,1,0,0,0,0,0,0,0
SUV,0,0,2,3,2,0,3,2
TFT,0,0,2,3,4,0,3,2
TGS,5,20,2,10,7,1,8,6
that,2,0,0,1,0,5,1,0
the,2,0,0,1,0,5,1,0
to,2,0,0,1,0,5,1,0
View,1,0,0,1,0,1,0,0
Visionox,1,0,3,3,4,0,4,2
VR,2,1,0,3,1,1,1,1
with,2,0,0,1,0,5,1,0
XR,7,5,6,15,10,4,10,8
YTN,1,1,0,3,1,1,2,1
가격,2,0,2,3,2,1,1,1
가능성,0,1,7,7,5,0,7,7
가민,3,0,4,7,2,1,6,2
가장,1,4,4,6,6,0,7,6
가정용,3,1,2,2,0,1,0,0
강력한,0,0,1,3,2,0,3,2
강조했다.,1,0,5,4,3,1,4,4
같은,9,2,9,14,8,2,10,6
개발,2,4,6,13,8,1,12,11
개발한,0,5,0,2,1,0,1,1
개선에,0,1,4,3,3,0,4,5
개의,2,5,0,2,2,1,1,1
갤럭시Z,0,0,1,3,2,0,3,2
거래,0,0,1,1,1,0,1,2
거래일,1,1,0,3,3,0,2,1
거의,2,1,1,2,0,1,0,0
건강,0,1,0,0,0,0,0,0
건설사업관리,0,1,1,1,0,0,0,0
검은색,1,1,0,3,1,1,2,1
것으로,11,5,37,43,36,3,45,39
것이라,3,1,2,2,0,1,0,0
게이머들,1,3,1,2,2,0,3,2
게이밍,4,17,6,14,9,0,15,12
게임,10,44,9,25,19,1,24,19
게임쇼,1,4,2,3,2,0,3,2
결과,3,1,2,2,0,1,0,0
결승,9,15,0,0,3,0,0,0
결혼,9,15,0,0,3,0,0,0
경구용,0,0,2,4,3,0,4,2
경우,0,1,1,1,0,0,0,0
경쟁,1,2,12,11,9,1,12,11
경쟁사들,0,0,4,4,3,0,5,5
경제,2,1,2,2,0,1,0,0
경험,7,4,3,9,6,3,3,4
고객사,1,0,9,7,6,1,8,9
고배당,2,1,2,2,0,1,0,0
고성능,0,0,0,1,1,0,1,1
공간,1,1,1,1,1,0,2,1
공개,9,15,0,0,3,0,0,0
공개된,0,0,2,3,2,0,3,2
공급,1,0,6,6,8,0,8,4
