org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
...국산,0,0,0,0,0,0,0,0,0,1,1
.attr,4,1,3,0,0,1,2,4,2,4,1
.css,4,1,3,0,0,1,2,4,2,4,1
.find,4,1,3,0,0,1,2,4,2,4,1
.val,4,1,3,0,0,1,2,4,2,4,1
1로,3,1,0,1,1,0,0,2,2,3,0
2023년,4,4,2,1,4,0,1,2,2,3,1
2025년,2,1,1,0,0,0,0,2,1,7,2
2026년형,2,2,0,1,2,2,1,2,2,2,0
2026학년도,3,1,0,1,1,0,0,2,2,3,0
26일부터,0,1,2,0,1,1,2,1,1,3,3
2차전지,2,2,3,5,5,1,2,1,3,3,2
3년간,2,5,1,2,3,0,0,3,2,2,0
3분기,1,3,0,2,3,2,2,2,0,1,1
3종,3,0,0,0,0,0,1,0,1,2,2
40도,1,0,0,0,0,0,0,3,0,1,2
4855억,1,3,0,2,3,2,2,2,0,1,1
4성,3,0,0,0,0,0,1,0,1,2,2
50대,4,2,0,0,0,0,0,2,2,3,2
70명,0,0,0,0,1,0,0,1,0,1,0
7호실,0,1,0,0,1,0,0,0,0,0,0
8.6세대,6,8,2,3,7,0,2,4,3,5,2
8월,1,0,0,0,0,0,0,1,1,4,0
9건,1,2,0,3,2,1,0,0,2,3,0
9월,1,1,1,0,0,0,0,1,0,3,2
AI,7,20,26,10,23,5,23,19,22,16,24
AMD,1,0,3,2,1,0,1,3,5,2,1
Apple,0,0,1,1,2,0,1,2,0,1,3
A씨,5,2,3,0,0,0,1,3,3,4,4
BOE,11,18,6,7,14,0,4,8,8,9,4
BYD,2,2,0,1,2,2,1,2,2,2,0
CBC뉴스,1,0,0,0,1,1,2,0,0,2,1
CD,4,1,3,0,0,1,2,4,2,4,1
CHOSUN,1,1,1,0,0,0,1,1,1,1,1
CPU,1,2,4,3,3,0,2,4,5,2,2
CSOT,2,4,0,2,3,0,1,2,1,2,1
Design,1,6,4,2,6,2,8,4,4,2,4
else,4,1,3,0,0,1,2,4,2,4,1
ESG,0,0,0,0,1,0,0,1,0,1,0
ESS,2,2,3,5,5,1,2,1,3,3,2
ETERNA,0,0,1,1,2,0,1,2,0,1,3
FE,0,0,3,1,0,0,2,0,1,1,3
function,4,1,3,0,0,1,2,4,2,4,1
GFX,1,2,3,3,4,1,4,3,1,3,7
HK이노엔,0,0,0,0,1,0,0,1,0,1,0
HPSP,0,3,2,5,5,0,2,1,3,1,1
id,4,1,3,0,0,1,2,4,2,4,1
IDEA,1,15,14,6,21,32,36,6,11,9,8
iF,1,1,1,0,2,4,5,1,2,2,1
if,4,1,3,0,0,1,2,4,2,4,1
ITC,3,5,3,2,4,0,2,1,3,2,2
IT매체,0,1,0,0,1,1,2,2,1,1,2
IT용,6,8,2,3,7,0,2,4,3,5,2
JV,3,4,2,2,4,0,2,2,4,3,2
KizunaAI,0,1,2,0,1,1,2,1,1,3,3
KODEX,1,2,1,4,4,0,2,3,4,2,1
KT,3,4,2,2,4,0,2,2,4,3,2
LAFC,3,1,3,0,0,0,0,5,3,3,2
LAKE,0,1,2,0,1,1,2,1,1,3,3
LCD,9,24,15,9,25,20,24,8,15,15,11
LCK,3,1,3,0,0,0,0,5,3,3,2
LG,1,1,1,0,2,4,5,1,2,2,1
LG디스플레,1,3,0,2,3,2,2,2,0,1,1
LG디스플레이,1,3,0,2,3,2,2,2,0,1,1
LG전자,8,14,8,8,13,4,11,5,12,11,10
LSE,1,1,0,3,3,0,1,2,3,2,0
LTCAM,1,1,0,3,3,0,1,2,3,2,0
LTPO,3,5,3,2,4,0,2,1,3,2,2
MBN,0,1,1,0,0,0,0,3,0,0,0
MC,0,1,1,0,0,0,0,3,0,0,0
MLS,3,1,3,0,0,0,0,5,3,3,2
NCT,1,0,0,0,0,0,0,1,1,4,0
NC다이노스,0,0,2,0,0,0,0,1,0,1,0
NWS,4,1,3,0,0,1,2,4,2,4,1
OLED,23,44,19,19,38,0,14,18,25,25,18
ProRes,0,0,1,1,2,0,1,2,0,1,3
Samsung,1,9,6,3,9,3,12,6,6,3,6
SK하이닉스,3,1,0,1,1,0,0,2,2,3,0
SWAN,0,1,2,0,1,1,2,1,1,3,3
TIGER,1,2,1,4,4,0,2,3,4,2,1
TSMC,1,0,3,2,1,0,1,3,5,2,1
tvN,0,1,1,0,0,0,0,1,0,1,0
UI,0,0,2,0,0,0,1,2,0,1,1
var,4,1,3,0,0,1,2,4,2,4,1
Web,4,1,3,0,0,1,2,4,2,4,1
XX,1,0,3,0,0,0,1,1,1,1,2
YTN,4,1,1,0,0,0,1,0,2,2,1
가격,10,19,14,12,16,0,10,6,14,12,14
가능,0,1,0,0,1,0,0,0,0,0,0
가능성,0,0,0,0,1,0,0,2,0,2,4
가능한,0,0,0,0,1,1,2,1,0,1,2
가방,1,0,1,0,0,2,1,1,1,4,0
가보자GO,0,1,1,0,0,0,0,3,0,0,0
가장,2,2,2,0,1,2,3,5,3,3,5
가진,1,0,4,0,1,0,1,4,2,2,3
각각,0,3,2,5,5,0,2,1,3,1,1
각각각,0,3,2,5,5,0,2,1,3,1,1
각종,2,0,2,0,0,0,1,1,2,2,3
감각,0,0,0,0,1,0,0,2,0,2,4
감성,0,0,0,0,1,1,2,1,0,1,2
감정,0,1,1,0,0,0,0,1,0,1,0
강은수,2,2,1,0,0,0,0,5,0,2,0
강조했다.,0,3,3,0,4,0,2,2,2,2,2
개발,2,2,3,5,5,1,2,1,3,3,2
개인,1,0,0,0,0,0,0,1,1,4,0
개통,1,2,1,1,2,0,1,1,0,1,1
갤럭시,4,9,9,4,9,3,15,6,8,6,11
거래,1,2,1,4,4,0,2,3,4,2,1
거래일,0,3,2,5,5,0,2,1,3,1,1
건축물로,2,1,0,0,0,0,0,1,1,2,1
검사장비,2,2,3,5,5,1,2,1,3,3,2
것으로,13,17,9,15,19,3,8,14,18,16,7
것이,0,0,2,0,0,0,1,2,0,1,1
것이다.,1,0,1,0,0,2,1,1,1,4,0
게이밍,1,2,2,2,2,1,3,1,1,2,4
결혼식,1,1,1,0,0,0,1,1,1,1,1
경기,3,1,3,0,0,0,0,5,3,3,2
경동나비엔,0,6,2,6,8,15,12,2,3,3,0
경륜경정총괄본부,2,0,2,0,0,0,1,1,2,2,3
경북,4,1,3,0,0,1,2,4,2,4,1
경쟁률,3,1,0,1,1,0,0,2,2,3,0
경직된,2,5,0,1,4,0,0,1,1,2,1
경험,0,3,2,1,3,1,4,2,2,1,2
계약학,3,1,0,1,1,0,0,2,2,3,0
고개,1,0,0,0,0,0,0,3,0,1,2
고객,4,5,3,2,6,4,7,3,6,5,3
고객사,1,1,0,3,3,0,1,2,3,2,0
고독,0,0,0,0,0,0,0,0,0,1,1
고려대,3,1,0,1,1,0,0,2,2,3,0
고령층,1,0,0,0,0,1,1,2,1,1,3
고유무기,3,0,0,0,0,0,1,0,1,2,2
공정,4,7,6,8,9,1,4,2,6,6,5
공주,1,0,3,0,0,0,0,4,1,2,1
공주경찰서,1,0,0,0,0,0,0,1,1,2,1
공주교육지원청,1,0,0,0,0,0,0,1,1,2,1
공주시,1,0,0,0,0,0,0,1,1,2,1
공주중학교,1,0,0,0,0,0,0,1,1,2,1
공직선거법,4,1,1,0,0,0,1,0,2,2,1
과원,2,0,0,1,1,0,0,1,1,3,3
관세,2,4,2,3,3,0,2,1,3,3,4
관수,2,0,0,1,1,0,0,1,1,3,3
광학,0,0,1,1,2,0,1,2,0,1,3
교사,1,0,4,0,1,0,1,4,2,2,3
교사들,1,0,4,0,1,0,1,4,2,2,3
교수,0,0,2,0,0,0,1,1,1,1,1
교원,1,0,4,0,1,0,1,4,2,2,3
교육,1,2,2,2,2,1,3,1,1,2,4
교인들,4,0,1,0,0,0,0,5,1,3,1
교통안전,1,0,0,0,0,0,0,1,1,2,1
교회,4,0,1,0,0,0,0,5,1,3,1
구름,0,0,0,0,0,0,0,0,0,1,1
구속영장,4,2,0,0,0,0,0,2,2,3,2
구조,3,3,0,3,4,2,2,3,1,4,4
국가핵심기술,1,2,0,3,2,1,0,0,2,3,0
국방부,1,0,3,0,0,0,0,4,1,2,1
국제뉴스,0,0,2,0,0,0,1,1,1,1,1
권위,0,4,7,0,8,16,16,0,4,4,3
그냥,1,0,3,0,0,0,1,1,1,1,2
그는,0,1,1,0,0,0,0,1,0,1,0
그래서,4,0,1,0,0,0,0,5,1,3,1
그러면,4,0,1,0,0,0,0,5,1,3,1
그런,6,1,2,0,0,0,0,7,1,4,1
그룹장,0,3,3,0,4,0,2,2,2,2,2
그리고,0,0,0,0,0,0,0,0,0,1,1
그의,0,0,0,0,0,0,0,0,0,1,1
근데,4,0,1,0,0,0,0,5,1,3,1
근절,2,0,2,0,0,0,1,1,2,2,3
글래스,0,1,0,0,1,1,2,2,1,1,2
기간,1,3,2,3,3,2,2,1,3,6,3
기계,1,0,0,0,0,1,1,2,1,1,3
기념,1,1,1,0,0,0,0,1,0,3,2
기능,2,8,10,3,9,3,11,6,7,5,13
기동,0,0,0,0,0,0,0,0,0,1,1
기반,1,2,2,2,2,1,3,1,1,2,4
기업들,2,4,0,2,3,0,1,2,1,2,1
