org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
비전옥스,5,0,6,9,20,0,5,10,1,4,5,2,1,0
사내,0,0,0,0,0,0,0,1,0,0,10,2,2,0
사랑꾼,1,0,0,1,0,0,0,0,0,0,1,0,0,1
사례,1,0,0,0,1,0,1,0,1,1,1,2,0,1
사업,8,4,12,13,7,7,11,11,14,3,10,12,5,3
사업장,1,2,3,2,0,2,0,2,0,0,1,2,0,0
사업장에서,1,2,3,2,0,2,0,2,0,0,1,2,0,0
사용량,0,0,0,0,0,0,0,1,0,0,10,2,2,0
사우디,3,0,1,6,1,1,6,1,8,0,3,3,3,0
사우디아라비아,2,0,1,6,1,0,4,1,6,0,2,2,2,0
사장,2,3,6,3,3,2,3,2,2,3,4,7,1,2
사피엔반도체,3,2,5,4,3,3,3,4,2,1,4,5,4,2
산업,32,15,79,23,38,27,43,45,19,18,31,39,8,5
산업용,2,2,3,3,3,2,1,5,3,0,2,2,0,0
삼성,4,0,8,5,3,2,4,5,9,1,3,4,0,1
삼성디스플레,0,1,6,1,3,2,2,4,0,10,3,5,1,4
삼성디스플레이,2,2,39,4,22,13,15,26,1,61,20,34,10,25
삼성전자,10,4,22,6,14,8,14,20,8,26,12,21,5,13
삼현,2,1,3,1,3,1,1,4,2,0,3,3,1,0
상승률,1,1,1,4,2,0,1,2,1,0,1,4,1,2
상하수도,0,1,0,0,0,0,0,0,1,0,1,0,0,0
상호,0,0,0,2,1,0,0,0,0,0,2,1,0,2
상황실,1,0,0,1,0,0,0,0,2,0,1,1,2,0
새로운,1,5,3,1,1,4,4,3,0,0,3,4,1,2
생산,1,0,7,11,5,1,2,6,1,1,4,6,1,3
생산라인,5,0,6,9,20,1,5,10,1,4,4,1,1,0
샤오미,0,0,1,0,0,0,0,1,0,0,0,0,0,0
서비스,0,3,1,1,0,3,0,1,1,0,3,3,3,1
서울경제TV,0,1,0,0,0,0,0,0,1,0,1,0,0,0
서울대,4,1,2,1,0,1,1,2,1,0,1,0,0,0
서포터즈,1,0,5,3,2,1,3,2,5,1,2,2,0,1
선물세트,0,0,0,0,0,0,0,0,1,0,1,0,3,1
선물하기,0,0,0,0,0,0,0,0,1,0,1,0,3,1
선순위,0,0,1,0,0,0,0,0,0,0,1,0,0,0
섬유,1,1,1,1,0,1,0,1,0,0,3,2,2,1
성공적으로,0,0,1,0,0,0,0,0,0,0,1,0,0,0
성과,7,7,35,0,13,14,22,14,1,7,13,15,0,0
성녀,0,2,0,0,0,0,0,0,0,0,0,4,0,0
성능,4,3,4,2,3,2,3,6,3,5,4,7,1,5
성분,0,9,2,0,0,1,4,2,0,0,2,0,1,2
성장,1,2,1,2,1,0,2,0,2,1,2,3,1,0
세계,12,8,46,3,16,15,25,22,2,8,17,20,3,2
세트,0,0,0,0,0,0,0,0,1,0,1,0,3,1
센서,2,1,3,1,3,1,1,4,2,0,3,3,1,0
션은,0,0,0,1,0,0,0,0,0,0,1,1,0,0
셰이커,1,0,0,3,0,0,2,0,3,0,1,1,1,0
소리꾼,1,0,0,1,1,0,0,0,0,0,1,2,1,0
소송,0,2,1,1,0,3,0,1,0,0,2,3,3,1
소수민족,0,1,0,3,1,1,0,0,0,0,1,1,1,2
소요됐던,0,1,0,0,0,0,0,0,1,0,1,0,0,0
소자,2,1,2,3,4,2,1,4,1,0,3,3,2,0
속도감,0,0,10,0,6,4,4,7,0,20,6,11,4,7
손상,0,0,0,0,0,0,0,0,1,0,2,2,1,0
손실,0,1,0,3,0,0,1,0,1,0,1,0,1,1
솔루션,4,3,3,5,3,2,2,6,4,0,3,3,0,0
송민규,1,0,0,1,0,0,0,0,0,0,1,0,0,1
숏폼,0,0,0,0,0,2,0,1,0,0,0,0,0,0
수면,3,2,1,3,0,1,1,2,1,0,4,3,2,1
수면장애,2,1,0,2,0,0,1,1,1,0,1,1,0,0
수요자들,0,0,0,1,0,0,0,0,0,0,1,0,3,0
수원시민,0,1,0,0,0,0,0,0,1,0,1,0,0,0
수원특례시,0,1,0,0,0,0,0,0,1,0,1,0,0,0
