term,cur,prev,diff,ma7,z_like,total
idea,69,0,69,9.857,14.287,69
디자인,63,0,63,9.143,13.385,64
2025,56,2,54,13.429,9.127,94
코웨이,24,0,24,3.429,7.214,24
47개,23,0,23,3.286,7.009,23
경동나비엔,23,0,23,3.286,7.009,23
아이콘,19,0,19,2.714,6.151,19
정수기,19,0,19,2.714,6.151,19
본상,18,0,18,2.571,5.926,18
삼성전자,29,0,29,7.286,5.87,51
이유,19,0,19,3.0,5.856,21
공모전,16,0,16,2.286,5.46,16
디스플레이,26,0,26,6.571,5.452,46
lg전자,20,3,17,3.857,5.446,27
프로,19,0,19,3.571,5.339,25
2개,15,0,15,2.143,5.218,15
금상,15,0,15,2.143,5.218,15
포함,15,0,15,2.286,5.062,16
삼성d,14,0,14,2.143,4.812,15
지원,15,1,14,2.571,4.774,18
20일,12,0,12,1.714,4.454,12
롯데카드,12,0,12,1.714,4.454,12
반도체,21,2,19,6.0,4.348,42
출시,24,4,20,7.857,4.245,55
16년,11,0,11,1.571,4.184,11
카메라,12,0,12,2.143,4.001,15
9월,15,1,14,3.571,3.955,25
무쌍,10,0,10,1.429,3.905,10
수리온,10,0,10,1.429,3.905,10
오후,10,0,10,1.429,3.905,10
헬기,10,0,10,1.429,3.905,10
oled,23,1,22,8.571,3.674,60
tv,16,0,16,4.571,3.642,32
감성,9,0,9,1.286,3.615,9
연속,11,0,11,2.143,3.595,15
boe,10,1,9,1.857,3.446,13
장비,10,1,9,1.857,3.446,13
않는,8,0,8,1.143,3.314,8
에이팩트,8,0,8,1.143,3.314,8
재평가,8,0,8,1.143,3.314,8
에서,9,0,9,1.571,3.296,11
관련주,15,2,13,4.714,3.243,33
it,10,0,10,2.143,3.189,15
vs,9,3,6,1.714,3.155,12
메타,8,0,8,1.286,3.146,9
초점,8,0,8,1.286,3.146,9
햇살,8,1,7,1.286,3.146,9
주간,11,0,11,2.714,3.13,19
이재용,12,0,12,3.286,3.098,23
55,7,0,7,1.0,3.0,7
6세대,7,0,7,1.0,3.0,7
eterna,7,0,7,1.0,3.0,7
gf,7,0,7,1.0,3.0,7
gfx,7,0,7,1.0,3.0,7
