rank,keyword,score
1,디스플레,6.697487590808217
2,삼성전자,3.932826282493413
3,갤럭시,2.503001914275625
4,기술,2.3544996533858
5,마감,1.979985984006888
6,임직원,1.8694775635759107
7,글로벌,1.7605085500903548
8,실무,1.5876847663482727
9,교육,1.5626697545251083
10,공개,1.5583214705302613
11,인공지능,1.480101926973259
12,관련,1.4780757262855073
13,비전,1.4664893284306308
14,전문,1.3802518965746224
15,업무,1.37464712912523
16,반도체,1.358856387733125
17,단순한,1.2596130028042092
