term,cur,prev,diff,total,ma7,z_like
애플,33,1,32,86,11.0,5.097
삼성,29,2,27,325,24.571,0.743
amd,28,0,28,29,4.143,7.86
삼성전자,9,1,8,65,2.286,2.673
lg,8,1,7,244,26.714,-3.034
현대모비스,6,0,6,14,0.857,2.67
구글,6,0,6,15,1.286,2.209
갤럭시,4,0,4,23,1.714,0.99
폴더블,4,2,2,20,2.143,0.754
아이폰,4,0,4,19,2.143,0.754
lg디스플레이,4,0,4,66,4.143,-0.047
oled,4,2,2,122,5.429,-0.429
엔비디아,3,0,3,10,0.429,1.554
화웨이,2,0,2,4,0.286,1.117
에릭슨,2,0,2,2,0.286,1.117
퀄컴,2,0,2,11,0.429,0.95
boe,2,0,2,16,0.571,0.814
lg전자,2,0,2,23,1.429,0.26
ar,2,0,2,30,1.714,0.124
샤오미,1,0,1,3,0.143,0.622
맥북,1,0,1,8,0.714,0.155
아이패드,1,0,1,6,0.857,0.074
