term,cur,prev,diff,ma7,z_like,total
운세,9,0,9,1.286,3.615,9
별자리,7,0,7,1.0,3.0,7
오늘의,7,0,7,1.0,3.0,8
이도,8,2,6,1.429,2.994,10
각막,6,0,6,0.857,2.67,6
이주의,5,0,5,0.714,2.323,6
최고,5,0,5,0.714,2.323,5
강의,5,1,4,0.857,2.151,6
전참시,5,2,3,1.0,2.0,7
손상,4,0,4,0.571,1.953,4
실명,4,0,4,0.571,1.953,4
중단,4,0,4,0.571,1.953,4
21일,5,3,2,1.143,1.864,8
대규모,4,0,4,0.857,1.632,6
12개월,3,0,3,0.429,1.554,3
모솔연애,3,0,3,0.429,1.554,3
이상훈,3,0,3,0.429,1.554,3
2025년,3,0,3,0.571,1.383,4
위기,3,0,3,0.714,1.239,8
턴어라운드,4,0,4,1.429,1.171,10
24개월,2,0,2,0.286,1.117,2
27세,2,0,2,0.286,1.117,2
고백,2,0,2,0.286,1.117,2
논란에,2,0,2,0.286,1.117,2
등장,2,0,2,0.286,1.117,2
럭셔리,2,0,2,0.286,1.117,3
모솔,2,0,2,0.286,1.117,2
벤츠,2,0,2,0.286,1.117,2
소식,2,0,2,0.286,1.117,4
아이키움정기적금,2,0,2,0.286,1.117,2
저축은,2,0,2,0.286,1.117,2
주주,2,0,2,0.286,1.117,2
진심,2,0,2,0.286,1.117,2
출퇴근,2,0,2,0.286,1.117,2
키움저축은행,2,0,2,0.286,1.117,2
현대차,3,2,1,0.857,1.113,6
상륙,2,1,1,0.429,0.95,4
에서,4,7,-3,1.857,0.907,13
단독,3,0,3,1.143,0.898,8
기대감,2,1,1,0.571,0.814,4
해킹,3,5,-2,1.286,0.803,9
