term,cur,prev,diff,ma7,z_like,total
idea,27,45,-18,10.286,3.973,72
디자인,26,41,-15,9.714,3.956,68
운세,9,0,9,1.286,3.615,9
별자리,7,0,7,1.0,3.0,7
오늘의,7,0,7,1.0,3.0,8
이도,8,2,6,1.429,2.994,10
어워드,16,26,-10,6.0,2.899,42
수상,21,40,-19,9.429,2.843,66
코웨이,12,14,-2,3.714,2.831,26
각막,6,0,6,0.857,2.67,6
아이콘,10,11,-1,3.0,2.562,21
이주의,5,0,5,0.714,2.323,6
최고,5,0,5,0.714,2.323,5
2025,23,36,-13,12.571,2.294,100
정수기,9,11,-2,2.857,2.283,20
프로,10,11,-1,3.571,2.225,27
강의,5,1,4,0.857,2.151,6
전참시,5,2,3,1.0,2.0,7
손상,4,0,4,0.571,1.953,4
실명,4,0,4,0.571,1.953,4
중단,4,0,4,0.571,1.953,4
21일,5,3,2,1.143,1.864,8
47개,9,17,-8,3.714,1.806,26
2개,7,11,-4,2.571,1.701,18
금상,7,11,-4,2.571,1.701,18
대규모,4,0,4,0.857,1.632,6
포함,7,11,-4,2.714,1.619,19
12개월,3,0,3,0.429,1.554,3
모솔연애,3,0,3,0.429,1.554,3
이상훈,3,0,3,0.429,1.554,3
삼성전자,13,21,-8,7.714,1.399,56
2025년,3,0,3,0.571,1.383,4
공모전,6,12,-6,2.571,1.317,18
본상,6,12,-6,2.571,1.317,18
위기,3,0,3,0.714,1.239,8
턴어라운드,4,0,4,1.429,1.171,10
24개월,2,0,2,0.286,1.117,2
27세,2,0,2,0.286,1.117,2
고백,2,0,2,0.286,1.117,2
논란에,2,0,2,0.286,1.117,2
등장,2,0,2,0.286,1.117,2
럭셔리,2,0,2,0.286,1.117,3
모솔,2,0,2,0.286,1.117,2
벤츠,2,0,2,0.286,1.117,2
소식,2,0,2,0.286,1.117,4
아이키움정기적금,2,0,2,0.286,1.117,2
저축은,2,0,2,0.286,1.117,2
주주,2,0,2,0.286,1.117,2
진심,2,0,2,0.286,1.117,2
출퇴근,2,0,2,0.286,1.117,2
키움저축은행,2,0,2,0.286,1.117,2
현대차,3,2,1,0.857,1.113,6
경동나비엔,6,15,-9,3.0,1.098,21
이유,5,11,-6,2.429,1.005,18
상륙,2,1,1,0.429,0.95,4
에서,4,7,-3,1.857,0.907,13
단독,3,0,3,1.143,0.898,8
기대감,2,1,1,0.571,0.814,4
해킹,3,5,-2,1.286,0.803,9
lg,7,8,-1,4.571,0.774,37
카메라,4,8,-4,2.143,0.754,15
가을,2,2,0,0.714,0.697,5
100개,2,3,-1,0.714,0.697,5
3대,2,3,-1,0.714,0.697,5
밥무새,2,3,-1,0.714,0.697,5
은상,2,3,-1,0.714,0.697,5
기대,3,2,1,1.571,0.634,12
vs,3,5,-2,1.571,0.634,11
롯데카드,3,8,-5,1.571,0.634,11
09월,1,0,1,0.143,0.622,1
100만,1,0,1,0.143,0.622,1
11만전자,1,0,1,0.143,0.622,1
14년,1,0,1,0.143,0.622,1
16살,1,0,1,0.143,0.622,1
1위된,1,0,1,0.143,0.622,1
1일부터,1,0,1,0.143,0.622,1
1주년,1,0,1,0.143,0.622,1
2파전,1,0,1,0.143,0.622,1
3개월만,1,0,1,0.143,0.622,1
40대,1,0,1,0.143,0.622,1
47관왕,1,0,1,0.143,0.622,1
5살,1,0,1,0.143,0.622,1
67,1,0,1,0.143,0.622,1
80,1,0,1,0.143,0.622,2
90,1,0,1,0.143,0.622,1
9월21일,1,0,1,0.143,0.622,1
ai리터러시,1,0,1,0.143,0.622,1
awards,1,0,1,0.143,0.622,1
break,1,0,1,0.143,0.622,1
coway,1,0,1,0.143,0.622,1
csa코스믹,1,0,1,0.143,0.622,1
