org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
10나노급,1,1,0,0,0,3,5,0,1,1,0,1
10승,0,0,0,0,0,5,0,0,0,0,0,0
120Hz,1,1,0,0,0,0,0,2,0,0,0,1
12억달러,2,3,0,1,5,1,2,3,1,0,0,2
192개,0,0,0,1,0,1,1,0,0,0,0,0
1c,1,1,0,0,0,3,5,0,1,1,0,1
1사,0,0,0,0,0,3,0,0,0,0,0,0
1실점,0,0,0,0,0,2,0,0,0,0,0,0
1위,3,2,0,1,1,2,1,5,5,1,5,4
1회,0,0,0,0,0,3,0,0,0,0,0,0
2024년,4,1,2,4,1,2,1,3,2,0,5,1
2025년,1,0,0,0,0,2,0,0,1,0,0,0
2030년,2,3,0,1,5,1,2,3,1,0,0,2
2030년에,2,3,0,0,5,1,2,3,2,0,1,2
2가지,4,2,0,1,1,0,0,2,0,1,0,2
2개,0,0,2,1,0,0,0,1,0,1,1,0
2분기,3,2,0,0,1,1,3,3,1,0,2,5
3루에서,0,0,0,0,0,3,0,0,0,0,0,0
4가지,0,0,2,1,0,0,0,1,0,1,1,0
4분기,2,2,0,0,1,1,3,4,2,1,2,5
500니트,1,1,0,0,0,0,0,2,0,0,0,1
5G,4,1,1,5,2,2,1,3,2,2,3,2
5위,0,0,1,1,0,1,0,0,0,0,1,0
6000MT,2,1,1,1,2,1,0,0,0,2,0,0
647개,0,0,0,2,0,2,0,0,0,0,0,0
6세대,1,1,0,0,0,3,5,0,1,1,0,1
6이닝,0,0,0,0,0,2,0,0,0,0,0,0
8.6G,7,8,2,1,7,2,6,11,7,3,3,12
8.6세대,24,24,6,3,15,13,29,42,19,8,12,52
8세대,7,8,0,1,2,3,4,8,2,0,0,6
8시,0,0,0,1,0,0,0,0,1,0,0,0
8월,2,1,3,0,1,1,1,1,3,0,2,1
AI,17,10,14,20,15,9,5,17,12,6,18,11
Air,0,0,2,1,0,0,0,1,0,1,1,0
AMAZE,3,1,2,2,1,0,0,2,1,0,1,1
AMG,1,1,0,0,1,0,0,1,1,4,0,1
and,0,0,1,1,1,0,0,1,0,0,1,0
APEC,0,0,1,1,0,0,0,0,0,0,1,0
AP시스템,14,20,0,2,5,6,10,20,6,1,0,15
AR,3,2,2,3,2,0,0,5,1,0,1,2
Black,2,1,1,1,2,1,0,0,0,2,0,0
