org,topic,base_score,topic_share,company_focus,hybrid_score
AMD,1,95.5076,0.0123,0.7124,95.5076
AMD,0,85.2010,0.0121,0.6355,85.2010
AMD,3,26.8485,0.0201,0.2003,26.8485
AMD,6,22.2856,0.0168,0.1662,22.2856
AMD,8,11.5164,0.0122,0.0859,11.5164
AMD,5,11.4556,0.0178,0.0855,11.4556
AMD,2,9.3498,0.0124,0.0697,9.3498
AMD,7,3.8769,0.0068,0.0289,3.8769
AMD,4,2.7057,0.0031,0.0202,2.7057
ASUS,1,69.3976,0.0089,0.7840,69.3976
ASUS,0,51.5329,0.0073,0.5822,51.5329
ASUS,8,11.5164,0.0122,0.1301,11.5164
ASUS,5,11.4556,0.0178,0.1294,11.4556
ASUS,3,8.9495,0.0067,0.1011,8.9495
ASUS,7,3.1015,0.0054,0.0350,3.1015
ASUS,4,2.7057,0.0031,0.0306,2.7057
ASUS,6,1.7828,0.0013,0.0201,1.7828
Acer,1,59.7781,0.0077,0.8039,59.7781
Acer,0,41.2263,0.0059,0.5544,41.2263
Acer,8,9.2131,0.0098,0.1239,9.2131
Acer,3,8.9495,0.0067,0.1204,8.9495
Acer,5,8.8120,0.0137,0.1185,8.8120
Acer,7,3.1015,0.0054,0.0417,3.1015
Acer,4,1.8038,0.0021,0.0243,1.8038
Acer,6,0.8914,0.0007,0.0120,0.8914
BMW,1,28.8584,0.0037,0.7574,28.8584
BMW,0,22.6745,0.0032,0.5951,22.6745
BMW,3,5.9663,0.0045,0.1566,5.9663
BMW,5,5.2872,0.0082,0.1388,5.2872
BMW,8,4.6065,0.0049,0.1209,4.6065
BMW,7,3.8769,0.0068,0.1017,3.8769
BMW,2,1.8700,0.0025,0.0491,1.8700
BMW,4,0.9019,0.0010,0.0237,0.9019
BMW,6,0.8914,0.0007,0.0234,0.8914
BOE,1,290.6454,0.0375,0.7110,290.6454
BOE,0,285.1485,0.0407,0.6976,285.1485
BOE,8,23.0327,0.0244,0.0563,23.0327
BOE,6,15.1542,0.0114,0.0371,15.1542
BOE,2,14.9597,0.0199,0.0366,14.9597
BOE,7,11.6308,0.0204,0.0285,11.6308
BOE,4,9.9209,0.0115,0.0243,9.9209
BOE,3,9.6953,0.0072,0.0237,9.6953
BOE,5,2.6436,0.0041,0.0065,2.6436
BYD,1,46.7231,0.0060,0.6971,46.7231
BYD,0,43.9747,0.0063,0.6561,43.9747
BYD,6,11.5885,0.0087,0.1729,11.5885
BYD,8,10.7486,0.0114,0.1604,10.7486
BYD,3,8.2037,0.0061,0.1224,8.2037
BYD,7,6.2031,0.0109,0.0926,6.2031
BYD,5,4.4060,0.0068,0.0657,4.4060
CES,1,151.8502,0.0196,0.7576,151.8502
CES,0,127.8015,0.0182,0.6376,127.8015
CES,8,23.0327,0.0244,0.1149,23.0327
CES,3,9.6953,0.0072,0.0484,9.6953
CES,4,7.2152,0.0083,0.0360,7.2152
CES,7,6.2031,0.0109,0.0309,6.2031
CES,5,6.1684,0.0096,0.0308,6.1684
CES,2,3.7399,0.0050,0.0187,3.7399
CES,6,3.5657,0.0027,0.0178,3.5657
CSOT,0,90.0107,0.0128,0.7134,90.0107
CSOT,1,87.9494,0.0113,0.6971,87.9494
CSOT,8,7.6776,0.0081,0.0609,7.6776
CSOT,7,3.1015,0.0054,0.0246,3.1015
CSOT,3,2.2374,0.0017,0.0177,2.2374
CSOT,2,1.8700,0.0025,0.0148,1.8700
CSOT,6,1.7828,0.0013,0.0141,1.7828
CSOT,4,0.9019,0.0010,0.0071,0.9019
Counterpoint,0,3.4355,0.0005,0.6258,3.4355
Counterpoint,1,3.4355,0.0004,0.6258,3.4355
Counterpoint,2,1.8700,0.0025,0.3406,1.8700
Counterpoint,3,1.4916,0.0011,0.2717,1.4916
Counterpoint,4,0.9019,0.0010,0.1643,0.9019
Dell,1,59.0910,0.0076,0.7926,59.0910
Dell,0,42.6005,0.0061,0.5714,42.6005
Dell,8,9.2131,0.0098,0.1236,9.2131
Dell,5,8.8120,0.0137,0.1182,8.8120
Dell,3,8.2037,0.0061,0.1100,8.2037
Dell,7,3.1015,0.0054,0.0416,3.1015
Dell,2,2.8049,0.0037,0.0376,2.8049
Dell,4,1.8038,0.0021,0.0242,1.8038
Dell,6,0.8914,0.0007,0.0120,0.8914
ETRI,1,27.4842,0.0035,0.8016,27.4842
ETRI,0,19.9260,0.0028,0.5812,19.9260
ETRI,2,4.6749,0.0062,0.1364,4.6749
ETRI,7,0.7754,0.0014,0.0226,0.7754
ETRI,8,0.7678,0.0008,0.0224,0.7678
HMI,1,1.3742,0.0002,0.6218,1.3742
HMI,5,0.8812,0.0014,0.3987,0.8812
HMI,7,0.7754,0.0014,0.3509,0.7754
HMI,8,0.7678,0.0008,0.3474,0.7678
HMI,3,0.7458,0.0006,0.3375,0.7458
HMI,0,0.6871,0.0001,0.3109,0.6871
HP,1,126.4273,0.0163,0.8097,126.4273
HP,0,86.5752,0.0123,0.5545,86.5752
HP,5,17.6240,0.0274,0.1129,17.6240
HP,8,16.8907,0.0179,0.1082,16.8907
HP,3,13.4242,0.0100,0.0860,13.4242
HP,4,9.0190,0.0104,0.0578,9.0190
HP,7,5.4277,0.0095,0.0348,5.4277
HP,2,2.8049,0.0037,0.0180,2.8049
HP,6,1.7828,0.0013,0.0114,1.7828
Harman,1,17.8647,0.0023,0.7902,17.8647
Harman,0,11.6808,0.0017,0.5167,11.6808
Harman,3,4.4747,0.0033,0.1979,4.4747
Harman,6,4.4571,0.0034,0.1972,4.4571
Harman,5,3.5248,0.0055,0.1559,3.5248
