org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
...국산,0,0,0,1,0,0,0,0,0,0,2
.attr,1,1,3,4,3,1,1,0,2,2,3
.css,1,1,3,4,3,1,1,0,2,2,3
.find,1,1,3,4,3,1,1,0,2,2,3
.val,1,1,3,4,3,1,1,0,2,2,3
1위에,1,0,5,2,2,1,0,0,0,1,0
2023년,4,0,3,2,2,1,0,3,1,1,1
2025년,0,1,4,6,2,2,0,1,2,1,0
2026년형,1,0,4,2,3,0,3,1,1,2,0
24년,1,2,1,2,1,1,0,0,1,0,1
26일부터,0,3,1,2,3,2,1,0,2,1,1
2차전지,2,3,4,2,1,4,3,5,2,4,0
3년간,5,1,3,3,4,1,1,2,0,3,1
3분기,3,1,5,3,4,4,4,7,3,5,0
3종,0,0,3,2,0,2,0,3,1,0,2
4855억,3,0,3,1,2,2,3,4,2,2,0
4성,0,0,3,2,0,2,0,3,1,0,2
50년,1,1,2,1,4,0,1,1,0,1,0
50주년,1,1,2,1,4,0,1,1,0,1,0
70명,0,0,1,1,1,0,0,0,0,1,0
7호실,0,0,1,0,0,0,0,2,0,0,0
8.6세대,7,0,7,4,4,2,0,6,2,2,2
8월,0,0,3,4,1,0,0,0,0,0,0
9월,1,4,4,8,3,4,2,1,4,2,5
AI,19,34,22,17,24,24,8,20,23,15,6
AMD,0,2,3,2,3,3,0,3,1,3,0
Apple,1,2,2,1,4,1,1,2,1,2,0
A사,0,0,3,2,2,0,0,0,0,3,0
A씨,0,2,2,1,2,1,0,0,1,0,0
BOE,17,2,13,9,9,5,1,11,4,6,4
BYD,1,0,4,2,3,0,3,1,1,2,0
CBC뉴스,0,0,0,2,1,1,1,2,2,0,1
CD,1,1,3,4,3,1,1,0,2,2,3
CPU,1,2,4,2,4,3,0,5,2,4,0
CSOT,3,0,4,2,2,1,0,3,1,1,1
Design,6,8,3,2,4,2,4,4,8,2,2
else,1,1,3,4,3,1,1,0,2,2,3
ESG,0,0,1,1,1,0,0,0,0,1,0
ESS,2,3,4,2,1,4,3,5,2,4,0
ETERNA,1,2,2,1,4,1,1,2,1,2,0
function,1,1,3,4,3,1,1,0,2,2,3
GFX,3,7,4,3,6,5,3,5,4,4,2
Gugenka,0,1,1,2,1,2,0,1,2,1,0
HBM,0,1,2,2,2,2,1,3,1,3,0
HK이노엔,0,0,1,1,1,0,0,0,0,1,0
HPSP,3,3,3,1,1,3,2,5,2,4,1
HS효성더클래스,0,3,4,3,3,2,1,2,3,2,3
id,1,1,3,4,3,1,1,0,2,2,3
IDEA,15,23,10,9,6,3,24,13,36,6,2
iF,2,1,3,2,1,1,2,1,5,1,1
if,1,1,3,4,3,1,1,0,2,2,3
ITC,5,1,3,2,1,2,0,3,2,1,1
IT매체,0,0,3,1,2,0,1,1,2,1,1
IT용,7,0,7,4,4,2,0,6,2,2,2
JV,3,3,5,3,3,3,0,3,2,1,4
KizunaAI,0,4,2,4,4,4,1,1,4,2,1
KODEX,1,3,3,2,2,3,2,5,2,4,0
KT,3,3,5,3,3,3,0,3,2,1,4
LA,1,1,0,1,0,0,0,0,0,0,0
LAKE,0,3,1,2,3,2,1,0,2,1,1
LCD,25,18,17,15,12,10,13,19,24,8,3
LG,2,1,3,2,1,1,2,1,5,1,1
LG디스플레,3,0,3,1,2,2,3,4,2,2,0
LG디스플레이,3,0,3,1,2,2,3,4,2,2,0
LG전자,14,8,15,9,9,10,3,10,11,5,6
LSE,0,1,3,2,2,1,0,2,1,3,0
LTCAM,0,1,3,2,2,1,0,2,1,3,0
LTPO,5,1,3,2,1,2,0,3,2,1,1
MBN,1,0,1,0,2,0,0,0,0,2,1
MC,1,0,1,0,2,0,0,0,0,2,1
NCT,0,0,3,4,1,0,0,0,0,0,0
NC다이노스,0,0,1,1,1,1,0,1,0,1,1
NWS,1,1,3,4,3,1,1,0,2,2,3
OLED,42,15,32,24,25,21,3,31,14,15,10
OTT,1,0,5,2,2,1,0,0,0,1,0
ProRes,1,2,2,1,4,1,1,2,1,2,0
RU,0,0,3,2,2,0,0,0,0,3,0
Samsung,9,12,5,3,6,3,6,6,12,3,3
SK하이닉스,0,0,3,2,2,0,0,0,0,3,0
SSR,1,2,3,3,2,3,0,1,1,0,3
SWAN,0,3,1,2,3,2,1,0,2,1,1
TIGER,1,3,3,2,2,3,2,5,2,4,0
TSMC,0,2,3,2,3,3,0,3,1,3,0
U-NEXT,1,1,0,2,0,0,1,0,1,0,2
UA,0,0,1,1,1,0,1,0,1,0,0
UI,0,0,2,1,2,1,0,2,1,1,1
var,1,1,3,4,3,1,1,0,2,2,3
Web,1,1,3,4,3,1,1,0,2,2,3
XX,0,2,2,1,2,1,0,0,1,0,0
가격,19,8,15,11,11,13,3,17,9,10,3
가능,0,0,1,0,0,0,0,2,0,0,0
가능성,0,3,1,3,4,2,0,0,0,1,2
가능한,1,1,2,1,2,0,1,1,2,0,0
가량,0,0,2,1,4,0,0,0,0,1,1
가뭄,1,2,1,2,1,1,0,0,1,0,1
가방,0,0,2,3,1,0,2,0,1,0,1
가보자GO,1,0,1,0,2,0,0,0,0,2,1
가을,0,0,1,1,1,0,1,0,1,0,0
가장,1,0,8,3,4,1,1,1,2,2,1
가정에,0,1,3,3,3,0,1,1,0,3,1
가진,0,3,2,2,4,3,0,1,1,2,0
각각,3,3,3,1,1,3,2,5,2,4,1
각각각,3,3,3,1,1,3,2,5,2,4,1
감각,0,3,1,3,4,2,0,0,0,1,2
감성,1,1,2,1,2,0,1,1,2,0,0
강릉,1,2,1,2,1,1,0,0,1,0,1
강릉에,1,2,1,2,1,1,0,0,1,0,1
강원학사,1,1,2,1,4,0,1,1,0,1,0
강조했다.,3,3,1,3,3,2,0,3,2,1,0
개발,3,6,6,3,4,9,3,7,3,5,1
개발에,1,3,2,1,3,5,0,2,1,1,1
개발자,1,3,2,1,3,5,0,2,1,1,1
개인,0,0,3,4,1,0,0,0,0,0,0
개통,1,2,1,1,1,1,1,2,1,2,1
갤럭시,9,12,8,5,6,5,6,9,13,3,5
거래,1,3,3,2,2,3,2,5,2,4,0
거래일,3,3,3,1,1,3,2,5,2,4,1
검사장비,2,3,4,2,1,4,3,5,2,4,0
것으로,13,8,19,13,18,14,7,23,9,17,3
것이,0,0,2,1,2,1,0,2,1,1,1
것이다.,0,0,2,3,1,0,2,0,1,0,1
게이밍,2,5,2,2,2,4,2,3,3,2,2
게임,2,5,5,4,5,8,0,3,2,1,4
경기도,0,2,3,4,2,2,1,0,1,1,3
경기문화재단,0,2,3,4,2,2,1,0,1,1,3
경동나비엔,6,2,3,3,2,2,15,7,12,5,0
경북,1,1,3,4,3,1,1,0,2,2,3
경직된,5,1,3,2,2,2,0,3,0,1,0
경험,3,4,2,1,2,1,2,2,4,1,1
고객,5,7,12,8,7,6,3,6,10,4,8
고객사,0,1,3,2,2,1,0,2,1,3,0
고유무기,0,0,3,2,0,2,0,3,1,0,2
공동,1,3,2,1,3,5,0,2,1,1,1
공식,1,2,1,4,1,2,1,1,3,1,2
공연,0,2,3,4,2,2,1,0,1,1,3
공정,6,6,8,4,3,6,3,7,4,6,0
공주,0,1,4,2,2,0,0,0,0,3,3
과세,0,0,3,2,2,0,0,0,0,3,0
관련,0,0,3,2,2,0,0,0,0,3,0
관리,0,1,1,1,2,0,1,0,1,1,1
관세,5,1,6,4,5,4,1,4,2,4,1
관심,1,0,2,2,1,0,0,0,0,1,1
광학,1,2,2,1,4,1,1,2,1,2,0
교사,0,3,2,2,4,3,0,1,1,2,0
교사들,0,3,2,2,4,3,0,1,1,2,0
교수,0,3,3,2,1,2,0,0,1,1,0
교원,0,3,2,2,4,3,0,1,1,2,0
교육,2,7,3,4,4,5,2,3,4,3,3
교인들,0,1,5,2,4,0,0,0,0,2,3
교회,0,1,5,2,4,0,0,0,0,2,3
구조,3,0,3,1,2,2,3,4,2,2,0
국립공주대학교,0,2,1,2,2,1,0,0,1,1,1
국방부,0,1,4,2,2,0,0,0,0,3,3
국세청,0,0,3,2,2,0,0,0,0,3,0
국제뉴스,0,3,3,2,1,2,0,0,1,1,0
국회의원,0,2,1,2,2,1,0,0,1,1,1
굿모닝충청,0,2,1,2,2,1,0,0,1,1,1
권씨,0,1,3,3,3,0,1,1,0,3,1
권위,4,10,4,4,0,0,8,4,16,0,0
그냥,0,2,2,1,2,1,0,0,1,0,0
그래서,0,1,5,2,4,0,0,0,0,2,3
그러면,0,1,5,2,4,0,0,0,0,2,3
그런,0,3,6,4,6,1,0,0,1,3,4
그룹장,3,3,1,3,3,2,0,3,2,1,0
그리고,1,2,4,4,4,3,1,1,1,1,4
극심한,1,2,1,2,1,1,0,0,1,0,1
근데,0,1,5,2,4,0,0,0,0,2,3
글래스,0,0,3,1,2,0,1,1,2,1,1
금반지,1,0,2,0,3,0,1,2,0,4,0
금융,1,0,2,0,3,0,1,2,0,4,0
기간,0,4,3,3,4,2,1,0,2,2,3
기능,6,10,4,3,6,2,4,5,8,3,3
기동,0,0,0,1,0,0,0,0,0,0,2
기반,2,6,3,3,4,4,3,3,4,3,3
기업들,3,0,4,2,2,1,0,3,1,1,1
기자,3,9,11,7,6,3,2,2,6,6,5
기존,1,1,1,1,0,0,2,1,4,0,0
기준,2,5,2,2,2,4,2,3,3,2,2
기지국,3,3,5,3,3,3,0,3,2,1,4
기탁,0,0,1,1,1,1,0,1,0,1,1
김수빈,0,0,1,1,1,0,1,0,1,0,0
김영일,1,3,1,1,0,0,2,1,4,0,0
김영춘,0,2,1,2,2,1,0,0,1,1,1
김우진,0,0,1,0,0,0,0,2,0,0,0
꼽힌다.,1,3,1,1,0,0,2,1,4,0,0
꾸러미,0,1,3,3,3,0,1,1,0,3,1
나눔,0,0,1,1,1,1,0,1,0,1,1
나비엔,4,1,2,1,1,1,10,5,6,3,0
남편,1,2,3,1,4,1,0,0,1,2,1
내구성,0,0,0,2,1,1,1,2,2,0,1
내수시장,5,1,3,2,2,2,0,3,0,1,0
너머,0,3,1,3,4,2,0,0,0,1,2
너무,0,1,4,2,4,0,1,2,2,1,1
넘는,1,2,1,2,1,1,0,0,1,0,1
네이버,0,0,1,1,1,0,0,0,0,1,0
넷플릭스,1,0,5,2,2,1,0,0,0,1,0
높였으며,4,0,2,1,0,2,10,6,6,2,0
뉴스,1,5,4,6,6,5,0,1,1,1,5
뉴스핌,0,1,4,2,2,0,0,0,0,3,3
뉴시스,0,2,2,1,2,1,0,0,1,0,0
뉴아틀라스,1,1,2,1,2,0,1,1,2,0,0
능선,0,0,0,1,0,0,0,0,0,0,2
다.,3,3,3,1,1,3,2,5,2,4,1
다른,0,3,1,3,4,2,0,0,0,1,2
다시,1,1,0,1,0,0,0,0,0,0,0
다양한,8,16,8,6,10,9,6,8,12,6,4
다임러트럭,0,1,1,1,2,0,1,0,1,1,1
