org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
1분기,0,3,2,3,1,4,2,4
2o,0,1,1,0,0,1,0,0
2oo,0,1,1,0,0,1,0,0
3a,0,1,1,0,0,1,0,0
3a1,0,1,1,0,0,1,0,0
3o,0,1,1,0,0,1,0,0
4o,0,1,1,0,0,1,0,0
8GB,0,1,1,0,0,1,0,0
8월,4,3,1,0,5,2,0,3
9o,0,1,1,0,0,1,0,0
9월,5,5,5,5,3,5,5,5
AECG,3,3,3,1,2,2,2,4
AI,21,35,30,25,20,37,25,34
AMD,3,3,3,1,2,2,2,4
DBMS,0,3,2,2,1,4,1,2
DIC,2,2,2,2,1,3,3,2
Display,0,3,2,4,1,2,3,4
FC-BGA,1,5,5,4,2,3,3,3
GHz,0,1,1,0,0,1,0,0
Glass,0,3,2,4,1,2,3,4
GO,0,1,2,3,1,1,2,0
IT,1,5,5,4,2,3,3,3
KT,5,2,2,0,3,4,0,3
LED,0,0,1,0,1,0,1,1
LG,1,2,3,2,3,4,2,4
LG전자,0,3,2,3,1,4,2,4
Mi,0,1,1,0,0,1,0,0
MLCC,1,5,5,4,2,3,3,3
OLED,2,5,5,9,2,5,8,9
OS,0,3,2,3,1,4,2,4
OTT,0,1,1,0,0,1,0,0
PBV,2,1,0,0,0,0,1,4
PC,0,1,1,0,0,1,0,0
PDF,0,1,1,0,0,1,0,0
RGB,0,0,1,0,1,0,1,1
SMR,1,3,3,1,1,4,1,2
SV넷,3,3,3,1,2,2,2,4
TGV,0,3,2,4,1,2,3,4
각각,1,4,3,3,2,3,3,3
갈등,3,3,1,1,3,1,0,2
개발,4,6,5,6,4,7,6,8
개방형,0,3,2,2,1,4,1,2
거래,4,5,4,1,2,4,1,2
거래일,2,2,3,5,1,3,5,5
검색,0,3,2,2,1,4,1,2
검찰,1,4,3,3,2,3,3,3
것으로,6,10,10,9,6,9,10,12
것이다.,4,3,1,0,5,2,0,3
결국,3,3,1,1,3,1,0,2
경고,4,3,1,0,5,2,0,3
경영,3,3,1,1,3,1,0,2
경쟁,2,5,3,2,2,5,2,4
경제,8,8,5,1,7,6,1,5
경제계,4,3,1,0,5,2,0,3
골프장,3,3,1,1,3,1,0,2
공포,1,1,0,2,0,1,2,2
관세,5,5,5,5,3,5,5,5
교섭,4,3,1,0,5,2,0,3
국가,3,3,1,1,3,1,0,2
국내외,4,3,1,0,5,2,0,3
국방부,1,4,3,3,2,3,3,3
국채,4,5,4,1,2,4,1,2
규모,1,3,3,1,1,4,1,2
규정,4,5,4,1,2,4,1,2
규제,4,5,4,1,2,4,1,2
그거,5,2,2,0,3,4,0,3
그것,2,2,2,2,1,3,3,2
그래서,5,2,2,0,3,4,0,3
그러니까,5,2,2,0,3,4,0,3
그러면,5,2,2,0,3,4,0,3
그런데,5,2,2,0,3,4,0,3
그리고,5,2,2,0,3,4,0,3
금융,4,5,4,1,2,4,1,2
기간,1,2,3,0,2,2,2,3
기능,3,8,5,5,3,7,5,9
기반,7,11,9,7,5,11,9,15
기사,4,3,1,0,5,2,0,3
기술력,2,4,4,4,2,5,5,5
기아,2,1,0,0,0,0,1,4
기업으로,2,4,4,4,2,5,5,5
기존,4,5,2,1,3,4,2,7
기판,2,5,3,2,2,5,2,4
김준환,3,3,3,1,2,2,2,4
내비게이션,2,1,0,0,0,0,1,4
냉각,2,2,2,2,1,3,3,2
노광,2,5,3,2,2,5,2,4
노광장비,2,5,3,2,2,5,2,4
노란봉투법,4,3,1,0,5,2,0,3
노을,2,4,4,4,2,5,5,5
노조,7,6,2,1,8,3,0,5
뉴로핏,2,4,4,4,2,5,5,5
뉴시스,1,2,3,0,2,2,2,3
니콘,2,5,3,2,2,5,2,4
