rank,keyword,score
1,디스플레,7.931105019821715
2,인치,4.970835417165266
3,스마트,4.243021150614394
4,데이터,3.7737245009758382
5,기업,3.5186268739306477
6,최대,3.464573940263164
7,환경,3.3809274051045204
8,글로벌,3.2556512155719135
9,주행,2.742088108187444
10,인공지능,2.6344250200455654
11,플랫폼,2.627176790490516
12,와르르,2.581962967003976
13,세팅,2.4985871741662113
14,세대,2.493057378579179
15,경기석,2.4177049577264262
16,맞춘,2.2322866361811835
17,기준,2.202571219982428
18,게이밍,2.188894754002945
