org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
10기,2,0,0,0,0,6,0,0
120Hz,0,0,1,0,2,0,0,1
12개,1,0,0,0,1,0,1,0
12억달러,2,1,3,4,3,2,0,2
1등급,1,0,0,0,1,0,1,0
1명,0,0,1,0,0,1,1,0
1위,1,2,5,3,4,1,1,4
2015년,0,0,0,0,0,0,1,0
2023년,1,0,2,0,0,1,0,0
2024년,5,2,3,0,2,5,0,1
2030년,2,1,3,4,3,2,0,2
2030년에,2,2,3,4,3,2,0,2
21만9800원,0,1,2,0,1,2,0,1
25년,1,1,0,0,0,0,1,0
25명에게,0,0,0,1,0,0,1,1
2o,0,0,0,0,0,1,0,0
2가지,1,2,3,2,2,1,0,2
2개,0,0,0,0,1,1,0,0
2년,1,1,1,0,0,0,2,0
2분기,0,1,4,3,3,2,0,5
3.23으로,1,1,1,0,0,2,2,0
3500억,1,1,2,0,1,0,1,0
38세,0,0,1,0,0,2,2,0
3a,0,0,0,0,0,1,0,0
3a1,0,0,0,0,0,1,0,0
3대,1,2,2,0,0,3,0,0
3사,1,1,1,0,1,1,1,0
4가지,0,0,0,0,1,1,0,0
4기,2,0,0,0,0,6,0,0
4분기,2,2,3,3,4,0,1,5
5.6mm,0,0,0,0,0,2,0,0
500니트,0,0,1,0,2,0,0,1
5G,3,2,4,1,2,4,1,2
5km가족런,0,0,1,0,0,1,1,0
5세대,2,0,1,0,0,3,0,0
6000MT,1,3,1,1,0,2,0,0
6이닝,0,0,1,0,0,2,2,0
7회말,0,0,0,0,0,1,2,0
8.6G,2,4,12,11,12,4,2,11
8.6세대,13,15,45,37,48,12,12,52
8권,1,1,0,0,0,1,0,0
8세대,2,3,6,4,10,3,1,6
8월,0,0,2,0,1,0,0,1
9월,0,0,1,1,0,2,3,1
AI,8,17,23,18,17,26,4,15
Air,0,0,0,0,1,1,0,0
AMAZE,1,1,4,0,1,3,1,1
AMG,1,0,2,0,1,0,0,1
and,0,0,0,1,0,2,0,0
APV,2,0,1,0,0,3,0,0
AP시스템,2,6,14,10,25,6,1,15
AR,1,3,3,3,4,5,0,2
A씨,0,0,0,0,0,1,1,0
Black,1,3,1,1,0,2,0,0
BOE,5,10,26,18,25,10,2,26
by,0,0,0,1,0,2,0,0
B씨,0,0,0,0,0,1,1,0
CBC뉴스,1,0,0,0,0,3,3,0
chips,0,0,0,1,0,2,0,0
CIOE,1,0,3,0,1,1,0,1
CJ,0,0,0,0,0,1,0,0
CJ그룹,0,0,0,0,0,1,0,0
CLE,1,0,2,0,1,0,0,1
CLENOX,0,0,1,8,0,3,0,0
CLS,1,0,0,0,0,0,1,0
CNS,2,5,5,5,3,3,2,3
cooling,0,0,0,1,0,2,0,0
Corintis,0,0,0,1,0,2,0,0
DNB,1,3,2,2,2,0,0,1
DX,0,1,1,0,0,1,0,0
ELA,2,6,14,10,25,6,1,15
email,0,0,0,0,0,1,1,0
ENA,0,0,0,0,0,1,0,0
e스포츠,1,3,2,2,2,0,0,1
FC,1,3,2,2,2,0,0,1
for,0,0,0,1,0,3,0,0
ICE,0,0,1,0,0,1,1,0
in,0,0,0,1,0,2,0,0
is,0,0,0,1,0,2,0,0
IT,3,5,10,10,10,1,3,13
ITC,2,4,8,6,8,2,0,10
IT기기용,1,1,4,4,4,0,2,4
IT용,1,2,7,7,6,2,2,8
K-pop,1,1,4,0,1,3,1,1
KBS,0,0,1,0,0,0,0,0
KCC,0,0,1,0,1,0,2,1
Laser,0,1,2,2,5,1,0,3
LCD,2,3,13,9,11,3,6,8
LED,9,6,15,19,12,12,2,10
LFD,0,4,3,3,3,0,0,2
LFP,1,1,1,0,1,1,1,0
LG,2,5,9,5,4,5,8,4
LG디스플레,7,9,25,18,21,3,9,24
LG디스플레이,4,3,12,10,11,2,5,12
LLO,0,1,4,2,5,1,0,3
LTPO,0,1,4,2,7,1,0,3
LTPS,0,1,3,2,5,1,0,2
Meta,5,2,3,0,2,5,0,1
Micro-LED,8,5,10,14,8,11,0,6
NB,0,0,0,4,0,2,0,0
of,0,0,0,1,0,2,0,0
OLED,35,81,157,124,148,43,32,140
OMEN,0,14,10,9,8,1,0,7
on,0,0,0,1,0,2,0,0
oo,0,0,0,0,0,1,0,0
Opal,1,3,1,1,0,2,0,0
or,0,0,0,0,0,1,0,0
P-Complex,0,0,0,2,0,1,0,0
PC,1,1,3,0,1,0,0,1
PCE,3,5,5,1,0,8,0,0
PC방,1,3,2,2,2,0,0,1
Pin,0,0,2,10,0,3,0,0
Plus,0,0,0,0,0,1,0,0
ProRes,2,0,1,0,0,3,0,0
protected,0,0,0,0,0,1,1,0
Ray-Ban,5,2,3,0,2,5,0,1
RGB,2,4,4,5,3,2,2,3
RPG,3,2,6,0,3,4,1,2
SBS,0,0,0,0,0,1,0,0
Shot,0,0,2,10,0,3,0,0
SOLO,0,0,0,0,0,1,0,0
SUV,1,3,3,2,3,1,0,2
TFT,0,1,3,2,5,1,0,2
TGS,2,5,6,3,5,4,1,3
that,0,0,0,1,0,2,0,0
the,0,0,0,1,0,3,0,0
TJ미디어,1,0,0,0,0,0,1,0
to,0,0,0,1,0,3,0,0
TV+,0,0,0,1,0,1,1,1
View,0,0,0,0,1,1,0,0
Visionox,0,2,3,2,5,1,0,3
VR,1,1,4,0,1,3,1,1
with,0,0,0,1,0,2,0,0
XR,6,7,13,8,11,14,2,8
YTN,0,0,3,1,2,2,0,1
가격지수,2,4,4,0,0,5,0,0
가격표시장치나,0,0,3,1,2,2,0,1
가능성,3,4,7,5,7,1,1,6
가능하다.,2,1,1,0,1,4,1,1
가능했다.,0,1,2,0,1,2,0,1
가민,4,2,4,6,2,7,0,2
가수,0,0,0,0,0,1,1,0
가수들,0,0,2,0,1,2,0,0
가운데,0,0,0,0,0,2,0,0
가을,0,0,0,1,0,0,1,1
가장,1,2,4,2,3,1,2,3
