term,cur,prev,diff,ma7,z_like,total
27일,6,0,6,0.857,2.67,6
사장,8,7,1,2.143,2.377,15
정답,5,0,5,0.714,2.323,5
양산,6,4,2,1.429,2.082,10
이청,6,4,2,1.429,2.082,10
내년,6,3,3,1.571,1.965,11
10기,4,0,4,0.571,1.953,4
지볶행,4,0,4,0.571,1.953,4
반등,4,0,4,0.714,1.781,6
퀴즈,4,0,4,0.714,1.781,5
만에,5,3,2,1.286,1.741,10
3분기,4,2,2,0.857,1.632,6
ap시스템,5,5,0,1.429,1.627,10
정철동,5,5,0,1.429,1.627,10
6세대,6,7,-1,2.143,1.565,15
백합,3,0,3,0.429,1.554,3
영식,3,0,3,0.429,1.554,3
잔류,3,0,3,0.429,1.554,3
마이크로,5,6,-1,1.571,1.521,12
체험존,5,5,0,1.571,1.521,11
오늘의,5,0,5,1.714,1.423,12
6g,3,1,2,0.571,1.383,4
한화,3,1,2,0.571,1.383,4
2030년,4,4,0,1.143,1.381,8
공급,4,4,0,1.143,1.381,11
도쿄게임쇼,4,4,0,1.143,1.381,8
비전옥스,4,4,0,1.143,1.381,8
스마트워치,4,4,0,1.143,1.381,8
클레녹스,4,4,0,1.143,1.381,8
도쿄게임쇼서,3,2,1,0.714,1.239,5
수장,3,2,1,0.714,1.239,5
엔씨,3,2,1,0.714,1.239,5
1명,2,0,2,0.286,1.117,2
9월27일,2,0,2,0.286,1.117,2
ddr5,2,0,2,0.286,1.117,2
era,2,0,2,0.286,1.117,2
국가정보자원관리원,2,0,2,0.286,1.117,2
돈버는,2,0,2,0.286,1.117,2
부합,2,0,2,0.286,1.117,2
분위기,2,0,2,0.286,1.117,2
비트버니,2,0,2,0.286,1.117,2
송년회,2,0,2,0.286,1.117,2
울산역,2,0,2,0.286,1.117,2
즐기는,2,0,2,0.286,1.117,2
컴투스,2,0,2,0.286,1.117,2
콘텐츠,2,0,2,0.286,1.117,3
한국인,2,0,2,0.286,1.117,2
clenox,3,3,0,0.857,1.113,6
it,3,1,2,0.857,1.113,7
뉴욕증시,3,0,3,0.857,1.113,7
특허,3,3,0,0.857,1.113,7
xr,3,2,1,1.0,1.0,7
자신감,3,3,0,1.0,1.0,7
정조준,3,1,2,1.0,1.0,7
중국,3,2,1,1.0,1.0,9
최초,3,3,0,1.0,1.0,9
2가지,2,1,1,0.429,0.95,3
tgs,2,1,1,0.429,0.95,3
규모,2,1,1,0.429,0.95,4
긍정적,2,1,1,0.429,0.95,3
돌파,2,0,2,0.429,0.95,6
맛집,2,1,1,0.429,0.95,3
미래는,2,1,1,0.429,0.95,3
샤오미,2,1,1,0.429,0.95,3
서비스,2,0,2,0.429,0.95,4
여전히,2,1,1,0.429,0.95,3
화질,2,1,1,0.429,0.95,3
장비,4,4,0,1.857,0.907,13
12억달러,2,2,0,0.571,0.814,4
12억불,2,2,0,0.571,0.814,4
2025서,2,2,0,0.571,0.814,4
complex,2,2,0,0.571,0.814,4
ela,2,2,0,0.571,0.814,4
gv90,2,2,0,0.571,0.814,4
nb,2,2,0,0.571,0.814,4
개막,2,2,0,0.571,0.814,8
개선,2,2,0,0.571,0.814,4
라닉스,2,2,0,0.571,0.814,4
론칭,2,1,1,0.571,0.814,4
롤러블,2,2,0,0.571,0.814,4
삼현,2,2,0,0.571,0.814,4
수장들,2,2,0,0.571,0.814,4
앞세워,2,2,0,0.571,0.814,4
연간,2,2,0,0.571,0.814,4
유진로봇,2,2,0,0.571,0.814,4
자율주행차,2,2,0,0.571,0.814,4
체결,2,2,0,0.571,0.814,5
탑재하나,2,2,0,0.571,0.814,4
홈케어,2,2,0,0.571,0.814,4
프리미엄,3,3,0,1.286,0.803,10
