term,cur,prev,diff,ma7,z_like,total
idea,57,0,57,8.143,12.678,57
디자인,52,0,52,7.571,11.842,53
수상,52,0,52,8.143,11.381,57
2025,46,2,44,12.429,7.418,87
47개,20,0,20,2.857,6.372,20
경동나비엔,19,0,19,2.714,6.151,19
코웨이,19,0,19,2.714,6.151,19
본상,15,0,15,2.143,5.218,15
아이콘,15,0,15,2.143,5.218,15
정수기,15,0,15,2.143,5.218,15
삼성전자,25,0,25,6.714,5.092,47
공모전,14,0,14,2.0,4.971,14
이유,15,0,15,2.429,4.914,17
lg전자,17,3,14,3.429,4.759,24
2개,13,0,13,1.857,4.716,13
금상,13,0,13,1.857,4.716,13
포함,13,0,13,2.0,4.556,14
디스플레이,21,0,21,5.857,4.428,41
프로,15,0,15,3.0,4.392,21
삼성d,12,0,12,1.857,4.293,13
롯데카드,10,0,10,1.429,3.905,10
지원,12,1,11,2.286,3.867,16
16년,9,0,9,1.286,3.615,9
20일,9,0,9,1.286,3.615,9
반도체,17,2,15,5.429,3.475,38
카메라,10,0,10,1.857,3.446,13
무쌍,8,0,8,1.143,3.314,8
수리온,8,0,8,1.143,3.314,8
오후,8,0,8,1.143,3.314,8
헬기,8,0,8,1.143,3.314,8
9월,12,1,11,3.143,3.194,22
tv,14,0,14,4.286,3.164,30
연속,9,0,9,1.857,3.023,13
감성,7,0,7,1.0,3.0,7
않는,7,0,7,1.0,3.0,7
에이팩트,7,0,7,1.0,3.0,7
재평가,7,0,7,1.0,3.0,7
에서,8,0,8,1.429,2.994,10
출시,19,4,15,7.857,2.93,55
boe,8,1,7,1.571,2.853,11
장비,8,1,7,1.571,2.853,11
vs,8,3,5,1.571,2.853,11
초점,7,0,7,1.143,2.831,8
햇살,7,1,6,1.143,2.831,8
관련주,13,2,11,4.429,2.761,31
oled,19,1,18,8.429,2.708,59
55,6,0,6,0.857,2.67,6
6세대,6,0,6,0.857,2.67,6
eterna,6,0,6,0.857,2.67,6
gf,6,0,6,0.857,2.67,6
gfx,6,0,6,0.857,2.67,6
hpsp,6,0,6,0.857,2.67,6
sfa반도체,6,0,6,0.857,2.67,6
가전산업의,6,0,6,0.857,2.67,6
굳건,6,0,6,0.857,2.67,6
김병만,6,0,6,0.857,2.67,6
김우진,6,0,6,0.857,2.67,6
눈물이,6,0,6,0.857,2.67,6
라지,6,0,6,0.857,2.67,6
렌즈,6,0,6,0.857,2.67,6
맹추격,6,0,6,0.857,2.67,6
몰락,6,0,6,0.857,2.67,6
부고,6,0,6,0.857,2.67,6
샤프,6,0,6,0.857,2.67,6
시네마,6,0,6,0.857,2.67,6
신동빈,6,0,6,0.857,2.67,6
액정,6,0,6,0.857,2.67,6
왕국,6,0,6,0.857,2.67,6
인텍플러스,6,0,6,0.857,2.67,6
일본,6,0,6,0.857,2.67,6
장모상,6,0,6,0.857,2.67,6
재계,6,0,6,0.857,2.67,6
제품,6,0,6,0.857,2.67,6
주룩,6,0,6,0.857,2.67,6
청신호,6,0,6,0.857,2.67,6
총수들의,6,0,6,0.857,2.67,6
타임빌라스,6,0,6,0.857,2.67,6
포맷,6,0,6,0.857,2.67,6
피에스,6,0,6,0.857,2.67,6
홍보부장,6,0,6,0.857,2.67,6
