org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
...국산,0,0,0,0,0,2,0,0,0,1
.attr,4,4,3,0,2,0,2,1,1,2
.css,4,4,3,0,2,0,2,1,1,2
.find,4,4,3,0,2,0,2,1,1,2
.val,4,4,3,0,2,0,2,1,1,2
1위에,1,2,2,1,2,0,0,1,0,0
2023년,1,2,2,0,1,0,1,4,3,2
2025년,1,2,2,0,4,0,2,0,0,2
2026년형,1,3,2,2,1,0,1,1,3,1
24년,1,2,1,0,1,1,1,1,0,1
26일부터,2,1,3,0,1,3,2,0,1,1
2차전지,1,2,2,5,1,0,2,2,2,3
3년간,2,2,1,2,2,0,0,5,2,0
3분기,2,1,3,6,1,0,3,3,3,3
3종,0,3,1,0,1,1,1,0,1,2
4855억,1,1,1,2,0,0,2,3,2,1
4성,0,3,1,0,1,1,1,0,1,2
70명,1,1,1,0,0,0,0,0,0,0
7호실,0,0,0,0,0,0,0,0,2,0
8.6세대,2,4,2,2,2,1,2,7,5,4
8월,0,2,0,0,3,0,0,0,0,1
9월,4,4,4,0,6,6,4,1,1,4
AI,24,16,33,10,11,10,24,19,22,16
AMD,2,2,4,2,1,0,1,0,2,1
Apple,2,2,1,2,0,0,1,1,0,1
A사,1,4,3,2,1,0,0,0,1,0
A씨,1,0,2,1,0,0,1,0,0,1
BOE,6,8,7,6,5,2,4,17,11,6
BYD,1,3,2,2,1,0,1,1,3,1
CBC뉴스,0,2,0,0,1,0,2,0,0,1
CD,4,4,3,0,2,0,2,1,1,2
CPU,3,3,5,3,1,0,2,1,5,1
CSOT,1,2,0,2,1,1,1,3,2,2
Design,4,0,6,1,0,2,8,6,6,2
else,4,4,3,0,2,0,2,1,1,2
ESG,1,1,1,0,0,0,0,0,0,0
ESS,1,2,2,5,1,0,2,2,2,3
ETERNA,2,2,1,2,0,0,1,1,0,1
function,4,4,3,0,2,0,2,1,1,2
GFX,4,5,3,3,2,1,4,3,1,3
Gugenka,1,0,2,0,1,0,2,0,0,1
HBM,1,0,2,4,1,0,1,0,1,2
HK이노엔,1,1,1,0,0,0,0,0,0,0
HPSP,1,1,2,5,0,0,2,3,3,1
HS효성더클래스,2,2,2,3,2,3,3,0,1,4
id,4,4,3,0,2,0,2,1,1,2
IDEA,10,0,19,3,0,2,36,15,27,2
iF,1,0,2,1,2,0,5,2,2,3
if,4,4,3,0,2,0,2,1,1,2
ITC,2,2,4,2,1,1,2,5,4,2
IT매체,2,0,0,1,1,1,2,0,2,1
IT용,2,4,2,2,2,1,2,7,5,4
JV,1,4,2,2,3,3,2,3,3,3
KizunaAI,3,1,5,0,2,3,4,0,1,2
KODEX,2,3,3,2,1,0,2,1,3,1
KT,1,4,2,2,3,3,2,3,3,3
LA,1,0,0,0,0,0,0,1,0,1
LAKE,2,1,3,0,1,3,2,0,1,1
LCD,10,10,19,8,6,0,24,25,25,9
LG,1,0,2,1,2,0,5,2,2,3
LG디스플레,1,1,1,2,0,0,2,3,2,1
LG디스플레이,1,1,1,2,0,0,2,3,2,1
LG전자,5,9,11,8,8,3,11,14,9,12
LSE,1,1,0,4,1,0,1,0,1,0
LTCAM,1,1,0,4,1,0,1,0,1,0
LTPO,2,2,4,2,1,1,2,5,4,2
MBN,2,1,1,0,0,1,0,1,0,0
MC,2,1,1,0,0,1,0,1,0,0
NCT,0,2,0,0,3,0,0,0,0,1
NC다이노스,1,0,0,0,0,1,0,0,0,0
NWS,4,4,3,0,2,0,2,1,1,2
OLED,15,22,22,17,15,5,14,42,27,23
OTT,1,2,2,1,2,0,0,1,0,0
ProRes,2,2,1,2,0,0,1,1,0,1
RU,1,4,3,2,1,0,0,0,1,0
Samsung,6,0,9,2,0,3,12,9,9,3
SK하이닉스,1,4,3,2,1,0,0,0,1,0
SSR,1,5,3,0,2,2,1,1,0,1
SWAN,2,1,3,0,1,3,2,0,1,1
