rank,keyword,score
1,삼성전자,6.221972128964408
2,디스플레,4.076999416039159
3,최대,3.9204528297427785
4,어떻게,3.552094823254457
5,교수,2.991380944083485
6,국가인적자원개발컨소시엄,2.9055389923369583
7,갤럭시,2.7123405627075403
8,반도체,2.6651886931606925
9,퍼플에이아이,2.5608297509847495
10,인공지능,2.5443711449805435
11,마감,2.4993674608263268
12,인프라,2.4698506613245788
13,백주년기념관,2.1662189707282637
