keyword,score
디스플레이,9.599535203249912
신규,5.361964050064618
삼성전자 하이닉스,5.0876552268207895
양산 소재,5.0876552268207895
하이닉스,4.479773636858584
한국거래소에 따르면,4.239712689017325
북미 주력,4.239712689017325
더퍼블릭 조두희,4.239712689017325
조두희 기자,4.239712689017325
확인할 ,4.239712689017325
제공할 예정이다,4.239712689017325
이라고 말,4.239712689017325
재배포 금지,4.239712689017325
이를 통,4.239712689017325
반도체 방산,4.239712689017325
신규 생산시설,4.239712689017325
순조롭게 진행되고,4.239712689017325
의약 반도체,4.239712689017325
촉매 의약,4.239712689017325
달성을 목표로,4.239712689017325
