org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
-루시드,1,0,0,0,0,0,0,0,0,0,0
100km,3,1,2,0,2,1,0,1,1,2,1
10월,2,7,4,10,0,6,4,3,4,2,9
11만원,1,1,2,2,2,1,1,1,1,3,4
2020년,1,1,2,2,1,1,2,0,1,1,2
2030년까지,2,2,3,4,1,2,1,1,1,2,5
23조2700억원,1,0,2,0,1,2,0,0,0,3,3
2o,0,1,0,1,0,0,1,0,1,0,1
2차전지,4,5,4,2,2,4,3,2,1,3,5
3.7초,3,1,2,0,2,1,0,1,1,2,1
30o,0,1,0,1,0,0,1,0,1,0,1
3a,0,1,0,1,0,0,1,0,1,0,1
3o,0,1,0,1,0,0,1,0,1,0,1
3개,2,1,2,2,4,2,3,2,5,3,3
3대,1,3,2,5,0,3,2,2,2,1,5
3분기,1,1,2,0,3,1,1,2,1,1,1
4855억,1,1,2,0,3,1,1,2,1,1,1
4o,0,1,0,1,0,0,1,0,1,0,1
4대,1,1,2,2,1,1,2,0,1,1,2
765kV,2,1,0,2,1,0,1,1,1,2,3
8.6세대,2,0,5,2,2,2,1,3,0,1,4
9월,1,3,2,5,1,3,1,1,2,2,5
9월에만,2,1,0,2,1,0,1,1,1,2,3
AI,31,33,39,46,38,40,42,29,46,35,58
AR,1,1,3,1,1,1,1,1,0,1,4
BOE,6,1,10,5,4,4,3,4,1,3,8
CC,1,3,1,1,2,1,1,4,2,2,2
CSOT,2,0,5,2,2,2,1,3,0,1,4
DB,0,1,0,1,0,0,1,0,1,0,1
Design,5,2,4,4,7,4,5,5,10,5,6
ESS,4,5,4,2,2,4,3,2,1,3,5
EX30CC,3,1,2,0,2,1,0,1,1,2,1
HBM,0,3,3,2,2,4,2,0,1,2,4
HDI,1,2,3,4,2,4,3,1,1,0,4
HMM,0,1,0,1,0,0,1,0,1,0,1
HPSP,2,5,4,4,2,5,3,1,1,4,5
IDEA,12,4,9,9,20,8,10,10,21,13,13
IFA,2,3,1,2,3,2,2,1,2,0,4
ITC,4,1,5,3,2,2,2,1,1,2,4
IT용,2,0,5,2,2,2,1,3,0,1,4
JV,4,1,5,4,2,2,3,5,1,4,5
K-헬스케어로봇,2,3,1,2,3,2,2,1,2,0,4
KODEX,4,5,4,3,2,3,1,2,1,1,5
KT,6,5,8,9,3,6,6,8,2,7,10
KYC,1,3,0,2,0,1,1,1,1,1,4
LCD,4,1,5,4,6,2,2,3,1,4,5
LG,1,1,2,2,1,1,2,0,1,1,2
LG디스플레,1,1,2,0,3,1,1,2,1,1,1
LG디스플레이,1,1,2,0,3,1,1,2,1,1,1
LG전자,7,5,12,8,5,8,7,8,2,7,12
LTPO,4,1,5,3,2,2,2,1,1,2,4
OLED,12,3,19,12,7,8,8,11,2,9,17
PCB,1,2,3,4,2,4,3,1,1,0,4
SaaS,2,2,1,1,1,0,1,5,1,2,3
Samsung,11,4,8,8,15,8,11,11,20,11,12
SK,1,1,2,2,1,1,2,0,1,1,2
SK증권,1,1,2,2,2,1,1,1,1,3,4
SK하이닉스,0,3,3,2,2,4,2,0,1,2,4
SUV,2,1,2,1,2,1,2,2,2,2,3
TIGER,4,5,4,3,2,3,1,2,1,1,5
VR,1,1,3,1,1,1,1,1,0,1,4
XR,2,3,3,1,2,1,4,1,1,0,3
가격,6,3,9,6,4,3,8,4,2,5,11
가능성,2,4,3,5,0,4,2,2,1,2,5
가능하다.,2,1,2,1,2,1,2,2,2,2,3
