org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
..토요타,1,3,1,1,2,1,0,1,4,3
100일,1,0,5,0,3,4,0,2,2,0
1위,1,1,1,1,0,2,0,0,1,1
2023년,1,0,0,0,5,4,0,2,1,1
3분기,5,2,2,2,4,3,1,3,4,2
4월,1,0,0,0,5,4,0,2,1,1
7의,3,3,0,1,1,1,3,0,4,3
A-PHY,2,1,1,1,2,3,4,3,1,1
ADAS,2,1,1,1,2,3,4,3,1,1
AI,13,9,13,13,20,19,8,21,13,15
AI로,1,2,3,0,5,3,1,3,2,1
and,0,0,0,0,1,1,0,2,0,1
AR,3,2,1,0,1,2,3,3,1,1
AWD,1,3,1,1,2,1,0,1,4,3
BYD,3,3,0,1,1,1,3,0,4,3
BYD코리아,3,3,0,1,1,1,3,0,4,3
CDMO,4,3,4,0,4,3,4,5,4,4
child,0,0,0,0,1,1,0,2,0,1
Cho,0,0,0,0,1,1,0,2,0,1
ECC,1,2,2,0,3,3,1,2,2,2
FMP,2,1,2,5,3,3,1,3,1,1
for,0,0,0,0,1,1,0,2,0,1
his,0,0,0,0,1,1,0,2,0,1
hours,0,0,0,0,1,1,0,2,0,1
IAA,4,2,8,10,6,5,3,8,2,4
in,0,0,0,0,1,1,0,2,0,1
indicted,0,0,0,0,1,1,0,2,0,1
LG디스플레,5,2,2,2,4,3,1,3,4,2
LG디스플레이,5,2,2,2,4,3,1,3,4,2
LG전자,1,1,1,1,0,2,0,0,1,1
LG화학,5,3,3,1,3,2,1,3,4,3
MIPI,2,1,1,1,2,3,4,3,1,1
NCC,5,3,3,1,3,2,1,3,4,3
of,0,0,0,0,1,1,0,2,0,1
OLED,11,6,14,22,15,13,8,17,8,9
on,0,0,0,0,1,1,0,2,0,1
rapist,0,0,0,0,1,1,0,2,0,1
SEALION,3,3,0,1,1,1,3,0,4,3
SK이터닉스,4,3,3,1,0,2,3,2,5,2
SUV,3,3,0,1,1,1,3,0,4,3
SyMRI,4,3,4,0,4,3,4,5,4,4
the,0,0,0,0,1,1,0,2,0,1
The,0,0,0,0,1,1,0,2,0,1
to,0,0,0,0,1,1,0,2,0,1
W4100i,1,1,0,0,1,2,0,2,1,1
was,0,0,0,0,1,1,0,2,0,1
가장,1,1,1,1,0,2,0,0,1,1
각각각,5,3,3,2,0,2,3,2,5,2
감독,1,1,2,1,3,3,1,2,2,4
감축,5,3,3,1,3,2,1,3,4,3
강조했습니다.,3,1,2,0,2,3,1,5,2,4
개발,7,5,4,1,1,4,6,5,6,3
개인,1,2,3,0,5,3,1,3,2,1
거래일,9,6,6,3,0,4,6,4,10,4
것으로,13,10,6,1,5,6,6,8,7,6
게임,2,0,1,0,0,2,0,0,1,2
경남,1,0,5,0,3,4,0,2,2,0
경량문명,1,2,3,0,5,3,1,3,2,1
경상국립대학교,2,1,3,1,0,1,1,2,2,3
계약,9,6,6,3,0,4,6,4,10,4
고객,5,4,3,6,4,4,4,3,5,5
고용,1,1,1,0,2,2,1,3,1,1
공급,5,3,3,2,0,2,3,2,5,2
공유,2,1,3,1,0,1,1,2,2,3
관리,5,5,6,0,7,6,5,7,6,6
광원,1,1,0,0,1,2,0,2,1,1
교수,2,1,3,1,0,1,1,2,2,3
구조조정,5,3,3,1,3,2,1,3,4,3
구현,2,1,3,1,0,1,1,2,2,3
국고보조금,3,3,0,1,1,1,3,0,4,3
국제,2,3,4,1,6,6,2,4,4,6
규모,5,3,3,1,3,2,1,3,4,3
균형,1,0,5,0,3,4,0,2,2,0
그는,1,2,3,0,5,3,1,3,2,1
금융감독원,1,2,2,0,3,3,1,2,2,2
금융회사,1,2,2,0,3,3,1,2,2,2
기능,2,1,3,5,3,3,1,3,1,2
기반,2,1,3,1,0,1,1,2,2,3
기사,1,3,1,1,2,1,0,1,4,3
기사용,3,2,1,0,1,2,3,3,1,1
기술로,1,1,0,0,1,2,0,2,1,1
기자,3,2,2,2,2,5,4,3,2,2
기존,4,3,3,1,0,2,3,2,5,2
기후리스크,1,2,2,0,3,3,1,2,2,2
기후위기,1,2,2,0,3,3,1,2,2,2
나노소재,2,1,3,1,0,1,1,2,2,3
뉴스토마토,3,1,2,0,2,3,1,5,2,4
다른,1,0,0,0,5,4,0,2,1,1
다양한,5,3,9,10,8,7,4,11,3,5
대비,9,6,6,3,0,4,6,4,10,4
대응,1,2,2,0,3,3,1,2,2,2
대통령,1,0,5,0,3,4,0,2,2,0
대형,1,0,0,0,5,4,0,2,1,1
더욱,1,1,0,0,1,2,0,2,1,1
