org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
1000만,5,4,2,4,5,2,4,4,2,4,2
12hi,1,1,5,3,1,1,3,4,3,3,5
2분기,4,3,1,3,5,3,4,3,3,3,1
AI,2,5,3,3,1,3,5,8,6,8,3
and,0,2,0,0,1,1,0,0,0,2,0
as,0,2,0,0,1,1,0,0,0,2,0
automotive,0,2,0,0,1,1,0,0,0,2,0
BOE,9,7,3,7,10,5,8,7,5,7,3
CAPA,0,2,3,3,2,5,5,3,3,2,3
Copyright,1,3,2,1,1,2,1,3,3,4,2
DDI,4,2,1,3,5,3,4,4,2,2,1
Display,0,2,0,0,1,1,0,0,0,2,0
D램,1,1,5,3,1,1,3,4,3,3,5
GAMFF,1,3,2,1,1,2,1,3,3,4,2
GB,1,1,5,3,1,1,3,4,3,3,5
HBM,1,1,5,3,1,1,3,4,3,3,5
HLB,1,1,1,5,2,3,0,3,2,3,1
IAA,0,5,2,0,2,3,3,1,2,3,2
in,0,2,0,0,1,1,0,0,0,2,0
IoT,2,4,2,2,3,3,1,3,2,2,2
is,0,2,0,0,1,1,0,0,0,2,0
LCD,4,2,1,3,5,3,4,4,2,2,1
Lee,0,2,0,0,1,1,0,0,0,2,0
LG디스플레,4,3,1,3,5,3,4,3,3,3,1
LG디스플레이,9,8,5,8,11,5,13,8,6,8,5
LX세미콘,4,2,1,3,5,3,4,4,2,2,1
market,0,2,0,0,1,1,0,0,0,2,0
of,0,2,0,0,1,1,0,0,0,2,0
OLED,8,14,7,9,15,15,16,11,10,12,7
on,0,2,0,0,1,1,0,0,0,2,0
PD2706QN,1,0,1,1,1,0,2,3,1,1,1
QHD,1,0,1,1,1,0,2,3,1,1,1
Samsung,0,2,0,0,1,1,0,0,0,2,0
SKT,5,1,2,2,1,1,3,3,2,2,2
SK하이닉스,1,1,5,3,1,1,3,4,3,3,5
the,0,2,0,0,1,1,0,0,0,2,0
to,0,2,0,0,1,1,0,0,0,2,0
various,0,2,0,0,1,1,0,0,0,2,0
가격,1,1,5,3,1,1,3,4,3,3,5
감독,1,3,2,1,1,2,1,3,3,4,2
객실,1,2,2,2,0,2,2,5,4,3,2
것으로,14,11,5,12,15,9,16,16,10,13,5
결과,5,4,2,4,5,2,4,4,2,4,2
경북,1,3,2,1,1,2,1,3,3,4,2
경상국립대학교,1,4,2,4,1,5,2,5,5,5,2
경쟁사인,1,2,1,2,0,1,4,5,3,4,1
경험,1,2,2,2,0,2,2,5,4,3,2
계획이다.,0,1,1,2,0,0,2,3,5,2,1
고객,6,8,6,4,3,6,8,9,8,8,6
고도화,0,2,3,3,2,5,5,3,3,2,3
공간,0,0,3,1,1,0,3,4,5,3,3
관광지,0,0,3,1,1,0,3,4,5,3,3
교수,1,4,2,4,1,5,2,5,5,5,2
교육,1,5,3,6,1,5,4,8,10,7,3
구글,1,2,1,2,0,1,4,5,3,4,1
구글코리아,1,2,1,2,0,1,4,5,3,4,1
국제,1,3,2,1,1,2,1,3,3,4,2
기기,2,4,2,2,3,3,1,3,2,2,2
기념품,0,0,3,1,1,0,3,4,5,3,3
기념품으로,0,0,3,1,1,0,3,4,5,3,3
기록하며,0,1,2,1,1,0,5,1,1,1,2
기록했으며,0,1,2,1,1,0,5,1,1,1,2
기업으로,1,1,1,5,2,3,0,3,2,3,1
