term,cur,prev,diff,total,ma7,z_like
lg디스플레이,12,5,7,69,8.571,0.873
애플,11,4,7,47,6.286,1.344
oled,8,13,-5,118,9.143,-0.284
삼성디스플레이,4,9,-5,41,2.857,0.425
패널,2,0,2,9,0.714,0.697
폴더블,2,2,0,13,1.714,0.124
갤럭시,2,0,2,19,2.143,-0.058
sk하이닉스,2,1,1,17,2.143,-0.058
한화,2,0,2,28,3.857,-0.627
엔비디아,1,0,1,8,0.143,0.622
byd,1,0,1,9,0.429,0.345
아마존,1,0,1,4,0.429,0.345
boe,1,2,-1,15,0.857,0.074
아이폰,1,0,1,8,1.0,0.0
카카오,1,1,0,9,1.143,-0.069
메타,1,0,1,10,1.286,-0.134
