org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
.attr,0,1,1,1,2,0,1,1,1,1
.css,0,1,1,1,2,0,1,1,1,1
.find,0,1,1,1,2,0,1,1,1,1
.val,0,1,1,1,2,0,1,1,1,1
1로,1,1,2,1,0,0,0,0,0,0
2023년,0,0,1,4,0,0,0,0,1,1
2026년형,0,1,1,2,0,0,2,1,3,1
2026학년도,1,1,2,1,0,0,0,0,0,0
26일부터,0,1,3,1,1,0,1,1,1,0
2차전지,1,0,3,2,0,0,1,0,1,5
3년간,1,0,1,5,0,0,0,0,1,0
3분기,4,2,2,3,0,0,2,1,1,1
3종,1,1,1,0,1,0,0,0,0,1
40도,0,0,1,0,0,1,0,0,0,1
4855억,4,2,2,3,0,0,2,1,1,1
4성,1,1,1,0,1,0,0,0,0,1
50주년,0,0,0,0,0,0,0,0,1,0
6시,0,0,0,0,0,0,0,0,1,0
70명,1,0,0,0,0,0,0,0,0,0
7호실,0,0,1,1,0,0,0,0,0,0
8.6세대,1,0,2,8,0,0,0,0,1,3
9건,0,0,2,2,0,0,1,0,0,0
9월,2,0,1,0,1,5,0,0,1,1
AI,6,18,25,21,3,1,8,7,4,12
AMD,0,1,2,0,0,0,0,0,0,1
Apple,0,0,0,0,0,0,0,0,2,0
A씨,0,0,1,0,1,0,0,0,0,0
BOE,2,0,6,18,0,0,0,0,4,3
BYD,0,1,1,2,0,0,2,1,3,1
CBC뉴스,0,0,2,1,8,1,0,0,1,1
CD,0,1,1,1,2,0,1,1,1,1
CPU,0,1,4,2,0,0,0,0,0,1
CSOT,1,0,1,4,0,0,0,0,0,2
Design,0,10,2,6,0,0,4,4,0,1
else,0,1,1,1,2,0,1,1,1,1
ESG,1,0,0,0,0,0,0,0,0,0
ESS,1,0,3,2,0,0,1,0,1,5
ETERNA,0,0,0,0,0,0,0,0,2,0
function,0,1,1,1,2,0,1,1,1,1
GFX,2,1,2,2,0,0,1,1,3,2
HK이노엔,1,0,0,0,0,0,0,0,0,0
HPSP,0,2,6,3,1,0,0,0,1,10
id,0,1,1,1,2,0,1,1,1,1
IDEA,1,26,8,13,0,0,14,33,6,1
iF,1,4,1,1,1,0,1,3,1,0
if,0,1,1,1,2,0,1,1,1,1
ITC,0,0,3,5,0,0,0,0,2,0
IT용,1,0,2,8,0,0,0,0,1,3
JV,2,1,2,4,1,0,0,0,1,3
KBS,0,0,0,0,0,0,0,0,1,0
KBS2TV,0,0,0,1,0,0,0,0,0,0
KizunaAI,0,1,3,1,1,0,1,1,1,0
KODEX,2,1,4,2,0,0,0,0,0,5
KT,2,1,2,4,1,0,0,0,1,3
LAKE,0,1,3,1,1,0,1,1,1,0
LCD,6,15,12,24,1,0,5,25,10,3
LCK,0,0,0,0,2,1,0,0,1,0
LG,1,4,1,1,1,0,1,3,1,0
LG디스플레,4,2,2,3,0,0,2,1,1,1
LG디스플레이,4,2,2,3,0,0,2,1,1,1
LG전자,9,6,8,14,3,0,1,3,3,4
LTPO,0,0,3,5,0,0,0,0,2,0
MBC,0,0,0,0,1,5,0,0,0,0
NC다이노스,0,0,0,0,0,0,0,0,1,0
NWS,0,1,1,1,2,0,1,1,1,1
OLED,12,3,19,44,2,0,0,0,11,9
ProRes,0,0,0,0,0,0,0,0,2,0
Samsung,0,15,3,9,0,0,6,6,0,2
SK하이닉스,1,1,2,1,0,0,0,0,0,0
SWAN,0,1,3,1,1,0,1,1,1,0
TIGER,2,1,4,2,0,0,0,0,0,5
TSMC,0,1,2,0,0,0,0,0,0,1
UI,0,0,1,0,0,0,0,0,0,0
var,0,1,1,1,2,0,1,1,1,1
Web,0,1,1,1,2,0,1,1,1,1
XX,0,0,1,0,1,0,0,0,0,0
가격,6,2,11,19,1,0,0,0,4,2
가능,0,0,1,1,0,0,0,0,0,0
가능성,0,0,1,0,1,0,0,0,1,0
가능한,0,1,1,0,0,0,1,1,2,0
가방,2,1,0,0,1,0,2,1,0,0
가진,1,0,2,0,1,1,0,0,0,1
각각,2,3,6,5,0,0,2,1,2,10
각각각,0,1,3,3,0,0,0,0,1,5
각종,0,0,2,0,1,0,0,0,0,0
감각,0,0,1,0,1,0,0,0,1,0
감성,0,1,1,0,0,0,1,1,2,0
강남구,0,0,0,0,0,0,0,0,1,0
강사,1,0,0,0,2,9,0,0,1,0
강의,1,0,0,1,5,18,0,0,1,0
강조했다.,0,0,2,3,0,0,0,0,2,0
개발,3,2,6,4,0,0,3,1,2,10
개발자,0,0,4,1,0,0,0,0,0,1
개청,0,0,0,0,0,0,0,0,1,0
개통,1,0,1,2,1,0,0,0,1,1
개포동,0,0,0,0,0,0,0,0,1,0
갤럭시,1,16,4,9,1,0,6,6,0,3
거래,2,1,4,2,0,0,0,0,0,5
거래일,0,2,6,3,1,0,0,0,1,10
건강,0,0,0,1,3,9,0,0,0,0
검사,0,0,1,1,1,1,0,0,0,1
검사장비,1,0,3,2,0,0,1,0,1,5
것으로,6,5,14,16,0,0,3,1,3,9
것이,0,0,1,1,1,1,0,0,0,0
것이다.,4,1,1,0,3,2,2,1,2,2
게이밍,2,1,2,2,0,0,1,1,1,2
게임,0,0,0,0,2,1,0,0,1,0
결혼,0,0,0,0,2,1,0,0,1,0
경동나비엔,2,6,2,4,0,0,10,7,2,0
경륜경정총괄본부,0,0,2,0,1,0,0,0,0,0
경북,0,1,1,1,2,0,1,1,1,1
경쟁률,1,1,2,1,0,0,0,0,0,0
경직된,2,0,1,5,0,0,0,0,2,1
경험,0,5,1,3,0,0,2,2,0,1
계약학,1,1,2,1,0,0,0,0,0,0
고개,0,0,1,0,0,1,0,0,0,1
고객,3,5,3,5,2,0,1,3,2,3
고려대,1,1,2,1,0,0,0,0,0,0
고유무기,1,1,1,0,1,0,0,0,0,1
고현정,0,0,1,0,2,0,0,0,0,0
곳에서,2,0,1,0,2,2,0,0,2,2
공개된다.,1,0,0,0,1,4,0,0,1,0
공연,0,0,0,0,0,0,0,0,1,0
공정,4,0,6,7,0,0,1,0,1,5
공주경찰서,0,0,1,0,1,0,0,0,1,0
공주교육지원청,0,0,1,0,1,0,0,0,1,0
공주시,0,0,1,0,1,0,0,0,1,0
공주중학교,0,0,1,0,1,0,0,0,1,0
관세,3,1,2,4,1,0,0,0,1,1
관해,0,0,0,1,1,5,0,0,0,0
광고,1,0,1,0,0,1,0,0,0,0
광학,0,0,0,0,0,0,0,0,2,0
교사,1,0,2,0,1,1,0,0,0,1
교사들,1,0,2,0,1,1,0,0,0,1
교수,0,0,1,0,0,0,0,0,0,0
교원,1,0,2,0,1,1,0,0,0,1
교육,2,1,2,2,0,0,1,1,1,2
교인들,0,0,0,0,0,2,0,0,0,1
교통안전,0,0,1,0,1,0,0,0,1,0
교회,0,0,0,0,0,2,0,0,0,1
구름,0,0,1,0,3,1,0,0,1,0
구조,4,2,2,3,0,0,2,1,1,1
국가핵심기술,0,0,2,2,0,0,1,0,0,0
국악,0,0,0,0,0,0,0,0,1,0
국악한마당,0,0,0,0,0,0,0,0,1,0
국제뉴스,0,0,1,0,0,0,0,0,0,0
권위,0,10,4,4,0,0,4,20,4,0
귀인,2,0,1,0,2,2,0,0,2,2
그냥,0,0,1,0,1,0,0,0,0,0
그녀,1,0,0,0,1,4,0,0,1,0
그래서,0,0,0,0,0,2,0,0,0,1
그러나,2,0,1,0,2,2,0,0,2,2
그러면,0,0,0,0,0,2,0,0,0,1
그런,0,0,0,0,0,2,0,0,0,1
그룹장,0,0,2,3,0,0,0,0,2,0
그의,0,0,0,1,3,0,0,0,0,1
극의,0,0,1,0,2,0,0,0,0,0
근데,0,0,0,0,0,2,0,0,0,1
근절,0,0,2,0,1,0,0,0,0,0
기간,0,1,5,3,1,0,2,1,1,0
기기,0,1,3,0,1,0,0,0,0,5
기능,0,10,9,8,1,0,5,4,1,2
기반,2,1,2,2,0,0,1,1,1,2
기업들,1,0,1,4,0,0,0,0,0,2
기자,0,3,4,2,2,5,1,5,1,1
기존,0,2,1,1,0,0,1,5,1,0
기준,2,1,2,2,0,0,1,1,1,2
기지국,2,1,2,4,1,0,0,0,1,3
기탁,0,0,0,0,0,0,0,0,1,0
기회,0,0,0,0,0,0,0,0,0,1
긴장감,0,0,1,0,2,0,0,0,0,0
김동아,0,0,2,2,0,0,1,0,0,0
김성언,0,0,1,1,1,1,0,0,0,1
김영일,0,3,1,1,0,0,1,5,1,0
김우진,0,0,1,1,0,0,0,0,0,0
김종국,0,0,2,0,3,1,0,0,1,0
꼽힌다.,0,3,1,1,0,0,1,5,1,0
나눔,0,0,0,0,0,0,0,0,1,0
나비엔,1,1,1,2,0,0,5,2,1,0
나유리,0,0,0,0,0,0,0,0,0,1
남금주,0,0,0,1,1,5,0,0,0,0
남편,0,0,1,0,1,0,0,0,0,0
내수시장,2,0,1,5,0,0,0,0,2,1
너머,0,0,1,0,1,0,0,0,1,0
너무,1,2,0,0,2,0,1,1,1,0
네이버,1,0,0,0,0,0,0,0,0,0
넷플릭스,0,0,0,1,1,0,0,0,0,0
노래,0,0,0,2,0,0,0,0,4,3
녹색어머니회,0,0,1,0,1,0,0,0,1,0
높였으며,2,4,2,4,0,0,10,5,2,0
누나,0,0,0,1,1,5,0,0,0,0
뉴럴,0,0,3,1,1,0,1,0,1,0
뉴스,0,0,4,1,2,0,1,0,2,0
뉴시스,0,0,5,1,1,0,0,0,0,1
뉴아틀라스,0,1,1,0,0,0,1,1,2,0
다.,0,2,6,3,1,0,0,0,1,10
다른,0,0,1,0,1,0,0,0,1,0
다리로,0,0,0,1,0,0,0,0,0,0
다양한,3,11,9,10,5,1,6,5,2,6
단순히,0,0,1,1,1,1,0,0,0,1
대구보건대학교,0,0,1,0,0,0,0,0,0,0
대기업,1,1,2,1,0,0,0,0,0,0
대다수,0,0,0,1,1,1,0,0,0,0
대비,2,3,10,5,1,0,0,0,1,15
대상으로,0,0,1,0,1,0,0,0,1,0
대운산업개발,0,0,0,0,0,0,0,0,1,0
대형,0,0,2,0,1,0,0,0,0,0
댓글,0,0,1,1,0,0,0,0,0,0
더퍼블릭,0,3,1,1,0,0,1,5,1,0
데뷔,0,0,0,1,0,0,0,0,2,1
데이터센터,3,1,2,4,1,0,0,0,1,1
도구,0,0,1,0,0,0,0,0,0,0
도심,0,0,0,1,3,0,0,0,0,1
도움,0,0,0,1,1,1,0,0,0,0
돋보이,0,0,1,1,0,0,0,0,1,0
되고,0,0,1,0,0,1,0,0,0,1
된다.,0,0,0,1,1,1,0,0,0,0
드라이버,3,0,3,5,0,0,0,0,0,0
들고,2,1,0,0,1,0,2,1,0,0
등을,0,1,3,3,0,0,0,0,1,5
등이,1,4,1,1,1,0,1,3,1,0
디바이스,0,0,1,0,0,0,0,0,0,0
디스플레,1,1,9,12,1,0,2,0,2,3
디자인,3,38,11,19,1,0,22,41,8,2
디저트,0,0,1,1,0,0,0,0,1,0
따라,1,8,4,5,1,0,3,15,4,1
따르면,0,0,1,4,0,0,0,0,1,1
때문에,2,0,1,0,2,2,0,0,2,2
때문이다.,3,1,2,4,1,0,0,0,1,1
라고,0,0,0,2,3,9,0,0,2,2
라며,0,0,0,3,0,0,0,0,4,3
