rank,keyword,score
1,디스플레,7.022701160711667
2,삼성전자,4.754823816615548
3,미래,2.552719786045095
4,기술,2.387508649645984
5,갤럭시,2.300742527912221
6,마감,2.250675480065096
7,비전,1.9952032316914345
8,반도체,1.8124510281206012
9,인공지능,1.6259838836839
10,최대,1.3674115484096414
11,베를린,1.3502797303221437
12,투자,1.2760825005256504
13,혁신,1.1981715233640946
14,지원,1.1809442350447097
15,이해,1.1688765593759007
16,한국형,1.1265784301068134
17,전략,1.1014360922172326
