term,cur,prev,diff,total,ma7,z_like
삼성,25,2,23,321,24.0,0.17
애플,11,1,10,64,7.857,0.826
삼성전자,8,1,7,64,2.143,2.377
lg,5,1,4,241,26.286,-3.474
갤럭시,4,0,4,23,1.714,0.99
폴더블,4,2,2,20,2.143,0.754
lg디스플레이,4,0,4,66,4.143,-0.047
oled,4,2,2,122,5.429,-0.429
amd,3,0,3,4,0.571,1.383
ar,3,0,3,31,1.857,0.484
화웨이,2,0,2,4,0.286,1.117
에릭슨,2,0,2,2,0.286,1.117
boe,2,0,2,16,0.571,0.814
구글,2,0,2,11,0.714,0.697
lg전자,2,0,2,23,1.429,0.26
엔비디아,1,0,1,8,0.143,0.622
퀄컴,1,0,1,10,0.286,0.465
sk하이닉스,1,0,1,18,1.143,-0.069
