term,cur,prev,diff,ma7,z_like,total
이도,10,0,10,1.667,3.637,10
강의,8,0,8,1.333,3.094,8
전참시,8,0,8,1.333,3.094,8
각막,7,0,7,1.167,2.804,7
운세,6,0,6,1.0,2.5,6
명곡,6,1,5,1.167,2.324,7
불후의,6,1,5,1.167,2.324,7
신승훈,6,1,5,1.167,2.324,7
16세,5,0,5,0.833,2.178,5
27세,5,0,5,0.833,2.178,5
모솔,5,0,5,0.833,2.178,5
살림남,5,0,5,0.833,2.178,5
손상,5,0,5,0.833,2.178,5
쇼호스트에,5,0,5,0.833,2.178,5
실명,5,0,5,0.833,2.178,5
연하,5,0,5,0.833,2.178,5
중단,5,0,5,0.833,2.178,5
지상렬,5,0,5,0.833,2.178,5
결혼,6,3,3,1.5,2.023,9
고백,5,2,3,1.167,1.843,7
변우석,5,2,3,1.167,1.843,7
위기,5,0,5,1.167,1.843,7
일상,4,1,3,1.0,1.5,6
09월,3,0,3,0.5,1.464,3
강사,3,0,3,0.5,1.464,3
고혈압,3,0,3,0.5,1.464,3
극비,3,0,3,0.5,1.464,3
김우진씨,3,0,3,0.5,1.464,3
김종국,3,0,3,0.5,1.464,3
내부,3,0,3,0.5,1.464,3
모두까기,3,0,3,0.5,1.464,3
바꿔줘,3,0,3,0.5,1.464,3
받았다,3,0,3,0.5,1.464,3
방광살리기,3,0,3,0.5,1.464,3
별자리,3,0,3,0.5,1.464,3
보냈,3,0,3,0.5,1.464,3
부친상,3,0,3,0.5,1.464,3
비트버니,3,0,3,0.5,1.464,3
사연,3,0,3,0.5,1.464,3
선택,3,0,3,0.5,1.464,3
성공적,3,0,3,0.5,1.464,3
수면장애,3,0,3,0.5,1.464,3
쏠퀴즈,3,0,3,0.5,1.464,3
야간뇨로,3,0,3,0.5,1.464,3
어필,3,0,3,0.5,1.464,3
오늘의,3,0,3,0.5,1.464,3
원인,3,0,3,0.5,1.464,3
이후,3,0,3,0.5,1.464,3
인한,3,0,3,0.5,1.464,3
작심,3,0,3,0.5,1.464,3
재미있었어,3,0,3,0.5,1.464,3
전립선,3,0,3,0.5,1.464,3
정답,3,0,3,0.5,1.464,3
정답은,3,0,3,0.5,1.464,3
제작진에,3,0,3,0.5,1.464,3
중요,3,0,3,0.5,1.464,3
지리,3,0,3,0.5,1.464,3
진태현,3,0,3,0.5,1.464,3
질환,3,0,3,0.5,1.464,3
축하파티,3,0,3,0.5,1.464,3
출연,3,0,3,0.5,1.464,3
치료가,3,0,3,0.5,1.464,3
퀴즈,3,0,3,0.5,1.464,3
해시태,3,0,3,0.5,1.464,3
허각,3,0,3,0.5,1.464,3
호소,3,0,3,0.5,1.464,3
활동,6,7,-1,2.333,1.451,14
107일,3,1,2,0.667,1.285,4
ktx,3,1,2,0.667,1.285,4
경륜경정,3,1,2,0.667,1.285,4
광명역,3,1,2,0.667,1.285,4
대회서,3,1,2,0.667,1.285,4
마라톤,3,1,2,0.667,1.285,4
불법도박,3,1,2,0.667,1.285,4
수술,3,1,2,0.667,1.285,4
아내,3,1,2,0.667,1.285,4
예방,3,1,2,0.667,1.285,4
평화,3,1,2,0.667,1.285,4
해리스의,3,1,2,0.667,1.285,4
회고록,3,1,2,0.667,1.285,4
15만원,3,2,1,0.833,1.133,5
36만원,3,2,1,0.833,1.133,5
40도,3,2,1,0.833,1.133,5
4년,3,0,3,0.833,1.133,5
강변,3,2,1,0.833,1.133,5
건강하십니까,3,2,1,0.833,1.133,5
고독,3,2,1,0.833,1.133,5
꺾인다,3,2,1,0.833,1.133,5
너무,3,2,1,0.833,1.133,5
닿은,3,2,1,0.833,1.133,5
만에,3,2,1,0.833,1.133,5
무슨,3,2,1,0.833,1.133,5
민주당,3,1,2,0.833,1.133,5
반발,3,2,1,0.833,1.133,5
비싸다했더니,3,2,1,0.833,1.133,5
순간,3,2,1,0.833,1.133,5
잡는,3,2,1,0.833,1.133,5
초가을,3,2,1,0.833,1.133,5
특단,3,2,1,0.833,1.133,5
파격,3,2,1,0.833,1.133,5
평균,3,2,1,0.833,1.133,5
푸른,3,2,1,0.833,1.133,5
하늘이,3,2,1,0.833,1.133,5
강남구,2,0,2,0.333,1.057,2
고현정,2,0,2,0.333,1.057,2
공개로,2,0,2,0.333,1.057,2
국악한마당,2,0,2,0.333,1.057,2
댄스에,2,0,2,0.333,1.057,2
도심,2,0,2,0.333,1.057,2
모솔연애,2,0,2,0.333,1.057,2
무대,2,0,2,0.333,1.057,2
발라드,2,0,2,0.333,1.057,2
배경으로,2,0,2,0.333,1.057,2
보고,2,0,2,0.333,1.057,2
보여서,2,0,2,0.333,1.057,2
산업용,2,0,2,0.333,1.057,2
손상으로,2,0,2,0.333,1.057,2
송가인,2,0,2,0.333,1.057,2
시무,2,0,2,0.333,1.057,2
실명위기,2,0,2,0.333,1.057,2
심쿵,2,0,2,0.333,1.057,2
에스피시스템스,2,0,2,0.333,1.057,2
여유로운,2,0,2,0.333,1.057,2
영파씨,2,0,2,0.333,1.057,2
온디바이스,2,0,2,0.333,1.057,2
울면서,2,0,2,0.333,1.057,2
웃음,2,0,2,0.333,1.057,2
위풍당당,2,0,2,0.333,1.057,2
인순이,2,0,2,0.333,1.057,2
진심인,2,0,2,0.333,1.057,2
책임,2,0,2,0.333,1.057,2
최현욱,2,0,2,0.333,1.057,2
카리스마,2,0,2,0.333,1.057,2
협동로봇,2,0,2,0.333,1.057,2
혼삿길,2,0,2,0.333,1.057,2
황제,2,0,2,0.333,1.057,2
23조원,3,3,0,1.0,1.0,6
sk하이닉스,3,3,0,1.0,1.0,6
간첩,3,3,0,1.0,1.0,6
계약학과,3,3,0,1.0,1.0,6
곳곳에,3,3,0,1.0,1.0,6
깔린,3,3,0,1.0,1.0,6
나라,3,3,0,1.0,1.0,6
달해,3,3,0,1.0,1.0,6
입시,3,3,0,1.0,1.0,6
조치,3,2,1,1.0,1.0,6
