org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
.attr,1,2,1,2,1,1,1,0
.css,1,2,1,2,1,1,1,0
.find,1,2,1,2,1,1,1,0
.val,1,2,1,2,1,1,1,0
1로,0,1,1,0,0,1,1,0
2023년,0,1,4,0,0,0,0,0
2026년형,1,2,2,0,2,0,1,0
2026학년도,0,1,1,0,0,1,1,0
26일부터,1,2,1,1,1,1,1,0
2차전지,0,3,2,1,1,5,0,0
3년간,0,1,5,1,0,0,0,0
3분기,1,2,3,1,2,1,2,1
3종,0,2,0,2,0,1,1,1
40도,0,0,0,0,0,1,0,1
4855억,1,2,3,1,2,1,2,1
4성,0,2,0,2,0,1,1,1
7호실,0,1,1,0,0,0,0,0
8.6세대,0,2,8,0,0,1,0,0
9건,0,2,2,0,1,1,0,0
9월,0,1,0,2,0,0,0,4
AI,7,20,20,10,5,20,18,4
AMD,0,2,0,0,0,2,1,0
Apple,0,1,0,1,0,0,0,0
A씨,0,1,0,0,0,1,0,0
BOE,0,5,18,2,0,2,0,1
BYD,1,2,2,0,2,0,1,0
CBC뉴스,0,0,1,11,0,0,0,3
CD,1,2,1,2,1,1,1,0
CPU,0,3,2,0,0,2,1,1
CSOT,0,1,4,0,0,1,0,0
Design,4,2,6,2,2,3,10,0
else,1,2,1,2,1,1,1,0
email,0,1,1,3,0,1,0,1
ESS,0,3,2,1,1,5,0,0
ETERNA,0,1,0,1,0,0,0,0
FE,0,1,0,0,0,1,1,1
FT,0,0,1,1,0,0,0,0
function,1,2,1,2,1,1,1,0
GFX,1,4,2,2,1,2,1,1
HPSP,0,4,3,1,0,10,2,1
id,1,2,1,2,1,1,1,0
IDEA,35,11,15,2,22,3,29,0
iF,2,2,1,2,2,1,4,0
if,1,2,1,2,1,1,1,0
ITC,0,2,5,1,0,1,0,1
IT용,0,2,8,0,0,1,0,0
JV,0,4,4,1,0,3,1,0
KBS2TV,0,0,1,1,0,0,0,0
KizunaAI,1,2,1,1,1,1,1,0
KODEX,0,2,2,0,0,5,1,0
KT,0,4,4,1,0,3,1,0
LAKE,1,2,1,1,1,1,1,0
LCD,25,11,24,5,10,2,15,2
LCK,1,1,0,3,0,0,0,0
LG,2,2,1,2,2,1,4,0
LG디스플레,1,2,3,1,2,1,2,1
LG디스플레이,1,2,3,1,2,1,2,1
LG전자,2,11,14,5,2,7,6,1
LTPO,0,2,5,1,0,1,0,1
MBC,0,0,0,1,0,0,0,4
NWS,1,2,1,2,1,1,1,0
OLED,0,19,44,9,0,10,3,3
ProRes,0,1,0,1,0,0,0,0
protected,0,1,1,3,0,1,0,1
Samsung,6,3,9,3,3,5,15,0
SBS,0,1,1,3,0,1,0,1
SK하이닉스,0,1,1,0,0,1,1,0
SWAN,1,2,1,1,1,1,1,0
TIGER,0,2,2,0,0,5,1,0
TSMC,0,2,0,0,0,2,1,0
UI,0,0,0,0,0,0,0,1
var,1,2,1,2,1,1,1,0
Web,1,2,1,2,1,1,1,0
XX,0,1,0,0,0,1,0,0
가격,0,10,19,4,0,6,3,4
가능,0,1,1,0,0,0,0,0
가능성,0,0,0,0,0,0,0,1
가능한,1,0,0,0,1,0,1,1
가방,1,0,0,1,2,0,1,0
가진,0,1,0,1,0,1,0,2
각각,1,6,5,1,2,10,3,0
각각각,0,2,3,0,0,5,1,0
각종,0,1,0,0,0,1,0,1
감각,0,0,0,0,0,0,0,1
감성,1,0,0,0,1,0,1,1
강사,0,0,0,3,0,0,0,7
강의,0,0,1,7,0,0,0,14
강조했다.,0,2,3,1,0,1,0,0
개발,1,7,4,2,3,10,2,0
개통,0,2,2,1,0,0,0,0
갤럭시,6,6,9,5,3,7,17,2
거래,0,2,2,0,0,5,1,0
거래일,0,4,3,1,0,10,2,1
건강,0,0,1,4,0,0,0,7
검사장비,0,3,2,1,1,5,0,0
것으로,1,11,16,2,3,10,5,2
것이,0,0,1,2,0,0,0,1
것이다.,1,1,0,2,2,1,1,0
게이밍,1,3,2,1,1,2,1,1
게임,1,1,0,3,0,0,0,0
결혼,1,2,1,6,0,1,0,1
경동나비엔,8,6,6,0,15,0,9,0
경륜경정총괄본부,0,1,0,0,0,1,0,1
경북,1,2,1,2,1,1,1,0
경쟁률,0,1,1,0,0,1,1,0
경직된,0,1,5,2,0,0,0,0
경험,2,1,3,1,1,2,5,0
계약학,0,1,1,0,0,1,1,0
고개,0,0,0,0,0,1,0,1
고객,2,6,5,3,2,4,5,0
고독,0,0,0,2,0,0,0,1
고려대,0,1,1,0,0,1,1,0
고유무기,0,2,0,2,0,1,1,1
고현정,0,0,0,2,0,0,0,1
고혈압,0,1,1,3,0,1,0,1
곳에서,0,1,0,1,0,1,0,0
공개된다.,0,0,0,2,0,0,0,3
공정,0,6,7,2,1,7,0,0
공주경찰서,0,0,0,1,0,0,0,1
공주교육지원청,0,0,0,1,0,0,0,1
공주시,0,0,0,1,0,0,0,1
공주중학교,0,0,0,1,0,0,0,1
관세,0,2,4,1,0,1,1,1
관해,0,0,1,3,0,0,0,3
광고,0,1,0,0,0,0,0,1
광학,0,1,0,1,0,0,0,0
교사,0,1,0,1,0,1,0,2
교사들,0,1,0,1,0,1,0,2
교수,0,1,0,0,0,1,0,0
교원,0,1,0,1,0,1,0,2
교육,1,3,2,1,1,2,1,1
교인들,0,0,0,1,0,0,0,1
교통안전,0,0,0,1,0,0,0,1
교회,0,0,0,1,0,0,0,1
구름,0,0,0,6,0,0,0,3
구조,1,2,3,1,2,1,2,1
국가핵심기술,0,2,2,0,1,1,0,0
국제뉴스,0,1,0,0,0,1,0,0
권위,20,4,4,0,8,0,10,0
귀인,0,1,0,1,0,1,0,0
그냥,0,1,0,0,0,1,0,0
그녀,0,0,0,2,0,0,0,3
그는,0,0,1,1,0,0,0,0
그래서,0,0,0,1,0,0,0,1
그러나,0,1,0,1,0,1,0,0
그러면,0,0,0,1,0,0,0,1
그런,0,0,0,1,0,0,0,1
그룹장,0,2,3,1,0,1,0,0
그리고,0,0,0,2,0,0,0,1
그의,0,0,1,7,0,0,0,1
극의,0,0,0,2,0,0,0,1
근데,0,0,0,1,0,0,0,1
근절,0,1,0,0,0,1,0,1
금지,0,1,1,3,0,1,0,1
기간,1,4,3,1,2,2,1,0
기기,0,2,0,1,0,5,1,1
기능,4,6,7,4,3,5,11,1
기반,1,3,2,1,1,2,1,1
기업들,0,1,4,0,0,1,0,0
기자,5,3,2,3,2,2,3,4
기존,5,1,1,0,2,0,2,0
기준,1,3,2,1,1,2,1,1
기지국,0,4,4,1,0,3,1,0
기회,0,1,1,3,0,1,0,1
긴장감,0,0,0,2,0,0,0,1
김동아,0,2,2,0,1,1,0,0
김영일,5,1,1,0,2,0,3,0
김우진,0,1,1,0,0,0,0,0
김종국,1,3,1,6,0,2,0,2
김종국에게,0,1,1,3,0,1,0,1
꼽힌다.,5,1,1,0,2,0,3,0
나비엔,4,4,4,0,10,0,4,0
남금주,0,0,1,3,0,0,0,3
남편,0,1,0,0,0,1,0,0
내수시장,0,1,5,2,0,0,0,0
너머,0,0,0,0,0,0,0,1
너무,1,1,0,1,1,0,2,0
넷플릭스,0,0,1,2,0,0,0,1
노이즈,0,1,0,0,0,1,1,1
녹색어머니회,0,0,0,1,0,0,0,1
높였으며,3,4,4,0,10,0,4,0
누나,0,0,1,3,0,0,0,3
뉴럴,0,3,1,2,1,1,0,0
뉴스,0,3,1,2,1,1,0,1
뉴시스,0,2,1,3,0,2,0,1
