org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
AMD,,10.40 (1%),4.26 (0%),3.73 (1%),4.91 (0%),4.26 (1%),12.21 (1%),12.62 (1%)
AUO,1.41 (3%),27.03 (2%),10.65 (1%),6.71 (2%),17.53 (2%),14.90 (2%),22.27 (2%),21.04 (2%)
BMW,,6.24 (0%),2.13 (0%),2.24 (1%),4.21 (0%),3.55 (1%),19.39 (2%),9.12 (1%)
BOE,,90.80 (6%),75.23 (6%),24.60 (6%),56.81 (6%),22.00 (3%),46.69 (5%),58.91 (5%)
BYD,1.41 (3%),9.01 (1%),5.68 (0%),2.98 (1%),4.21 (0%),2.84 (0%),3.59 (0%),9.12 (1%)
CES,1.41 (3%),10.40 (1%),2.84 (0%),2.24 (1%),9.82 (1%),22.00 (3%),10.06 (1%),11.92 (1%)
CSOT,,47.13 (3%),42.58 (4%),14.91 (3%),29.46 (3%),9.23 (1%),21.55 (2%),30.16 (3%)
Counterpoint,,0.69 (0%),,,,1.42 (0%),,0.70 (0%)
ETRI,,,,,1.40 (0%),4.26 (1%),,
Harman,,3.47 (0%),1.42 (0%),0.75 (0%),0.70 (0%),0.71 (0%),0.72 (0%),1.40 (0%)
IEEE,,4.16 (0%),2.13 (0%),1.49 (0%),1.40 (0%),2.84 (0%),2.15 (0%),2.81 (0%)
Innolux,2.82 (6%),27.03 (2%),11.35 (1%),6.71 (2%),15.43 (1%),12.77 (2%),31.60 (3%),21.74 (2%)
IoT,1.41 (3%),13.17 (1%),5.68 (0%),3.73 (1%),8.42 (1%),7.81 (1%),16.52 (2%),16.83 (1%)
JDI,,14.56 (1%),11.35 (1%),3.73 (1%),7.71 (1%),2.84 (0%),2.87 (0%),8.42 (1%)
KAIST,1.41 (3%),10.40 (1%),2.84 (0%),2.24 (1%),9.12 (1%),22.00 (3%),7.18 (1%),9.12 (1%)
LG디스플레이,4.23 (10%),172.59 (11%),142.64 (12%),50.68 (11%),144.47 (14%),34.77 (5%),70.39 (8%),115.72 (10%)
LG전자,2.82 (6%),59.61 (4%),35.48 (3%),16.40 (4%),26.65 (3%),17.03 (3%),37.35 (4%),49.09 (4%)
LG화학,,8.32 (1%),2.13 (0%),1.49 (0%),5.61 (1%),2.13 (0%),2.87 (0%),4.91 (0%)
Nitto,,1.39 (0%),,,,,,
SID,,4.16 (0%),3.55 (0%),0.75 (0%),4.21 (0%),3.55 (1%),3.59 (0%),2.10 (0%)
SK하이닉스,,39.51 (3%),19.16 (2%),14.16 (3%),20.34 (2%),19.16 (3%),19.39 (2%),22.44 (2%)
Semiconductor,,4.85 (0%),1.42 (0%),2.24 (1%),2.10 (0%),3.55 (1%),4.31 (0%),2.81 (0%)
TCL,,43.67 (3%),35.48 (3%),9.69 (2%),21.74 (2%),12.77 (2%),29.45 (3%),32.96 (3%)
TSMC,,15.94 (1%),7.10 (1%),6.71 (2%),7.01 (1%),9.94 (1%),12.21 (1%),7.71 (1%)
Tianma,,26.34 (2%),24.84 (2%),9.69 (2%),14.03 (1%),4.97 (1%),16.52 (2%),17.53 (2%)
Toray,,2.77 (0%),0.71 (0%),,1.40 (0%),2.13 (0%),1.44 (0%),2.10 (0%)
Visionox,,23.57 (1%),29.10 (2%),5.96 (1%),15.43 (1%),1.42 (0%),4.31 (0%),11.92 (1%)
구글,1.41 (3%),51.29 (3%),27.68 (2%),9.69 (2%),39.97 (4%),48.97 (7%),30.17 (3%),37.87 (3%)
기아,,17.33 (1%),9.23 (1%),3.73 (1%),9.82 (1%),7.81 (1%),8.62 (1%),14.73 (1%)
기아자동차,1.41 (3%),4.16 (0%),2.84 (0%),2.24 (1%),2.10 (0%),1.42 (0%),2.15 (0%),2.81 (0%)
네이버,1.41 (3%),3.47 (0%),2.13 (0%),1.49 (0%),0.70 (0%),2.84 (0%),4.31 (0%),4.21 (0%)
디지타임스,,5.55 (0%),7.81 (1%),1.49 (0%),4.21 (0%),0.71 (0%),2.87 (0%),4.21 (0%)
레노버,,2.08 (0%),2.13 (0%),0.75 (0%),2.10 (0%),0.71 (0%),2.87 (0%),1.40 (0%)
마이크로소프트,5.64 (13%),27.03 (2%),14.19 (1%),5.96 (1%),14.73 (1%),29.10 (4%),20.11 (2%),21.74 (2%)
메타,1.41 (3%),45.75 (3%),19.87 (2%),7.45 (2%),35.07 (3%),56.06 (8%),23.70 (3%),32.26 (3%)
미디어텍,,5.55 (0%),2.13 (0%),2.98 (1%),4.21 (0%),2.84 (0%),8.62 (1%),4.21 (0%)
벤츠,,2.08 (0%),0.71 (0%),,2.10 (0%),1.42 (0%),11.49 (1%),3.51 (0%)
비보,,14.56 (1%),32.65 (3%),3.73 (1%),9.82 (1%),0.71 (0%),6.46 (1%),10.52 (1%)
삼성디스플레이,,111.60 (7%),86.58 (7%),40.99 (9%),100.29 (10%),29.10 (4%),43.10 (5%),77.14 (7%)
삼성전자,,166.36 (11%),116.39 (10%),47.70 (11%),102.39 (10%),59.61 (9%),108.46 (12%),129.74 (11%)
샤오미,,56.14 (4%),68.13 (6%),13.42 (3%),32.96 (3%),16.32 (2%),21.55 (2%),38.57 (3%)
샤오펑,,4.85 (0%),2.84 (0%),0.75 (0%),2.10 (0%),1.42 (0%),1.44 (0%),6.31 (1%)
샤프,,14.56 (1%),9.94 (1%),3.73 (1%),7.01 (1%),0.71 (0%),4.31 (0%),7.01 (1%)
선익시스템,,9.70 (1%),3.55 (0%),,4.21 (0%),3.55 (1%),5.03 (1%),7.01 (1%)
소니,1.41 (3%),13.86 (1%),7.81 (1%),3.73 (1%),6.31 (1%),4.97 (1%),7.90 (1%),9.12 (1%)
아마존,1.41 (3%),5.55 (0%),3.55 (0%),4.47 (1%),2.10 (0%),2.13 (0%),4.31 (0%),4.21 (0%)
아이씨디,,5.55 (0%),2.13 (0%),,2.81 (0%),1.42 (0%),3.59 (0%),4.21 (0%)
알파벳,4.23 (10%),10.40 (1%),8.52 (1%),3.73 (1%),2.81 (0%),4.26 (1%),7.90 (1%),7.01 (1%)
애플,5.64 (13%),138.63 (9%),153.29 (13%),36.52 (8%),108.00 (10%),72.39 (11%),76.85 (8%),97.48 (9%)
엔비디아,1.41 (3%),20.79 (1%),9.94 (1%),6.71 (2%),10.52 (1%),13.48 (2%),14.37 (2%),18.23 (2%)
오포,,15.94 (1%),36.19 (3%),4.47 (1%),11.22 (1%),,4.31 (0%),9.82 (1%)
원익IPS,,14.56 (1%),3.55 (0%),2.98 (1%),5.61 (1%),4.97 (1%),4.31 (0%),8.42 (1%)
인텔,,16.64 (1%),4.97 (0%),3.73 (1%),8.42 (1%),9.23 (1%),6.46 (1%),9.12 (1%)
카카오,,7.62 (0%),5.68 (0%),1.49 (0%),3.51 (0%),2.84 (0%),2.87 (0%),4.91 (0%)
퀄컴,,12.48 (1%),2.84 (0%),6.71 (2%),10.52 (1%),6.39 (1%),15.80 (2%),7.71 (1%)
하이센스,,33.96 (2%),23.42 (2%),7.45 (2%),17.53 (2%),10.65 (2%),22.98 (2%),28.75 (3%)
한미반도체,,11.78 (1%),2.13 (0%),3.73 (1%),4.21 (0%),6.39 (1%),3.59 (0%),5.61 (0%)
한화,,4.16 (0%),2.13 (0%),0.75 (0%),1.40 (0%),,,2.10 (0%)
현대모비스,,5.55 (0%),1.42 (0%),2.24 (1%),4.91 (0%),4.26 (1%),8.62 (1%),4.21 (0%)
현대자동차,1.41 (3%),11.78 (1%),4.97 (0%),4.47 (1%),7.01 (1%),3.55 (1%),9.34 (1%),9.12 (1%)
현대차,,18.71 (1%),8.52 (1%),5.96 (1%),12.62 (1%),8.52 (1%),20.11 (2%),16.13 (1%)
화웨이,,9.70 (1%),10.65 (1%),4.47 (1%),4.91 (0%),2.84 (0%),4.31 (0%),4.91 (0%)
