org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
1000만,3,1,5,4,3,1,3,3,2,1
1위,1,1,4,1,5,1,2,0,1,2
2025년,0,1,2,2,1,1,1,0,1,2
2분기,1,0,5,1,3,0,3,3,1,1
32만5천원,4,2,1,1,1,2,4,1,3,1
5단,1,0,0,0,0,0,0,1,2,2
A.I.,4,8,2,2,0,8,2,0,4,2
advertisement,3,2,3,2,3,2,1,2,5,4
AI,24,23,10,12,4,22,18,5,16,5
Air,2,2,2,2,0,2,2,10,6,9
and,1,2,1,1,2,2,2,0,0,0
as,1,2,1,1,2,2,2,0,0,0
automotive,1,2,1,1,2,2,2,0,0,0
BOE,4,1,10,5,6,1,6,6,3,2
Challenge,4,8,2,2,0,8,2,0,4,2
Copyright,2,3,2,1,2,5,3,2,1,1
Display,1,2,1,1,2,2,2,0,0,0
ECC,2,4,1,1,0,4,1,0,2,1
Finance,4,8,2,2,0,8,2,0,4,2
Future,4,8,2,2,0,8,2,0,4,2
GAMFF,2,3,2,1,2,5,3,2,1,1
HBM,7,6,3,2,1,6,8,2,5,2
HLB,2,2,2,1,1,2,2,1,3,1
HMR,4,2,2,5,1,2,2,1,3,0
IAA,2,4,7,4,10,3,5,1,4,3
in,1,2,1,1,2,2,2,0,0,0
IoT,1,2,3,1,5,1,3,1,2,0
is,1,2,1,1,2,2,2,0,0,0
KB국민은행,4,8,2,2,0,8,2,0,4,2
KB증권,4,2,2,1,0,1,2,0,1,0
Lee,1,2,1,1,2,2,2,0,0,0
LG디스플레,1,0,5,1,3,0,3,3,1,1
LG디스플레이,4,1,10,5,6,1,6,6,3,2
market,1,2,1,1,2,2,2,0,0,0
Max,2,2,2,2,0,2,2,10,6,9
of,1,2,1,1,2,2,2,0,0,0
OLED,4,6,15,6,16,5,11,5,5,4
on,1,2,1,1,2,2,2,0,0,0
Pro,2,2,2,2,0,2,2,10,6,9
Samsung,1,2,1,1,2,2,2,0,0,0
SK텔레콤,1,1,1,1,0,1,1,5,2,5
SK하이닉스,6,3,1,2,1,3,6,1,4,2
the,1,2,1,1,2,2,2,0,0,0
to,1,2,1,1,2,2,2,0,0,0
various,1,2,1,1,2,2,2,0,0,0
가동,1,1,2,1,0,1,1,0,1,1
각각,3,1,0,2,1,1,2,1,0,2
감독,2,3,2,1,2,5,3,2,1,1
강북삼성병원,3,3,0,1,0,2,1,0,2,1
건강관리,3,3,0,1,0,2,1,0,2,1
것으로,4,1,10,5,6,1,6,6,3,2
결과,3,1,5,4,3,1,3,3,2,1
경로,2,3,0,1,0,2,1,0,2,0
경북,2,3,2,1,2,5,3,2,1,1
경상국립대학교,3,5,3,3,2,4,4,1,4,2
