org,topic,base_score,topic_share,company_focus,hybrid_score
AMD,13,19.7151,0.0303,0.5413,19.7151
AMD,0,15.4448,0.0168,0.4241,15.4448
AMD,4,12.7552,0.0273,0.3502,12.7552
AMD,12,12.3208,0.0212,0.3383,12.3208
AMD,5,10.4791,0.0216,0.2877,10.4791
AMD,9,9.0109,0.0146,0.2474,9.0109
AMD,1,7.1117,0.0124,0.1953,7.1117
AMD,10,6.0022,0.0287,0.1648,6.0022
AMD,7,5.5597,0.0121,0.1527,5.5597
AMD,6,4.5648,0.0085,0.1253,4.5648
AMD,2,4.0304,0.0149,0.1107,4.0304
AMD,8,3.7515,0.0175,0.1030,3.7515
AMD,3,3.6027,0.0093,0.0989,3.6027
AMD,11,3.4822,0.0046,0.0956,3.4822
ASUS,3,7.9260,0.0204,0.6989,7.9260
ASUS,6,6.0864,0.0114,0.5367,6.0864
ASUS,0,2.8081,0.0031,0.2476,2.8081
ASUS,7,2.3827,0.0052,0.2101,2.3827
ASUS,8,2.2509,0.0105,0.1985,2.2509
ASUS,9,2.0794,0.0034,0.1834,2.0794
ASUS,10,1.7149,0.0082,0.1512,1.7149
ASUS,2,0.8061,0.0030,0.0711,0.8061
ASUS,5,0.8061,0.0017,0.0711,0.8061
ASUS,4,0.7503,0.0016,0.0662,0.7503
ASUS,13,0.7302,0.0011,0.0644,0.7302
ASUS,12,0.6845,0.0012,0.0604,0.6845
BMW,0,2.8081,0.0031,0.7271,2.8081
BMW,4,1.5006,0.0032,0.3886,1.5006
BMW,3,1.4411,0.0037,0.3731,1.4411
BMW,7,0.7942,0.0017,0.2057,0.7942
BMW,8,0.7503,0.0035,0.1943,0.7503
BMW,13,0.7302,0.0011,0.1891,0.7302
BMW,1,0.7112,0.0012,0.1841,0.7112
BMW,12,0.6845,0.0012,0.1772,0.6845
BOE,6,37.2795,0.0697,0.5285,37.2795
BOE,7,28.5928,0.0621,0.4053,28.5928
BOE,0,26.6774,0.0291,0.3782,26.6774
BOE,12,26.0106,0.0447,0.3687,26.0106
BOE,13,23.3660,0.0359,0.3312,23.3660
BOE,9,22.8739,0.0372,0.3243,22.8739
BOE,4,9.0037,0.0193,0.1276,9.0037
BOE,10,7.7171,0.0369,0.1094,7.7171
BOE,2,7.2548,0.0268,0.1028,7.2548
BOE,3,7.2055,0.0185,0.1021,7.2055
BOE,1,5.6893,0.0100,0.0807,5.6893
BOE,5,4.8365,0.0100,0.0686,4.8365
BOE,8,3.0012,0.0140,0.0425,3.0012
BOE,11,1.1607,0.0015,0.0165,1.1607
BYD,3,5.7644,0.0148,0.7131,5.7644
BYD,2,4.0304,0.0149,0.4986,4.0304
BYD,12,2.0535,0.0035,0.2540,2.0535
BYD,10,1.7149,0.0082,0.2122,1.7149
BYD,6,1.5216,0.0028,0.1882,1.5216
BYD,8,1.5006,0.0070,0.1856,1.5006
BYD,0,1.4041,0.0015,0.1737,1.4041
BYD,5,0.8061,0.0017,0.0997,0.8061
BYD,13,0.7302,0.0011,0.0903,0.7302
BYD,1,0.7112,0.0012,0.0880,0.7112
BYD,9,0.6931,0.0011,0.0858,0.6931
CES,9,1.3863,0.0023,0.6837,1.3863
CES,5,0.8061,0.0017,0.3975,0.8061
CES,6,0.7608,0.0014,0.3752,0.7608
CES,0,0.7020,0.0008,0.3462,0.7020
CES,12,0.6845,0.0012,0.3376,0.6845
CSOT,6,11.4121,0.0213,0.5963,11.4121
CSOT,0,10.5305,0.0115,0.5502,10.5305
CSOT,7,6.3539,0.0138,0.3320,6.3539
CSOT,9,5.5452,0.0090,0.2897,5.5452
CSOT,12,5.4759,0.0094,0.2861,5.4759
CSOT,13,2.9208,0.0045,0.1526,2.9208
CSOT,3,2.1616,0.0056,0.1129,2.1616
CSOT,1,2.1335,0.0037,0.1115,2.1335
CSOT,2,1.6122,0.0060,0.0842,1.6122
CSOT,5,1.6122,0.0033,0.0842,1.6122
CSOT,4,0.7503,0.0016,0.0392,0.7503
CSOT,8,0.7503,0.0035,0.0392,0.7503
HP,2,4.8365,0.0179,0.5044,4.8365
HP,4,4.5018,0.0096,0.4695,4.5018
HP,6,3.8040,0.0071,0.3967,3.8040
HP,0,3.5102,0.0038,0.3661,3.5102
HP,9,2.7726,0.0045,0.2891,2.7726
HP,12,2.0535,0.0035,0.2141,2.0535
HP,8,1.5006,0.0070,0.1565,1.5006
HP,13,1.4604,0.0022,0.1523,1.4604
HP,3,1.4411,0.0037,0.1503,1.4411
HP,11,1.1607,0.0015,0.1210,1.1607
HP,5,0.8061,0.0017,0.0841,0.8061
HP,7,0.7942,0.0017,0.0828,0.7942
HP,1,0.7112,0.0012,0.0742,0.7112
Harman,8,3.7515,0.0175,0.5278,3.7515
Harman,3,3.6027,0.0093,0.5069,3.6027
Harman,4,2.2509,0.0048,0.3167,2.2509
Harman,13,2.1906,0.0034,0.3082,2.1906
Harman,10,1.7149,0.0082,0.2413,1.7149
Harman,6,1.5216,0.0028,0.2141,1.5216
