org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
100배,0,0,2,0,0,0,0,0,0,0,0,0
11월,0,0,0,0,0,0,0,0,0,0,1,0
120Hz,1,0,0,0,0,0,1,2,0,0,0,1
12억달러,2,1,2,1,3,2,2,2,5,1,0,4
1위,4,4,1,1,2,1,5,4,1,1,1,4
2024년,1,0,2,0,3,2,2,0,0,5,0,3
2030년,2,1,2,1,3,2,2,2,5,1,0,4
2030년에,2,1,1,1,3,2,2,2,5,2,0,4
2가지,2,1,3,1,1,1,2,2,1,1,0,3
2개,0,0,2,0,0,1,0,1,0,1,0,0
2분기,5,5,1,2,5,5,4,4,1,3,0,4
2차전,0,0,0,0,0,0,0,0,0,0,5,0
3500억,0,2,2,2,6,7,2,1,0,3,0,2
3이닝,0,0,0,0,0,0,0,0,0,0,1,0
4o,0,0,0,0,0,1,0,0,0,2,1,0
4가지,0,0,2,0,0,1,0,1,0,1,0,0
4분기,5,5,1,1,2,2,4,4,1,0,1,4
500니트,1,0,0,0,0,0,1,2,0,0,0,1
6위,0,0,0,0,0,0,0,0,0,0,1,0
8.6G,11,12,1,3,6,8,11,13,7,3,1,11
8.6세대,57,58,7,13,20,30,47,43,17,14,11,52
8세대,6,6,3,2,5,6,4,10,2,2,1,10
8월,1,0,0,0,1,2,2,1,0,0,0,1
advertisement,1,2,2,1,3,4,1,2,0,1,2,2
AI,8,7,5,9,11,19,11,8,10,18,2,13
Air,0,0,2,0,0,1,0,1,0,1,0,0
AMAZE,1,0,0,0,1,1,1,0,0,4,0,2
AMG,1,0,1,0,1,0,1,0,0,0,0,1
and,0,0,0,0,1,1,0,0,2,2,0,0
APV,0,1,3,0,1,3,0,0,0,2,0,1
AP시스템,15,15,6,5,11,15,10,25,5,5,1,23
AR,4,2,0,3,5,8,5,4,5,10,0,7
BALLISTIK,0,0,1,2,1,0,0,0,0,1,0,1
BOE,26,24,2,6,12,15,21,25,8,10,1,25
BOYZ,0,0,1,2,1,0,0,0,0,1,0,1
by,0,0,0,0,1,1,0,0,2,2,0,0
chips,0,0,0,0,1,1,0,0,2,2,0,0
CIOE,1,0,0,0,0,0,1,0,0,2,0,2
CLE,1,0,1,0,1,0,1,0,0,0,0,1
CLENOX,0,0,4,0,10,2,0,0,15,1,0,1
CNS,3,2,3,5,2,4,5,2,4,3,2,4
cooling,0,0,0,0,1,1,0,0,2,2,0,0
Corintis,0,0,0,0,1,1,0,0,2,2,0,0
CTO,2,1,0,1,1,1,5,1,3,1,1,3
DREAM,0,0,1,2,1,0,0,0,0,1,0,1
ELA,15,15,6,5,11,15,10,25,5,5,1,23
EMI,2,1,1,0,4,6,4,1,0,2,0,5
ETF에,0,1,1,1,3,3,0,0,0,1,1,1
for,0,0,0,0,1,1,0,0,2,2,0,0
IMP.,0,0,1,2,1,0,0,0,0,1,0,1
in,0,0,0,0,1,1,0,0,2,2,0,0
IP,0,0,4,2,0,0,0,0,0,0,0,1
is,0,0,0,0,1,1,0,0,2,2,0,0
IT,18,19,0,4,6,7,17,12,6,3,4,14
ITC,10,10,0,2,4,2,7,7,2,2,0,8
IT기기용,4,5,0,1,1,2,4,3,2,1,2,4
IT용,8,8,0,2,3,3,8,7,4,1,1,5
K-pop,1,0,0,0,1,1,1,0,0,4,0,2
KBO리그,0,0,0,0,0,0,1,0,0,0,3,0
KCC,1,0,0,0,1,1,2,0,0,0,2,1
KT,0,0,0,0,0,0,0,0,0,0,1,0
Laser,3,3,1,1,2,3,2,5,1,1,0,4
LCD,4,2,0,3,1,2,10,5,3,0,2,8
LCK,0,0,0,4,1,1,0,0,0,0,4,1
LED,8,3,1,3,13,12,11,7,22,13,1,15
LFD,2,1,0,5,0,1,3,2,2,0,0,3
LG,4,4,5,7,2,7,6,2,4,6,30,6
LG디스플레,38,42,1,11,17,21,46,17,18,12,10,39
LG디스플레이,16,16,2,5,5,7,18,7,9,2,4,16
LG전에서,0,0,0,0,0,0,0,0,0,0,5,0
LLO,3,3,1,1,2,3,2,5,1,1,0,5
LTPO,3,1,0,1,2,3,3,7,1,1,0,6
LTPS,2,1,0,1,2,3,2,5,1,1,0,5
Meta,1,0,2,0,3,2,2,0,0,5,0,3
Micro-LED,6,2,3,2,14,11,6,6,20,10,0,12
MMORPG,0,0,4,2,0,0,0,0,0,0,0,1
NB,0,0,2,0,4,0,0,0,8,1,0,0
NCT,0,0,1,2,1,0,0,0,0,1,0,1
of,0,0,0,0,1,1,0,0,2,2,0,0
OLED,145,136,19,64,66,84,149,117,67,49,25,159
OMEN,5,3,0,12,0,1,7,4,4,1,0,7
on,0,0,0,0,1,1,0,0,2,2,0,0
P-Complex,0,0,1,0,2,0,0,0,4,1,0,0
PC,3,2,4,9,2,2,3,1,1,2,0,5
Pin,0,0,4,0,13,3,0,0,19,1,0,2
ProRes,0,1,3,0,1,3,0,0,0,2,0,1
Ray-Ban,1,0,2,0,3,2,2,0,0,5,0,3
RGB,3,4,0,1,1,1,5,4,3,0,1,2
RPG,4,2,3,12,1,4,5,2,1,5,0,6
Shot,0,0,4,0,13,3,0,0,19,1,0,2
SSG,0,0,0,0,0,0,1,0,0,0,3,0
STAR,0,0,0,0,0,0,0,0,0,1,0,0
SUV,2,1,1,1,2,0,2,2,2,1,0,3
TFT,2,1,0,1,2,3,2,5,1,1,0,5
TGS,4,1,5,13,2,6,6,3,3,5,0,7
that,0,0,0,0,1,1,0,0,2,2,0,0
the,0,0,0,0,1,1,0,0,2,2,0,0
THE,0,0,1,2,1,0,0,0,0,1,0,1
to,0,0,0,0,1,1,0,0,2,2,0,0
View,0,0,2,0,0,1,0,1,0,1,0,0
Visionox,3,3,1,1,2,3,2,5,1,1,0,5
VR,1,0,0,0,1,1,1,0,0,4,0,2
with,0,0,0,0,1,1,0,0,2,2,0,0
XR,8,4,0,4,7,12,8,6,7,18,0,12
YTN,1,0,1,0,0,1,1,1,1,1,0,2
가능성,6,6,1,2,3,2,6,5,3,2,1,7
가민,2,0,0,0,8,7,2,2,10,7,0,4
가장,5,2,5,6,4,4,6,3,2,2,2,7
감독,0,0,0,1,0,0,0,0,0,0,25,1
강력한,2,1,3,1,1,1,2,2,1,1,0,3
강렬한,0,0,0,0,0,0,0,0,0,1,0,0
강조했다.,5,5,0,1,2,3,4,4,1,2,0,4
같은,6,2,3,2,8,7,7,5,10,7,0,11
개막식,0,0,1,1,0,0,0,0,0,0,2,0
개발,7,4,3,7,5,8,12,5,9,6,3,11
개발한,1,1,2,4,0,0,1,0,0,1,0,2
개선에,5,5,0,1,2,3,5,3,1,2,2,4
개의,1,0,1,4,1,3,2,1,0,4,0,2
갤럭시,0,1,3,0,1,3,0,0,0,2,0,1
갤럭시S,0,0,2,0,0,0,0,0,0,0,0,0
갤럭시Z,2,1,5,1,1,1,2,2,1,1,0,3
거래,1,0,0,0,1,1,2,0,0,0,2,1
거래일,1,0,2,0,1,3,2,0,1,2,1,4
