org,topic,base_score,topic_share,company_focus,hybrid_score
AMD,7,4.7075,0.0095,0.5901,4.7075
AMD,4,3.5575,0.0076,0.4459,3.5575
AMD,6,3.4657,0.0077,0.4344,3.4657
AMD,1,2.1632,0.0036,0.2711,2.1632
AMD,2,2.1066,0.0032,0.2641,2.1066
AMD,9,1.5028,0.0024,0.1884,1.5028
AMD,8,1.4820,0.0043,0.1858,1.4820
AMD,0,1.4618,0.0025,0.1832,1.4618
AMD,11,0.7846,0.0022,0.0983,0.7846
AMD,3,0.7022,0.0021,0.0880,0.7022
ASUS,11,6.2767,0.0178,0.6915,6.2767
ASUS,4,4.2690,0.0092,0.4703,4.2690
ASUS,9,3.0057,0.0049,0.3311,3.0057
ASUS,3,2.1066,0.0063,0.2321,2.1066
ASUS,10,1.9469,0.0189,0.2145,1.9469
ASUS,0,1.4618,0.0025,0.1610,1.4618
ASUS,1,1.4421,0.0024,0.1589,1.4421
ASUS,6,1.3863,0.0031,0.1527,1.3863
ASUS,5,0.9383,0.0034,0.1034,0.9383
ASUS,2,0.7022,0.0011,0.0774,0.7022
BMW,4,2.8460,0.0061,0.5162,2.8460
BMW,3,2.8088,0.0084,0.5095,2.8088
BMW,11,2.3537,0.0067,0.4270,2.3537
BMW,6,2.0794,0.0046,0.3772,2.0794
BMW,2,1.4044,0.0021,0.2547,1.4044
BMW,10,0.9734,0.0094,0.1766,0.9734
BMW,9,0.7514,0.0012,0.1363,0.7514
BMW,0,0.7309,0.0012,0.1326,0.7309
BMW,1,0.7211,0.0012,0.1308,0.7211
BOE,9,42.8307,0.0698,0.5769,42.8307
BOE,1,34.6107,0.0583,0.4662,34.6107
BOE,0,29.9664,0.0507,0.4036,29.9664
BOE,11,21.9683,0.0624,0.2959,21.9683
BOE,2,19.6615,0.0295,0.2648,19.6615
BOE,4,12.8069,0.0275,0.1725,12.8069
BOE,7,12.5533,0.0254,0.1691,12.5533
BOE,6,12.4766,0.0278,0.1680,12.4766
BOE,8,11.8561,0.0348,0.1597,11.8561
BOE,3,9.1286,0.0273,0.1229,9.1286
BOE,10,2.9203,0.0283,0.0393,2.9203
BOE,5,1.8765,0.0068,0.0253,1.8765
BYD,6,1.3863,0.0031,0.7048,1.3863
BYD,10,0.9734,0.0094,0.4949,0.9734
BYD,4,0.7115,0.0015,0.3617,0.7115
BYD,3,0.7022,0.0021,0.3570,0.7022
CES,3,9.1286,0.0273,0.6042,9.1286
CES,2,6.3198,0.0095,0.4183,6.3198
CES,0,5.8471,0.0099,0.3870,5.8471
CES,1,5.7684,0.0097,0.3818,5.7684
CES,9,3.7571,0.0061,0.2487,3.7571
CES,6,2.7726,0.0062,0.1835,2.7726
CES,8,2.2230,0.0065,0.1471,2.2230
CES,4,2.1345,0.0046,0.1413,2.1345
CES,10,1.9469,0.0189,0.1289,1.9469
CES,11,1.5692,0.0045,0.1039,1.5692
CSOT,1,23.0738,0.0388,0.5901,23.0738
CSOT,9,18.7854,0.0306,0.4804,18.7854
CSOT,0,16.8104,0.0284,0.4299,16.8104
CSOT,2,11.2352,0.0168,0.2873,11.2352
CSOT,11,10.9841,0.0312,0.2809,10.9841
CSOT,4,5.6920,0.0122,0.1456,5.6920
CSOT,6,5.5452,0.0123,0.1418,5.5452
CSOT,8,4.4460,0.0130,0.1137,4.4460
CSOT,7,3.9229,0.0079,0.1003,3.9229
CSOT,3,3.5110,0.0105,0.0898,3.5110
CSOT,5,1.8765,0.0068,0.0480,1.8765
HP,4,4.2690,0.0092,0.4711,4.2690
