org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
16S,3,2,3,2,2,0,0,1
256GB,1,1,2,1,1,0,0,1
48MP,1,1,2,1,1,0,0,1
8월,3,2,3,2,1,0,2,1
AI,17,25,30,12,12,10,20,14
Air,1,1,2,1,1,0,0,1
all,0,0,1,2,1,0,0,0
and,0,0,3,3,3,0,0,0
as,0,0,2,1,2,0,0,0
automotive,0,0,2,1,2,0,0,0
AX,0,2,3,0,1,1,3,0
BYD,1,4,3,0,0,0,1,1
BYD코리아,1,4,3,0,0,0,1,1
CAPA,5,3,3,4,3,1,2,3
categories,0,0,1,2,1,0,0,0
Consumer,0,0,1,2,1,0,0,0
Copyright,1,4,5,3,1,1,2,1
DDI,4,3,2,5,2,1,2,2
Display,0,0,2,1,2,0,0,0
Electronics,0,0,1,2,1,0,0,0
GAMFF,1,4,5,3,1,1,2,1
in,0,0,3,3,3,0,0,0
iPhone,1,1,2,1,1,0,0,1
is,0,0,2,1,2,0,0,0
LCD,4,3,2,5,2,1,2,2
LEDoS,5,3,3,2,2,1,3,3
Lee,0,0,2,1,2,0,0,0
LG,0,0,1,2,1,0,0,0
LX세미콘,4,3,2,5,2,1,2,2
market,0,0,2,1,2,0,0,0
Max,1,1,2,1,1,0,0,1
NH투자증권,3,3,3,3,3,1,2,3
NRE,5,3,3,2,2,1,3,3
of,0,0,2,1,2,0,0,0
OLED,17,13,15,16,12,3,8,9
on,0,0,2,1,2,0,0,0
Pro,1,1,2,1,1,0,0,1
Reports,0,0,1,2,1,0,0,0
Samsung,0,0,2,1,2,0,0,0
SK하이닉스,6,7,6,4,3,2,3,6
SK하이닉스시스템IC,3,4,3,1,0,1,1,3
spot,0,0,1,2,1,0,0,0
survey,0,0,1,2,1,0,0,0
SUV,1,4,3,0,0,0,1,1
the,0,0,3,3,3,0,0,0
to,0,0,2,1,2,0,0,0
top,0,0,1,2,1,0,0,0
top-load,0,0,1,2,1,0,0,0
USB,3,2,3,2,2,0,0,1
various,0,0,2,1,2,0,0,0
washers,0,0,1,2,1,0,0,0
year,0,0,1,2,1,0,0,0
가격,2,2,4,2,1,0,0,1
가격비교,1,1,2,1,0,0,0,0
감독,1,4,5,3,1,1,2,1
강세,3,4,3,1,0,1,1,3
강연,0,3,4,1,1,2,5,2
강조했다.,5,5,5,4,3,1,4,3
강화,1,4,3,0,0,0,1,1
갖췄다.,1,5,4,0,1,0,1,3
개발,3,4,3,1,0,1,1,3
개인정보,0,4,10,0,3,20,7,4
개인정보보호,0,4,10,0,3,20,7,4
것으로,12,9,9,7,4,4,7,7
게이밍,3,2,3,2,2,0,0,1
게임,3,2,3,2,2,0,0,1
경북,1,4,5,3,1,1,2,1
경상국립대학교,3,5,5,2,3,2,5,5
경쟁,0,3,8,0,2,15,5,3
경쟁법,0,4,10,0,3,20,7,4
경쟁법적,0,1,2,0,1,5,2,1
경험,3,2,1,0,0,1,2,5
계획이다.,0,2,3,0,1,1,3,0
고객사,5,3,3,2,2,1,3,3
고도화,5,3,3,4,3,1,2,3
공간,1,5,4,0,1,0,1,3
공개했다.,2,1,1,0,2,1,1,0
공급망,6,5,3,1,1,2,4,10
공직자,0,3,4,1,1,2,5,2
관광지,3,2,3,2,1,0,2,1
관련,0,1,2,0,1,5,2,1
교수,3,9,15,2,6,22,12,9
교육,3,8,9,3,4,4,10,7
구매,1,1,2,1,0,0,0,0
구인,0,0,1,0,1,0,0,0
구직,0,0,1,0,1,0,0,0
국제,1,4,5,3,1,1,2,1
규제,3,6,11,0,3,21,9,9
기념품,3,2,3,2,1,0,2,1
기능,4,3,4,2,1,0,0,1
