org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
000니트까지,2,2,2,2,1,1,2,0
120Hz,1,1,1,1,1,0,0,0
12억달러,3,2,3,2,3,0,5,0
1위,3,5,4,4,2,0,2,0
2024년,4,2,3,1,3,0,0,0
2030년,3,2,3,2,3,0,5,0
2030년에,4,2,3,2,3,0,5,0
2가지,2,2,3,2,3,0,2,0
2분기,2,3,3,5,3,0,2,0
3분기,1,2,3,1,3,0,0,0
3점슛,1,0,2,0,1,5,0,0
4분기,3,4,4,5,3,1,2,0
500니트,1,1,1,1,1,0,0,0
5G,1,0,1,0,0,0,0,0
6월,0,0,1,0,0,1,0,0
8.6G,6,11,10,13,9,3,11,0
8.6세대,26,47,48,62,40,7,32,0
8번째,2,0,0,0,0,3,0,4
8세대,2,4,6,8,8,0,6,0
8월,2,2,1,1,3,0,0,0
AI,13,10,14,8,10,0,12,5
AMAZE,3,1,3,1,2,1,0,0
AMD,1,0,1,0,0,0,0,0
AMG,1,1,1,1,1,0,0,0
and,1,0,1,0,0,0,1,0
AP,1,0,1,0,0,0,0,0
APV,1,0,2,0,2,0,0,0
AP시스템,5,10,13,20,18,3,15,0
AR,9,5,7,4,6,1,6,1
ARM,1,0,1,0,0,0,0,0
BALLISTIK,1,0,1,0,1,1,0,2
BOE,15,21,22,26,18,3,15,0
BOYZ,1,0,1,0,1,1,0,2
by,1,0,1,0,0,0,1,0
chips,1,0,1,0,0,0,1,0
CIOE,3,1,2,1,2,0,0,0
CLE,1,1,1,1,1,0,0,0
CLENOX,0,0,1,0,3,2,8,0
CNS,3,5,6,3,5,1,5,4
cooling,1,0,1,0,0,0,1,0
Corintis,1,0,1,0,0,0,1,0
CPU,1,0,1,0,0,0,0,0
CTO,1,5,4,2,4,0,4,0
DC,0,0,3,1,2,0,2,0
DREAM,1,0,1,0,1,1,0,2
ELA,5,10,13,20,18,3,15,0
EMI,2,4,4,2,10,0,1,0
for,1,0,1,0,0,0,1,0
GPU,1,0,1,0,0,0,0,0
IMP.,1,0,1,0,1,1,0,2
in,1,0,1,0,0,0,1,0
IP,0,0,1,0,2,1,0,2
is,1,0,1,0,0,0,1,0
IT,9,17,14,19,10,2,10,0
ITC,6,7,6,10,4,0,4,0
IT기기용,2,4,4,5,3,1,3,0
IT용,4,8,6,9,4,2,6,0
K-pop,3,1,3,1,2,1,0,0
KBL,1,0,1,0,0,1,0,0
KCC,2,2,2,1,1,0,0,0
Laser,1,2,2,4,3,2,3,0
LCD,3,10,8,4,5,3,4,1
LCK,1,0,0,0,0,4,0,4
LED,17,11,15,8,18,3,20,0
LFD,2,3,3,2,3,0,3,5
LG,6,6,13,5,6,5,5,7
LG디스플레,18,46,40,44,34,3,23,1
LG디스플레이,7,18,16,17,12,4,10,1
LG에너지솔루션,0,0,1,0,0,1,0,0
LG전자,0,0,3,1,2,0,2,0
LLO,1,2,3,4,4,0,3,0
LS일렉트릭,0,0,3,1,2,0,2,0
LTE,2,1,1,1,1,0,1,0
LTPO,2,3,4,3,5,0,3,0
LTPS,1,2,3,2,4,0,3,0
Meta,4,2,3,1,3,0,0,0
Micro-LED,15,6,11,6,14,2,16,0
MMORPG,0,0,1,0,2,1,0,2
NB,0,0,0,0,0,1,4,0
NCT,1,0,1,0,1,1,0,2
NPU,1,0,1,0,0,0,0,0
of,1,0,1,0,0,0,1,0
OLED,90,151,148,160,132,20,114,22
OMEN,5,7,7,5,5,0,7,9
on,1,0,1,0,0,0,1,0
OS,1,0,1,0,0,0,0,0
P-Complex,0,0,0,0,0,1,2,0
PC,6,3,4,4,5,0,2,8
Pin,0,0,2,0,5,2,10,0
ProRes,1,0,2,0,2,0,0,0
Ray-Ban,4,2,3,1,3,0,0,0
RGB,2,5,3,4,1,2,4,0
RPG,6,5,6,5,6,0,2,12
Shot,0,0,2,0,5,2,10,0
SK,3,0,4,0,2,10,0,0
SUV,2,2,3,2,2,0,2,0
TFT,1,2,3,2,4,0,3,0
TGS,11,8,9,5,12,3,4,20
that,1,0,1,0,0,0,1,0
the,1,0,1,0,0,0,1,0
THE,1,0,1,0,1,1,0,2
to,1,0,1,0,0,0,1,0
UPS,0,0,1,0,0,1,0,0
Visionox,1,2,3,4,4,0,3,0
VR,3,1,3,1,2,1,0,0
Wi-Fi,2,1,1,1,1,0,1,0
with,1,0,1,0,0,0,1,0
WSJ,2,0,4,0,6,2,2,0
XR,16,8,13,8,10,2,9,1
YTN,2,1,3,1,3,0,1,0
가능성,4,6,7,7,5,0,4,0
가능할,2,2,2,2,1,1,2,0
가민,8,2,5,2,8,2,6,0
가스공사,1,0,2,0,0,2,0,1
가장,8,6,7,5,6,0,4,4
감독,1,0,6,0,1,9,0,3
감독도,0,0,1,0,0,1,0,0
강력한,2,2,3,2,3,0,2,0
강조했다.,3,4,4,5,3,0,2,0
강혁,0,0,1,0,0,1,0,1
같다.,1,0,3,0,1,6,0,1
같은,12,7,10,6,11,1,10,0
개발,7,12,12,7,13,0,13,4
개발한,2,1,2,2,3,0,0,4
개선에,2,5,4,5,4,0,2,0
개의,3,2,2,1,2,0,0,5
갤럭시,1,0,2,0,2,0,0,0
갤럭시Z,2,2,3,2,3,0,2,0
거래,2,2,2,1,1,0,0,0
거래일,2,2,3,1,5,0,2,0
거로,0,0,1,0,0,1,0,0
검은색,2,1,3,1,3,0,1,0
것으로,44,48,55,45,55,6,38,1
것이다.,0,0,3,0,0,3,0,2
게이머들,1,2,2,2,1,0,2,3
게이밍,10,12,13,9,11,0,11,17
게임,25,21,24,17,26,3,14,43
게임쇼,3,2,3,2,3,0,2,4
결국,0,0,1,0,0,1,0,1
결승에,1,0,0,0,0,2,0,2
결정,1,0,2,0,3,1,1,0
결혼,1,0,0,0,0,4,0,4
경구용,3,2,3,2,4,0,4,0
경기,5,0,5,0,2,20,0,9
경기력,1,0,0,0,0,2,0,2
경쟁,10,10,12,12,10,2,7,3
경쟁사들,2,4,4,5,3,2,4,0
경품,0,0,0,0,0,3,0,0
경험,7,3,6,2,5,1,0,0
고객사,5,8,8,10,6,1,4,0
고성능,1,1,1,1,1,0,0,0
고양,1,0,2,0,1,5,0,0
공간,0,1,1,1,0,0,2,0
공개,1,0,0,0,0,4,0,4
공개된,2,2,3,2,2,0,2,0
