term,cur,prev,diff,total,ma7,z_like
lg디스플레이,10,1,9,79,2.429,2.959
메타버스,6,0,6,8,0.857,2.67
lg전자,10,0,10,48,3.857,2.073
kaist,4,0,4,4,0.571,1.953
lg,10,3,7,274,5.571,1.318
아마존,2,0,2,5,0.286,1.117
차세대,3,0,3,42,0.857,1.113
비전프로,2,0,2,5,0.429,0.95
아이패드,2,1,1,9,0.571,0.814
맥북,2,0,2,11,0.571,0.814
tcl,1,0,1,1,0.143,0.622
갤럭시,3,0,3,31,1.714,0.557
공급망,1,0,1,7,0.429,0.345
현대차,2,1,1,30,1.714,0.124
폴더블,2,0,2,29,1.857,0.06
구글,1,0,1,17,1.143,-0.069
tsmc,1,0,1,18,1.143,-0.069
oled,3,3,0,136,3.286,-0.102
아이폰,1,0,1,29,2.0,-0.414
애플,3,0,3,98,6.429,-0.97
삼성전자,7,0,7,187,18.857,-2.219
