org,topic,base_score,topic_share,company_focus,hybrid_score
AMD,2,52.0090,0.1925,0.7719,52.0090
AMD,7,31.8057,0.0267,0.4721,31.8057
AMD,0,16.6355,0.0104,0.2469,16.6355
AMD,4,16.4593,0.0128,0.2443,16.4593
AMD,6,13.1664,0.0103,0.1954,13.1664
AMD,1,7.9323,0.0215,0.1177,7.9323
AMD,5,4.5400,0.0117,0.0674,4.5400
AMD,3,4.2937,0.0056,0.0637,4.2937
AUO,0,28.4190,0.0178,0.7090,28.4190
AUO,4,19.3217,0.0151,0.4821,19.3217
AUO,7,11.8347,0.0099,0.2953,11.8347
AUO,6,10.2405,0.0080,0.2555,10.2405
AUO,5,9.8366,0.0252,0.2454,9.8366
AUO,3,8.5874,0.0111,0.2143,8.5874
AUO,1,3.1729,0.0086,0.0792,3.1729
BMW,0,11.0904,0.0069,0.6657,11.0904
BMW,4,10.0187,0.0078,0.6014,10.0187
BMW,3,5.7250,0.0074,0.3436,5.7250
BMW,5,3.0266,0.0078,0.1817,3.0266
BMW,7,2.2190,0.0019,0.1332,2.2190
BMW,6,2.1944,0.0017,0.1317,2.1944
BMW,1,1.5865,0.0043,0.0952,1.5865
BOE,6,77.5354,0.0605,0.5439,77.5354
BOE,4,75.1401,0.0586,0.5271,75.1401
BOE,0,74.1667,0.0465,0.5202,74.1667
BOE,7,39.2024,0.0329,0.2750,39.2024
BOE,3,34.3498,0.0444,0.2409,34.3498
BOE,5,18.9165,0.0485,0.1327,18.9165
BOE,1,9.5188,0.0258,0.0668,9.5188
BYD,4,8.5874,0.0067,0.5896,8.5874
BYD,0,8.3178,0.0052,0.5711,8.3178
BYD,6,5.8517,0.0046,0.4018,5.8517
BYD,3,3.5781,0.0046,0.2457,3.5781
BYD,2,2.5370,0.0094,0.1742,2.5370
BYD,1,2.3797,0.0065,0.1634,2.3797
BYD,5,2.2700,0.0058,0.1558,2.2700
BYD,7,2.2190,0.0019,0.1523,2.2190
CES,2,2.5370,0.0094,0.9267,2.5370
CES,7,0.7397,0.0006,0.2702,0.7397
CES,3,0.7156,0.0009,0.2614,0.7156
CSOT,6,43.8880,0.0342,0.5932,43.8880
CSOT,4,41.5060,0.0323,0.5610,41.5060
CSOT,0,32.5779,0.0204,0.4404,32.5779
CSOT,7,19.2313,0.0162,0.2599,19.2313
CSOT,3,17.1749,0.0222,0.2322,17.1749
CSOT,5,9.0799,0.0233,0.1227,9.0799
CSOT,1,3.9662,0.0108,0.0536,3.9662
Counterpoint,1,2.3797,0.0065,0.9200,2.3797
Counterpoint,7,0.7397,0.0006,0.2860,0.7397
Counterpoint,0,0.6931,0.0004,0.2680,0.6931
ETRI,0,1.3863,0.0009,1.0000,1.3863
HP,6,1.4629,0.0011,0.6112,1.4629
HP,4,1.4312,0.0011,0.5980,1.4312
HP,7,0.7397,0.0006,0.3090,0.7397
HP,3,0.7156,0.0009,0.2990,0.7156
HP,0,0.6931,0.0004,0.2896,0.6931
Harman,7,11.0950,0.0093,0.7701,11.0950
Harman,0,4.8520,0.0030,0.3368,4.8520
Harman,6,4.3888,0.0034,0.3046,4.3888
Harman,3,4.2937,0.0056,0.2980,4.2937
Harman,4,4.2937,0.0033,0.2980,4.2937
Harman,1,1.5865,0.0043,0.1101,1.5865
Harman,5,1.5133,0.0039,0.1050,1.5133
IEEE,0,6.9315,0.0043,0.8284,6.9315
IEEE,6,2.9259,0.0023,0.3497,2.9259
IEEE,4,2.8625,0.0022,0.3421,2.8625
IEEE,1,1.5865,0.0043,0.1896,1.5865
IEEE,7,1.4793,0.0012,0.1768,1.4793
IEEE,3,0.7156,0.0009,0.0855,0.7156
Innolux,0,29.1122,0.0182,0.6438,29.1122
Innolux,4,22.8998,0.0178,0.5064,22.8998
Innolux,3,15.7436,0.0204,0.3482,15.7436
Innolux,6,12.4349,0.0097,0.2750,12.4349
Innolux,5,12.1066,0.0311,0.2677,12.1066
Innolux,7,10.3553,0.0087,0.2290,10.3553
Innolux,1,3.1729,0.0086,0.0702,3.1729
Innolux,2,2.5370,0.0094,0.0561,2.5370
IoT,0,13.1698,0.0083,0.6650,13.1698
IoT,4,11.4499,0.0089,0.5781,11.4499
IoT,3,6.4406,0.0083,0.3252,6.4406
IoT,6,4.3888,0.0034,0.2216,4.3888
IoT,7,3.6983,0.0031,0.1867,3.6983
IoT,5,3.0266,0.0078,0.1528,3.0266
IoT,1,1.5865,0.0043,0.0801,1.5865
IoT,2,1.2685,0.0047,0.0640,1.2685
JDI,6,13.8979,0.0108,0.5686,13.8979
JDI,0,13.1698,0.0083,0.5388,13.1698
JDI,4,10.7343,0.0084,0.4392,10.7343
JDI,7,9.6157,0.0081,0.3934,9.6157
JDI,5,3.7833,0.0097,0.1548,3.7833
JDI,3,2.8625,0.0037,0.1171,2.8625
JDI,1,0.7932,0.0022,0.0325,0.7932
LG디스플레이,6,146.2932,0.1142,0.5629,146.2932
LG디스플레이,4,125.2335,0.0976,0.4819,125.2335
LG디스플레이,0,122.6871,0.0769,0.4721,122.6871
LG디스플레이,3,85.8744,0.1110,0.3304,85.8744
LG디스플레이,7,81.3634,0.0684,0.3131,81.3634
LG디스플레이,5,35.5630,0.0913,0.1368,35.5630
LG디스플레이,1,11.8985,0.0323,0.0458,11.8985
LG전자,4,75.8557,0.0591,0.5020,75.8557
LG전자,7,62.8717,0.0528,0.4161,62.8717
LG전자,2,60.8885,0.2254,0.4030,60.8885
LG전자,3,58.6808,0.0759,0.3884,58.6808
LG전자,0,58.2244,0.0365,0.3853,58.2244
LG전자,6,46.0824,0.0360,0.3050,46.0824
LG전자,1,15.8646,0.0430,0.1050,15.8646
LG전자,5,14.3766,0.0369,0.0951,14.3766
LG화학,0,24.2602,0.0152,0.8450,24.2602
LG화학,3,10.0187,0.0130,0.3489,10.0187
LG화학,7,7.3967,0.0062,0.2576,7.3967
LG화학,4,5.7250,0.0045,0.1994,5.7250
LG화학,5,5.2966,0.0136,0.1845,5.2966
LG화학,6,4.3888,0.0034,0.1529,4.3888
