org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
엔비디아,26.34 (2%),7.93 (2%),2.54 (1%),8.59 (1%),17.89 (1%),3.78 (1%),11.70 (1%),36.24 (3%)
오포,11.09 (1%),,,7.16 (1%),10.73 (1%),3.78 (1%),32.92 (3%),11.10 (1%)
원익IPS,15.25 (1%),1.59 (0%),,7.87 (1%),6.44 (1%),4.54 (1%),2.93 (0%),8.14 (1%)
인텔,13.17 (1%),3.97 (1%),,5.01 (1%),4.29 (0%),2.27 (1%),5.12 (0%),6.66 (1%)
카카오,6.93 (0%),0.79 (0%),1.27 (0%),2.15 (0%),2.86 (0%),0.76 (0%),1.46 (0%),4.44 (0%)
퀄컴,17.33 (1%),5.55 (2%),,7.16 (1%),11.45 (1%),5.30 (1%),5.85 (0%),9.62 (1%)
폭스바겐,2.77 (0%),0.79 (0%),,0.72 (0%),1.43 (0%),,,
하이센스,28.42 (2%),2.38 (1%),5.07 (2%),11.45 (1%),32.20 (3%),3.78 (1%),26.33 (2%),10.36 (1%)
하이얼,5.55 (0%),1.59 (0%),,2.86 (0%),2.15 (0%),0.76 (0%),1.46 (0%),0.74 (0%)
한미반도체,8.32 (1%),1.59 (0%),,4.29 (1%),2.15 (0%),1.51 (0%),1.46 (0%),5.92 (0%)
한화,27.73 (2%),57.11 (15%),10.15 (4%),31.49 (4%),9.30 (1%),4.54 (1%),6.58 (1%),15.53 (1%)
한화솔루션,6.24 (0%),0.79 (0%),,3.58 (0%),3.58 (0%),2.27 (1%),1.46 (0%),2.96 (0%)
한화시스템,22.18 (1%),52.35 (14%),8.88 (3%),,,,1.46 (0%),9.62 (1%)
현대모비스,10.40 (1%),0.79 (0%),,5.01 (1%),4.29 (0%),3.03 (1%),2.19 (0%),5.18 (0%)
현대자동차,23.57 (1%),2.38 (1%),1.27 (0%),12.88 (2%),12.88 (1%),7.57 (2%),8.78 (1%),7.40 (1%)
현대차,32.78 (2%),3.41 (1%),1.36 (0%),13.08 (2%),19.23 (1%),8.13 (2%),9.43 (1%),14.31 (1%)
화웨이,8.32 (1%),1.59 (0%),,2.86 (0%),5.01 (0%),2.27 (1%),12.43 (1%),5.18 (0%)
