org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
...국산,0,0,0,1,0,0,0,0,0,1,0
.attr,1,1,2,4,2,1,2,1,5,0,3
.css,1,1,2,4,2,1,2,1,5,0,3
.find,1,1,2,4,2,1,2,1,5,0,3
.val,1,1,2,4,2,1,2,1,5,0,3
10장,0,1,1,1,1,0,1,1,2,0,0
12월,0,1,0,1,1,0,1,0,1,2,0
182회,0,1,1,2,1,0,0,1,2,1,0
190회,0,2,2,4,2,0,1,2,4,2,0
193회,0,1,1,2,1,0,0,1,2,1,0
1등,0,4,3,7,4,0,2,3,6,5,0
1로,0,1,2,2,0,0,0,2,1,1,2
2023년,0,4,1,3,1,0,0,1,1,1,1
2025년,0,0,2,4,2,1,0,1,1,0,1
2026년형,1,1,1,2,0,0,2,2,2,4,1
2026학년도,0,1,2,2,0,0,0,2,1,1,2
26일부터,1,1,1,2,2,3,1,1,1,0,2
2o,0,1,0,0,1,0,0,0,0,0,0
2등,0,2,2,4,2,0,1,2,3,2,0
2차전지,0,3,5,3,4,3,2,3,1,3,2
3년간,0,5,2,3,2,1,2,2,2,0,0
3분기,1,4,0,1,2,0,2,1,1,1,2
3종,0,0,1,2,0,1,0,1,0,2,2
4855억,1,4,0,1,2,0,2,1,1,1,2
4o,0,1,0,0,1,0,0,0,0,0,0
4성,0,0,1,2,0,1,0,1,0,2,2
70명,0,0,1,1,0,0,0,0,2,0,0
7호실,0,1,0,0,0,0,0,0,0,0,1
8.6세대,0,4,1,3,1,0,0,1,1,1,1
8월,0,0,1,2,0,0,0,1,0,0,0
9건,0,1,2,2,1,0,3,3,1,2,0
9월,0,0,1,2,2,1,0,0,1,0,1
AI,7,20,20,26,30,29,18,13,18,13,27
AMD,0,0,3,3,2,2,0,3,3,1,2
Apple,0,1,0,1,0,1,3,3,2,4,0
A씨,0,2,2,4,3,1,2,2,3,1,1
BOE,0,14,5,9,6,2,3,5,6,3,3
BYD,1,1,1,2,0,0,2,2,2,4,1
CBC뉴스,1,0,1,1,0,0,0,1,0,0,1
CD,1,1,2,4,2,1,2,1,5,0,3
CPU,0,2,3,3,3,2,0,3,5,2,5
Design,4,6,4,4,7,6,4,0,2,1,10
else,1,1,2,4,2,1,2,1,5,0,3
ESG,0,0,1,1,0,0,0,0,2,0,0
ESS,0,3,5,3,4,3,2,3,1,3,2
ETERNA,0,1,0,1,0,1,3,3,2,4,0
function,1,1,2,4,2,1,2,1,5,0,3
GFX,1,3,2,4,2,6,6,5,3,7,3
Gugenka,0,0,1,2,2,1,0,0,1,0,1
HK이노엔,0,0,1,1,0,0,0,0,2,0,0
HPSP,0,3,4,2,3,3,1,2,1,2,2
HS효성더클래스,1,1,3,3,1,3,1,1,1,4,2
id,1,1,2,4,2,1,2,1,5,0,3
IDEA,39,22,4,11,7,17,24,2,4,2,17
iF,4,2,1,3,2,1,1,0,1,1,2
if,1,1,2,4,2,1,2,1,5,0,3
ITC,0,5,2,3,3,1,1,2,3,2,2
IT매체,1,1,0,2,0,0,1,0,2,2,1
IT용,0,4,1,3,1,0,0,1,1,1,1
JV,0,3,3,5,3,4,1,3,1,2,2
K-,0,0,1,1,1,1,0,0,0,0,1
KBS,0,1,1,2,1,0,0,1,1,1,0
KizunaAI,1,1,2,4,4,4,1,1,2,0,3
KODEX,0,2,4,3,3,3,1,4,3,0,2
KT,0,3,3,5,3,4,1,3,1,2,2
LAKE,1,1,1,2,2,3,1,1,1,0,2
LCD,25,29,8,15,13,14,19,8,8,5,10
LG,4,2,1,3,2,1,1,0,1,1,2
LG디스플레,1,4,0,1,2,0,2,1,1,1,2
LG디스플레이,1,4,0,1,2,0,2,1,1,1,2
LG전자,4,13,10,15,13,8,6,8,6,8,7
LSE,0,1,4,2,0,1,0,2,1,1,0
LTCAM,0,1,4,2,0,1,0,2,1,1,0
LTPO,0,5,2,3,3,1,1,2,3,2,2
MBC,0,1,0,1,1,0,1,0,1,2,0
MBN,0,1,0,0,1,0,0,0,3,0,0
MC,0,1,0,0,1,0,0,0,3,0,0
NCT,0,0,1,2,0,0,0,1,0,0,0
NC다이노스,0,0,0,1,0,0,0,0,1,0,0
NWS,1,1,2,4,2,1,2,1,5,0,3
OLED,0,39,19,27,28,14,12,17,16,12,13
ProRes,0,1,0,1,0,1,3,3,2,4,0
Samsung,6,9,6,6,11,9,6,0,3,2,15
SK하이닉스,0,1,2,2,0,0,0,2,1,1,2
SWAN,1,1,1,2,2,3,1,1,1,0,2
TIGER,0,2,4,3,3,3,1,4,3,0,2
TSMC,0,0,3,3,2,2,0,3,3,1,2
UA,1,0,0,1,0,0,0,0,0,1,1
UI,0,0,0,2,0,0,1,0,2,1,2
var,1,1,2,4,2,1,2,1,5,0,3
Web,1,1,2,4,2,1,2,1,5,0,3
XX,0,0,1,2,1,1,1,1,0,1,1
가격,0,18,12,13,16,6,6,10,10,7,7
가능,0,1,0,0,0,0,0,0,0,0,1
가능성,0,0,0,1,2,3,1,2,3,2,0
가능한,1,1,0,2,0,0,2,0,1,1,1
가량,0,0,0,2,0,0,0,0,3,0,0
가방,1,0,1,3,0,0,1,1,2,0,1
가보자GO,0,1,0,0,1,0,0,0,3,0,0
가을,1,0,0,1,0,0,0,0,0,1,1
가장,1,1,1,3,1,1,2,1,4,3,2
가진,0,0,2,3,3,4,1,3,5,0,1
각각,0,4,5,4,4,3,2,3,3,3,2
각각각,0,3,4,2,3,3,1,2,1,2,2
감각,0,0,0,1,2,3,1,2,3,2,0
감성,1,1,0,2,0,0,2,0,1,1,1
강조했다.,0,4,1,2,4,2,2,1,1,0,2
개그맨,0,1,1,2,1,0,0,1,1,1,0
개발,0,3,5,3,4,3,2,3,1,3,2
개인,0,0,1,2,0,0,0,1,0,0,0
개통,0,2,0,1,1,1,2,1,1,3,0
갤럭시,6,9,7,8,11,10,6,1,3,4,17
거래,0,2,4,3,3,3,1,4,3,0,2
거래일,0,3,4,2,3,3,1,2,1,2,2
건강,0,0,1,3,0,1,0,1,2,2,0
걷기,0,0,1,3,0,1,0,1,2,2,0
검사장비,0,3,5,3,4,3,2,3,1,3,2
것으로,1,16,14,17,14,7,7,15,15,5,9
것이,0,0,0,2,0,0,1,0,2,1,2
것이다.,1,0,1,3,0,0,1,1,2,0,1
게이밍,1,2,2,3,2,5,3,2,1,3,3
결혼식,0,1,1,2,1,0,0,1,1,1,0
경동나비엔,14,9,0,3,0,2,9,3,2,1,3
경북,1,1,2,4,2,1,2,1,5,0,3
경쟁률,0,1,2,2,0,0,0,2,1,1,2
경직된,0,5,0,1,2,1,1,0,1,2,1
경험,2,3,2,2,4,3,2,0,1,1,5
계약학,0,1,2,2,0,0,0,2,1,1,2
고객,5,6,7,11,6,8,3,4,3,7,6
고객사,0,1,4,2,0,1,0,2,1,1,0
고려대,0,1,2,2,0,0,0,2,1,1,2
고령층,1,0,1,1,0,0,2,2,3,2,1
고유무기,0,0,1,2,0,1,0,1,0,2,2
고혈압,0,0,1,3,0,1,0,1,2,2,0
공식,0,0,1,2,2,1,0,0,1,0,1
공정,0,7,9,7,8,5,5,5,3,5,3
공주,0,0,2,4,0,2,1,1,2,3,0
공주시,0,0,0,2,0,1,0,1,1,1,0
과제로,0,0,1,3,0,1,0,1,2,2,0
관리,0,0,1,3,0,1,0,1,2,2,0
관세,0,4,2,3,4,1,1,3,2,3,2
광주,0,1,1,2,1,0,0,1,1,1,0
광학,0,1,0,1,0,1,3,3,2,4,0
교사,0,0,2,3,3,4,1,3,5,0,1
교사들,0,0,2,3,3,4,1,3,5,0,1
교수,0,0,1,3,2,3,0,1,2,1,1
교원,0,0,2,3,3,4,1,3,5,0,1
교육,1,2,3,6,3,7,3,2,2,3,4
교인들,0,0,1,3,0,1,2,2,5,2,0
교통안전,0,0,0,2,0,1,0,1,1,1,0
교회,0,0,1,3,0,1,2,2,5,2,0
구속영장,0,2,1,2,2,0,1,1,3,0,0
구조,1,4,0,1,2,0,2,1,1,1,2
국가핵심기술,0,1,2,2,1,0,3,3,1,2,0
국립공주대학교,0,0,1,3,1,2,0,0,1,0,1
국방부,0,0,2,4,0,2,1,1,2,3,0
국제뉴스,0,0,1,3,2,3,0,1,2,1,1
국회의원,0,0,1,3,1,2,0,0,1,0,1
군민,0,0,1,3,0,1,0,1,2,2,0
굿모닝충청,0,0,1,3,1,2,0,0,1,0,1
권위,20,8,0,4,0,7,11,0,0,0,4
그냥,0,0,1,2,1,1,1,1,0,1,1
그래서,0,0,1,3,0,1,2,2,5,2,0
그러면,0,0,1,3,0,1,2,2,5,2,0
그런,0,0,2,6,1,3,2,2,6,2,1
그룹장,0,4,1,2,4,2,2,1,1,0,2
그리고,0,0,0,1,0,0,0,1,2,1,0
근데,0,0,1,3,0,1,2,2,5,2,0
글래스,1,1,0,2,0,0,1,0,2,2,1
금액,0,1,0,1,1,0,1,0,1,2,0
기간,1,2,3,4,3,3,4,4,2,2,2
기계,1,0,1,1,0,0,2,2,3,2,1
기능,4,8,5,7,9,9,10,1,5,8,15
기동,0,0,0,1,0,0,0,0,0,1,0
기반,1,2,2,3,2,5,3,2,1,3,3
기부,0,1,1,2,1,0,0,1,1,1,0
기와,0,2,1,2,2,0,1,1,3,0,0
기자,5,4,4,12,4,8,4,4,8,6,2
기존,5,2,0,1,0,1,2,0,0,0,1
기준,1,2,2,3,2,5,3,2,1,3,3
기지국,0,3,3,5,3,4,1,3,1,2,2
기탁,0,0,0,1,0,0,0,0,1,0,0
김동아,0,1,2,2,1,0,3,3,1,2,0
김병만,0,1,1,2,1,0,0,1,1,1,0
김수빈,1,0,0,1,0,0,0,0,0,1,1
김영일,5,2,0,1,0,2,3,0,0,0,1
김영춘,0,0,1,3,1,2,0,0,1,0,1
김우진,0,1,0,0,0,0,0,0,0,0,1
김윤교,0,1,1,2,1,0,0,1,0,1,0
꼽힌다.,5,2,0,1,0,2,3,0,0,0,1
나눔,0,1,1,3,1,0,0,1,2,1,0
나비엔,6,6,0,1,0,1,6,2,1,1,2
남성,0,1,0,1,1,0,0,0,1,0,0
남편,0,1,1,2,2,1,1,1,3,1,1
