term,cur,prev,diff,total,ma7,z_like
lg디스플레이,4,1,3,73,1.571,1.078
oled,2,3,-1,135,3.143,-0.412
lg,2,15,-13,270,5.0,-0.927
비전프로,1,0,1,3,0.143,0.622
tcl,1,0,1,1,0.143,0.622
맥북,1,0,1,9,0.286,0.465
아이패드,1,1,0,7,0.286,0.465
현대차,1,1,0,25,1.0,0.0
폴더블,1,0,1,26,1.429,-0.195
lg전자,1,3,-2,39,2.571,-0.604
애플,1,2,-1,76,3.286,-0.813
삼성전자,1,5,-4,97,6.0,-1.449
삼성,1,10,-9,353,8.714,-1.952
