rank,keyword,score
1,선정,4.977938620063881
2,디스플레,4.235755050708305
3,최대,4.1154265138168435
4,마감,3.221300868313643
5,삼성,2.635792891568145
6,가격,2.488792897208615
7,전국,2.446609997495131
8,경쟁력,2.3324809036690306
9,갤럭시,2.326296454615964
10,반도체,2.3094278966701793
11,미래,2.284995051687217
12,드론,2.2452305166374904
13,사용,2.2344824048211693
