org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,26.52 (3%),11.91 (1%),,9.88 (2%),7.01 (1%),22.43 (3%),13.46 (1%),92.01 (24%),13.62 (2%),
AUO,7.88 (1%),27.33 (2%),15.95 (2%),9.12 (2%),21.02 (2%),17.52 (3%),9.92 (1%),,14.33 (2%),
BMW,2.15 (0%),11.21 (1%),5.80 (1%),2.28 (0%),4.91 (0%),10.51 (2%),3.54 (0%),,14.33 (2%),
BOE,31.53 (3%),64.47 (5%),68.14 (7%),20.52 (4%),85.50 (7%),33.64 (5%),60.24 (6%),,37.27 (4%),
BYD,2.87 (0%),7.01 (1%),4.35 (0%),3.80 (1%),9.11 (1%),3.50 (1%),4.25 (0%),,7.88 (1%),
CES,0.72 (0%),,,,0.70 (0%),,0.71 (0%),1.35 (0%),,
CSOT,18.63 (2%),24.53 (2%),42.04 (4%),6.84 (1%),52.56 (4%),11.91 (2%),31.89 (3%),,17.92 (2%),
Counterpoint,0.72 (0%),0.70 (0%),0.72 (0%),0.76 (0%),,,,,0.72 (0%),
HP,1.43 (0%),,,,0.70 (0%),1.40 (0%),0.71 (0%),,,
Harman,3.58 (0%),3.50 (0%),2.17 (0%),2.28 (0%),1.40 (0%),0.70 (0%),2.13 (0%),,4.30 (0%),
IEEE,2.87 (0%),7.01 (1%),1.45 (0%),2.28 (0%),2.10 (0%),2.10 (0%),1.42 (0%),,2.87 (0%),
Innolux,5.73 (1%),29.43 (2%),18.85 (2%),13.68 (3%),22.43 (2%),22.43 (3%),12.76 (1%),,20.78 (2%),
IoT,5.73 (1%),12.61 (1%),6.52 (1%),3.04 (1%),13.32 (1%),11.21 (2%),4.96 (0%),,10.75 (1%),
JDI,8.60 (1%),12.61 (1%),13.05 (1%),4.56 (1%),11.91 (1%),1.40 (0%),11.34 (1%),,4.30 (0%),
LG디스플레이,64.50 (7%),104.42 (8%),151.50 (14%),19.00 (4%),158.38 (12%),38.54 (6%),114.09 (11%),,62.35 (7%),
LG전자,62.35 (6%),59.57 (4%),50.02 (5%),,65.18 (5%),51.86 (8%),42.52 (4%),94.72 (24%),55.18 (6%),
LG화학,3.58 (0%),13.32 (1%),3.62 (0%),1.52 (0%),3.50 (0%),1.40 (0%),2.13 (0%),,1.43 (0%),
Nitto,1.43 (0%),0.70 (0%),2.17 (0%),0.76 (0%),1.40 (0%),0.70 (0%),,,1.43 (0%),
SID,0.72 (0%),4.91 (0%),5.07 (0%),1.52 (0%),2.80 (0%),4.20 (1%),4.25 (0%),,1.43 (0%),
SK하이닉스,67.37 (7%),51.86 (4%),21.02 (2%),31.91 (6%),21.73 (2%),16.82 (2%),24.09 (2%),,37.98 (4%),
Semiconductor,4.30 (0%),11.21 (1%),2.90 (0%),2.28 (0%),4.91 (0%),5.61 (1%),1.42 (0%),,5.73 (1%),
TCL,14.33 (1%),28.03 (2%),34.80 (3%),7.60 (1%),53.96 (4%),11.91 (2%),25.51 (2%),,18.63 (2%),
TSMC,1.43 (0%),4.20 (0%),,3.04 (1%),1.40 (0%),1.40 (0%),1.42 (0%),,2.15 (0%),
Tianma,8.60 (1%),18.92 (1%),21.02 (2%),6.84 (1%),29.43 (2%),10.51 (2%),15.59 (2%),,15.05 (2%),
Toray,,4.20 (0%),2.90 (0%),,1.40 (0%),1.40 (0%),0.71 (0%),,0.72 (0%),1.04 (0%)
UDC,,3.50 (0%),1.45 (0%),,1.40 (0%),2.80 (0%),2.83 (0%),,,
Visionox,7.88 (1%),18.92 (1%),18.12 (2%),2.28 (0%),23.13 (2%),3.50 (1%),23.39 (2%),,6.45 (1%),
구글,20.07 (2%),37.84 (3%),15.95 (2%),12.16 (2%),19.62 (1%),13.32 (2%),23.39 (2%),,18.63 (2%),
기아,15.05 (2%),29.43 (2%),9.42 (1%),10.64 (2%),13.32 (1%),11.21 (2%),7.80 (1%),,15.77 (2%),
기아자동차,2.87 (0%),6.31 (0%),2.90 (0%),3.80 (1%),5.61 (0%),7.01 (1%),4.25 (0%),,12.18 (1%),
네이버,7.88 (1%),9.81 (1%),1.45 (0%),4.56 (1%),,11.91 (2%),3.54 (0%),10.83 (3%),7.17 (1%),
두산로보틱스,0.72 (0%),2.80 (0%),,1.52 (0%),0.70 (0%),0.70 (0%),0.71 (0%),1.35 (0%),2.15 (0%),
디지타임스,,5.61 (0%),4.35 (0%),0.76 (0%),5.61 (0%),2.80 (0%),7.80 (1%),,2.15 (0%),
레노버,,0.70 (0%),0.72 (0%),,0.70 (0%),1.40 (0%),0.71 (0%),,,1.04 (0%)
마이크로소프트,8.60 (1%),13.32 (1%),7.25 (1%),7.60 (1%),9.81 (1%),2.80 (0%),7.09 (1%),,12.90 (1%),
메타,19.35 (2%),47.66 (3%),15.22 (1%),9.88 (2%),18.22 (1%),18.92 (3%),19.13 (2%),,9.32 (1%),
미디어텍,2.87 (0%),5.61 (0%),,4.56 (1%),3.50 (0%),3.50 (1%),2.13 (0%),,2.87 (0%),1.04 (0%)
벤츠,2.15 (0%),6.31 (0%),2.90 (0%),,2.80 (0%),6.31 (1%),2.83 (0%),,9.32 (1%),1.04 (0%)
비보,5.02 (1%),5.61 (0%),9.42 (1%),,16.82 (1%),4.20 (1%),21.97 (2%),,2.87 (0%),
삼성디스플레이,65.22 (7%),84.80 (6%),78.29 (7%),23.55 (4%),91.11 (7%),29.43 (4%),65.90 (6%),,53.03 (6%),
삼성전자,195.65 (19%),169.25 (12%),129.39 (12%),,158.94 (12%),86.09 (12%),120.54 (11%),110.82 (27%),115.89 (13%),
샤오미,20.78 (2%),45.55 (3%),33.35 (3%),9.12 (2%),58.87 (4%),17.52 (3%),53.15 (5%),,22.22 (3%),
샤오펑,2.15 (0%),3.50 (0%),2.17 (0%),0.76 (0%),4.91 (0%),0.70 (0%),1.42 (0%),,2.15 (0%),
샤프,2.87 (0%),4.20 (0%),13.77 (1%),,14.72 (1%),4.91 (1%),7.80 (1%),,6.45 (1%),
선익시스템,6.45 (1%),11.91 (1%),4.35 (0%),3.04 (1%),5.61 (0%),0.70 (0%),3.54 (0%),,3.58 (0%),
소니,4.30 (0%),11.91 (1%),8.70 (1%),3.80 (1%),15.42 (1%),8.41 (1%),9.21 (1%),,11.47 (1%),
아마존,4.21 (0%),7.41 (0%),3.41 (0%),8.03 (1%),5.76 (0%),4.12 (1%),4.16 (0%),,10.10 (1%),
아이씨디,2.15 (0%),6.31 (0%),2.90 (0%),0.76 (0%),4.20 (0%),0.70 (0%),2.13 (0%),,2.15 (0%),
알파벳,5.02 (1%),8.41 (1%),5.80 (1%),5.32 (1%),7.71 (1%),2.10 (0%),5.67 (1%),,9.32 (1%),
애플,80.52 (8%),108.17 (7%),98.19 (9%),43.88 (8%),117.74 (9%),51.51 (7%),134.68 (12%),,53.43 (6%),
엔비디아,30.82 (3%),22.43 (2%),10.87 (1%),22.80 (4%),14.72 (1%),11.21 (2%),17.72 (2%),,20.78 (2%),
오포,6.45 (1%),7.01 (1%),13.77 (1%),,21.73 (2%),3.50 (1%),28.35 (3%),,3.58 (0%),
원익IPS,8.60 (1%),17.52 (1%),7.25 (1%),6.08 (1%),6.31 (0%),0.70 (0%),2.83 (0%),,7.88 (1%),
인텔,1.43 (0%),3.50 (0%),1.45 (0%),0.76 (0%),1.40 (0%),2.80 (0%),3.54 (0%),,0.72 (0%),
카카오,7.88 (1%),13.32 (1%),,5.32 (1%),,14.02 (2%),4.96 (0%),24.36 (6%),8.60 (1%),4.17 (2%)
