org,topic,base_score,topic_share,company_focus,hybrid_score
AMD,7,92.0137,0.2353,0.9031,92.0137
AMD,0,26.5171,0.0275,0.2603,26.5171
AMD,5,22.4259,0.0326,0.2201,22.4259
AMD,8,13.6169,0.0155,0.1336,13.6169
AMD,6,13.4644,0.0130,0.1322,13.4644
AMD,1,11.9138,0.0086,0.1169,11.9138
AMD,3,9.8779,0.0186,0.0970,9.8779
AMD,4,7.0081,0.0053,0.0688,7.0081
AMD,9,5.2073,0.0230,0.0511,5.2073
AMD,2,5.0743,0.0048,0.0498,5.0743
AUO,1,27.3316,0.0197,0.5822,27.3316
AUO,4,21.0243,0.0160,0.4478,21.0243
AUO,5,17.5203,0.0254,0.3732,17.5203
AUO,2,15.9477,0.0152,0.3397,15.9477
AUO,8,14.3336,0.0163,0.3053,14.3336
AUO,6,9.9211,0.0096,0.2113,9.9211
AUO,3,9.1181,0.0172,0.1942,9.1181
AUO,0,7.8835,0.0082,0.1679,7.8835
AUO,9,2.0829,0.0092,0.0444,2.0829
BMW,8,14.3336,0.0163,0.6249,14.3336
BMW,1,11.2130,0.0081,0.4889,11.2130
BMW,5,10.5122,0.0153,0.4583,10.5122
BMW,2,5.7992,0.0055,0.2528,5.7992
BMW,4,4.9057,0.0037,0.2139,4.9057
BMW,6,3.5433,0.0034,0.1545,3.5433
BMW,3,2.2795,0.0043,0.0994,2.2795
BMW,0,2.1500,0.0022,0.0937,2.1500
BMW,9,2.0829,0.0092,0.0908,2.0829
BOE,4,85.4988,0.0651,0.5552,85.4988
BOE,2,68.1402,0.0651,0.4425,68.1402
BOE,1,64.4745,0.0466,0.4187,64.4745
BOE,6,60.2354,0.0583,0.3912,60.2354
BOE,8,37.2672,0.0424,0.2420,37.2672
BOE,5,33.6389,0.0488,0.2184,33.6389
BOE,0,31.5338,0.0327,0.2048,31.5338
BOE,3,20.5156,0.0386,0.1332,20.5156
BOE,9,6.2487,0.0276,0.0406,6.2487
BYD,4,9.1105,0.0069,0.5554,9.1105
BYD,8,7.8835,0.0090,0.4806,7.8835
BYD,1,7.0081,0.0051,0.4272,7.0081
BYD,2,4.3494,0.0042,0.2651,4.3494
BYD,6,4.2519,0.0041,0.2592,4.2519
BYD,3,3.7992,0.0072,0.2316,3.7992
BYD,5,3.5041,0.0051,0.2136,3.5041
BYD,0,2.8667,0.0030,0.1748,2.8667
BYD,7,1.3531,0.0035,0.0825,1.3531
BYD,9,1.0415,0.0046,0.0635,1.0415
CES,7,1.3531,0.0035,0.7406,1.3531
CES,0,0.7167,0.0007,0.3923,0.7167
CES,6,0.7087,0.0007,0.3879,0.7087
CES,4,0.7008,0.0005,0.3836,0.7008
CSOT,4,52.5608,0.0400,0.6279,52.5608
CSOT,2,42.0440,0.0402,0.5023,42.0440
CSOT,6,31.8893,0.0309,0.3810,31.8893
CSOT,1,24.5284,0.0177,0.2930,24.5284
CSOT,0,18.6336,0.0193,0.2226,18.6336
CSOT,8,17.9169,0.0204,0.2140,17.9169
CSOT,5,11.9138,0.0173,0.1423,11.9138
CSOT,3,6.8385,0.0129,0.0817,6.8385
CSOT,9,1.0415,0.0046,0.0124,1.0415
Counterpoint,3,0.7598,0.0014,0.4693,0.7598
Counterpoint,2,0.7249,0.0007,0.4477,0.7249
Counterpoint,0,0.7167,0.0007,0.4427,0.7167
Counterpoint,8,0.7167,0.0008,0.4427,0.7167
Counterpoint,1,0.7008,0.0005,0.4329,0.7008
HP,0,1.4334,0.0015,0.6402,1.4334
HP,5,1.4016,0.0020,0.6260,1.4016
HP,6,0.7087,0.0007,0.3165,0.7087
HP,4,0.7008,0.0005,0.3130,0.7008
Harman,8,4.3001,0.0049,0.5528,4.3001
Harman,0,3.5834,0.0037,0.4607,3.5834
Harman,1,3.5041,0.0025,0.4505,3.5041
Harman,3,2.2795,0.0043,0.2930,2.2795
Harman,2,2.1747,0.0021,0.2796,2.1747
Harman,6,2.1260,0.0021,0.2733,2.1260
Harman,4,1.4016,0.0011,0.1802,1.4016
Harman,5,0.7008,0.0010,0.0901,0.7008
IEEE,1,7.0081,0.0051,0.7660,7.0081
IEEE,0,2.8667,0.0030,0.3133,2.8667
IEEE,8,2.8667,0.0033,0.3133,2.8667
IEEE,3,2.2795,0.0043,0.2492,2.2795
IEEE,4,2.1024,0.0016,0.2298,2.1024
IEEE,5,2.1024,0.0031,0.2298,2.1024
IEEE,2,1.4498,0.0014,0.1585,1.4498
IEEE,6,1.4173,0.0014,0.1549,1.4173
Innolux,1,29.4340,0.0213,0.5320,29.4340
Innolux,4,22.4259,0.0171,0.4053,22.4259
