rank,keyword,score
1,디스플레,6.041092370557125
2,인공지능,3.402523135689949
3,삼성,2.7455731762391786
4,의료,2.14387109605017
5,레노버,2.1046730742914996
6,기술,2.0658818926656624
7,제품,2.02477180187559
8,하이브리드,1.9491868163973471
9,전략,1.7718256604249776
10,맞춤형,1.7461446915055445
11,디지털,1.7324037446059433
12,이날,1.680206028983124
13,각각,1.5944808761242064
14,성장,1.519982323125626
15,온디바이스,1.4684382412082684
16,기업,1.3325567047579012
17,방안,1.25607045501225
18,베를린서,1.1458009769108624
