org,topic,base_score,topic_share,company_focus,hybrid_score
AMD,6,16.2883,0.0212,0.4768,16.2883
AMD,8,14.8719,0.0120,0.4353,14.8719
AMD,3,12.6105,0.0085,0.3691,12.6105
AMD,1,11.5827,0.0141,0.3390,11.5827
AMD,7,10.1349,0.0135,0.2967,10.1349
AMD,9,10.0235,0.0126,0.2934,10.0235
AMD,5,9.2064,0.0072,0.2695,9.2064
AMD,2,8.0527,0.0093,0.2357,8.0527
AMD,4,5.7914,0.0084,0.1695,5.7914
AMD,0,1.0430,0.0062,0.0305,1.0430
AUO,3,27.3227,0.0183,0.5325,27.3227
AUO,5,25.4947,0.0199,0.4969,25.4947
AUO,8,19.8292,0.0160,0.3864,19.8292
AUO,2,16.1054,0.0186,0.3139,16.1054
AUO,1,14.4784,0.0176,0.2822,14.4784
AUO,9,12.1714,0.0153,0.2372,12.1714
AUO,4,10.1349,0.0147,0.1975,10.1349
AUO,7,7.9631,0.0106,0.1552,7.9631
AUO,6,7.0819,0.0092,0.1380,7.0819
AUO,0,3.1291,0.0185,0.0610,3.1291
BMW,3,16.1134,0.0108,0.5449,16.1134
BMW,9,15.0352,0.0189,0.5084,15.0352
BMW,8,13.4555,0.0109,0.4550,13.4555
BMW,2,8.0527,0.0093,0.2723,8.0527
BMW,1,6.5153,0.0079,0.2203,6.5153
BMW,5,6.3737,0.0050,0.2155,6.3737
BMW,6,5.6655,0.0074,0.1916,5.6655
BMW,4,5.0674,0.0074,0.1714,5.0674
BMW,7,1.4478,0.0019,0.0490,1.4478
BOE,5,72.2349,0.0563,0.5386,72.2349
BOE,8,54.5302,0.0440,0.4066,54.5302
BOE,3,51.1425,0.0343,0.3814,51.1425
BOE,7,44.8830,0.0596,0.3347,44.8830
BOE,4,33.3003,0.0484,0.2483,33.3003
BOE,2,32.9428,0.0380,0.2456,32.9428
BOE,1,32.5763,0.0396,0.2429,32.5763
BOE,9,32.2183,0.0405,0.2402,32.2183
BOE,6,29.0356,0.0379,0.2165,29.0356
BOE,0,5.2152,0.0309,0.0389,5.2152
BYD,3,9.8082,0.0066,0.4664,9.8082
BYD,9,9.3075,0.0117,0.4426,9.3075
BYD,8,9.2064,0.0074,0.4378,9.2064
BYD,5,8.4982,0.0066,0.4041,8.4982
BYD,1,6.5153,0.0079,0.3098,6.5153
BYD,2,5.8565,0.0068,0.2785,5.8565
BYD,6,3.5409,0.0046,0.1684,3.5409
BYD,7,2.8957,0.0038,0.1377,2.8957
BYD,4,2.1718,0.0032,0.1033,2.1718
CES,8,1.4164,0.0011,0.8135,1.4164
CES,7,0.7239,0.0010,0.4158,0.7239
CES,6,0.7082,0.0009,0.4067,0.7082
CSOT,5,44.6157,0.0348,0.5793,44.6157
CSOT,8,33.2847,0.0269,0.4322,33.2847
CSOT,7,28.9568,0.0385,0.3760,28.9568
CSOT,3,26.6221,0.0179,0.3457,26.6221
CSOT,4,20.2697,0.0294,0.2632,20.2697
CSOT,6,16.2883,0.0212,0.2115,16.2883
CSOT,2,14.6413,0.0169,0.1901,14.6413
CSOT,1,14.4784,0.0176,0.1880,14.4784
CSOT,9,13.6033,0.0171,0.1766,13.6033
CSOT,0,1.0430,0.0062,0.0135,1.0430
Continental,7,0.7239,0.0010,1.0000,0.7239
Counterpoint,7,2.8957,0.0038,0.8983,2.8957
Counterpoint,9,0.7160,0.0009,0.2221,0.7160
Counterpoint,6,0.7082,0.0009,0.2197,0.7082
Counterpoint,8,0.7082,0.0006,0.2197,0.7082
Counterpoint,3,0.7006,0.0005,0.2173,0.7006
IEEE,8,2.8327,0.0023,0.5104,2.8327
IEEE,3,2.8023,0.0019,0.5049,2.8023
IEEE,1,2.1718,0.0026,0.3913,2.1718
IEEE,9,2.1479,0.0027,0.3870,2.1479
IEEE,5,1.4164,0.0011,0.2552,1.4164
IEEE,6,1.4164,0.0018,0.2552,1.4164
IEEE,2,0.7321,0.0008,0.1319,0.7321
IEEE,4,0.7239,0.0011,0.1304,0.7239
IEEE,7,0.7239,0.0010,0.1304,0.7239
IMID,9,2.1479,0.0027,0.5710,2.1479
IMID,3,2.1017,0.0014,0.5588,2.1017
IMID,5,1.4164,0.0011,0.3766,1.4164
IMID,2,0.7321,0.0008,0.1946,0.7321
IMID,1,0.7239,0.0009,0.1925,0.7239
IMID,4,0.7239,0.0011,0.1925,0.7239
IMID,7,0.7239,0.0010,0.1925,0.7239
IMID,6,0.7082,0.0009,0.1883,0.7082
IMID,8,0.7082,0.0006,0.1883,0.7082
Innolux,3,28.7239,0.0193,0.4597,28.7239
Innolux,5,28.3274,0.0221,0.4534,28.3274
Innolux,1,26.0611,0.0317,0.4171,26.0611
Innolux,2,24.8901,0.0287,0.3984,24.8901
Innolux,8,17.7046,0.0143,0.2834,17.7046
Innolux,9,16.4671,0.0207,0.2636,16.4671
Innolux,4,13.0305,0.0189,0.2086,13.0305
Innolux,7,11.5827,0.0154,0.1854,11.5827
Innolux,6,9.2064,0.0120,0.1473,9.2064
Innolux,0,2.0861,0.0123,0.0334,2.0861
IoT,3,23.1192,0.0155,0.6936,23.1192
IoT,5,11.3310,0.0088,0.3399,11.3310
IoT,8,11.3310,0.0091,0.3399,11.3310
IoT,1,10.1349,0.0123,0.3041,10.1349
IoT,2,9.5168,0.0110,0.2855,9.5168
IoT,9,7.8756,0.0099,0.2363,7.8756
IoT,4,6.5153,0.0095,0.1955,6.5153
IoT,6,3.5409,0.0046,0.1062,3.5409
IoT,7,2.8957,0.0038,0.0869,2.8957
IoT,0,1.0430,0.0062,0.0313,1.0430
JDI,3,12.6105,0.0085,0.4949,12.6105
JDI,5,12.0391,0.0094,0.4725,12.0391
JDI,2,8.7848,0.0101,0.3448,8.7848
JDI,7,8.6870,0.0115,0.3409,8.6870
JDI,6,7.0819,0.0092,0.2779,7.0819
JDI,8,7.0819,0.0057,0.2779,7.0819
JDI,4,6.5153,0.0095,0.2557,6.5153
JDI,9,6.4437,0.0081,0.2529,6.4437
JDI,1,2.8957,0.0035,0.1136,2.8957
LG디스플레이,5,151.5516,0.1181,0.5605,151.5516
LG디스플레이,3,116.9972,0.0785,0.4327,116.9972
LG디스플레이,7,97.0051,0.1288,0.3588,97.0051
LG디스플레이,8,92.7722,0.0749,0.3431,92.7722
LG디스플레이,4,76.0115,0.1104,0.2811,76.0115
LG디스플레이,6,64.4448,0.0840,0.2384,64.4448
LG디스플레이,2,63.6894,0.0735,0.2356,63.6894
LG디스플레이,1,47.7786,0.0580,0.1767,47.7786
LG디스플레이,9,45.8216,0.0576,0.1695,45.8216
LG디스플레이,0,7.3013,0.0432,0.0270,7.3013
LG전자,3,80.5669,0.0540,0.5094,80.5669
LG전자,2,61.4933,0.0709,0.3888,61.4933
LG전자,5,60.9039,0.0475,0.3851,60.9039
LG전자,8,59.4875,0.0480,0.3761,59.4875
LG전자,9,47.9694,0.0603,0.3033,47.9694
LG전자,1,43.4351,0.0528,0.2746,43.4351
LG전자,6,37.5338,0.0489,0.2373,37.5338
LG전자,4,31.8524,0.0463,0.2014,31.8524
LG전자,7,23.8893,0.0317,0.1510,23.8893
LG전자,0,17.7317,0.1049,0.1121,17.7317
LG화학,2,25.6222,0.0296,0.5457,25.6222
LG화학,3,25.2210,0.0169,0.5372,25.2210
LG화학,8,15.5801,0.0126,0.3318,15.5801
LG화학,1,12.3066,0.0150,0.2621,12.3066
LG화학,9,11.4554,0.0144,0.2440,11.4554
LG화학,6,11.3310,0.0148,0.2413,11.3310
LG화학,5,10.6228,0.0083,0.2262,10.6228
LG화학,4,9.4109,0.0137,0.2004,9.4109
LG화학,7,7.2392,0.0096,0.1542,7.2392
LG화학,0,2.0861,0.0123,0.0444,2.0861
MWC,8,7.7900,0.0063,0.7107,7.7900
MWC,3,4.2035,0.0028,0.3835,4.2035
MWC,1,3.6196,0.0044,0.3302,3.6196
MWC,9,3.5798,0.0045,0.3266,3.5798
MWC,4,2.1718,0.0032,0.1981,2.1718
MWC,5,2.1246,0.0017,0.1938,2.1246
MWC,6,2.1246,0.0028,0.1938,2.1246
MWC,2,1.4641,0.0017,0.1336,1.4641
Photovoltaic,1,2.1718,0.0026,0.7570,2.1718
Photovoltaic,3,1.4012,0.0009,0.4884,1.4012
Photovoltaic,2,0.7321,0.0008,0.2552,0.7321
Photovoltaic,9,0.7160,0.0009,0.2496,0.7160
Photovoltaic,5,0.7082,0.0006,0.2469,0.7082
SID,3,5.6047,0.0038,0.5165,5.6047
SID,1,5.0674,0.0062,0.4670,5.0674
SID,5,4.9573,0.0039,0.4568,4.9573
SID,2,3.6603,0.0042,0.3373,3.6603
SID,4,2.8957,0.0042,0.2668,2.8957
SID,9,2.8638,0.0036,0.2639,2.8638
SID,7,1.4478,0.0019,0.1334,1.4478
SID,6,1.4164,0.0018,0.1305,1.4164
SID,8,1.4164,0.0011,0.1305,1.4164
SK하이닉스,3,56.7472,0.0381,0.5817,56.7472
SK하이닉스,6,39.6584,0.0517,0.4065,39.6584
SK하이닉스,2,37.3352,0.0431,0.3827,37.3352
SK하이닉스,8,29.0356,0.0234,0.2976,29.0356
SK하이닉스,9,28.6385,0.0360,0.2936,28.6385
SK하이닉스,1,28.2328,0.0343,0.2894,28.2328
SK하이닉스,5,21.9537,0.0171,0.2250,21.9537
SK하이닉스,4,15.2023,0.0221,0.1558,15.2023
SK하이닉스,7,10.8588,0.0144,0.1113,10.8588
SK하이닉스,0,6.2583,0.0370,0.0641,6.2583
Semiconductor,3,19.6163,0.0132,0.5975,19.6163
Semiconductor,1,12.3066,0.0150,0.3749,12.3066
Semiconductor,2,11.7130,0.0135,0.3568,11.7130
Semiconductor,8,10.6228,0.0086,0.3236,10.6228
Semiconductor,9,10.0235,0.0126,0.3053,10.0235
Semiconductor,5,9.2064,0.0072,0.2804,9.2064
Semiconductor,6,8.4982,0.0111,0.2589,8.4982
Semiconductor,4,5.0674,0.0074,0.1544,5.0674
Semiconductor,7,2.8957,0.0038,0.0882,2.8957
TCL,5,43.1993,0.0337,0.5749,43.1993
TCL,8,35.4093,0.0286,0.4712,35.4093
TCL,3,25.2210,0.0169,0.3356,25.2210
TCL,9,20.0469,0.0252,0.2668,20.0469
TCL,7,19.5458,0.0260,0.2601,19.5458
TCL,2,18.3016,0.0211,0.2436,18.3016
TCL,1,18.0980,0.0220,0.2408,18.0980
TCL,4,16.6501,0.0242,0.2216,16.6501
TCL,6,12.7473,0.0166,0.1696,12.7473
TCL,0,2.0861,0.0123,0.0278,2.0861
TSMC,3,18.2151,0.0122,0.6136,18.2151
TSMC,2,13.9092,0.0160,0.4685,13.9092
TSMC,1,10.1349,0.0123,0.3414,10.1349
TSMC,9,9.3075,0.0117,0.3135,9.3075
TSMC,8,9.2064,0.0074,0.3101,9.2064
TSMC,5,5.6655,0.0044,0.1908,5.6655
TSMC,6,5.6655,0.0074,0.1908,5.6655
TSMC,4,3.6196,0.0053,0.1219,3.6196
TSMC,7,2.1718,0.0029,0.0732,2.1718
Tianma,5,28.3274,0.0221,0.5333,28.3274
Tianma,3,22.4186,0.0150,0.4221,22.4186
Tianma,8,20.5374,0.0166,0.3866,20.5374
Tianma,7,18.8219,0.0250,0.3543,18.8219
Tianma,4,16.6501,0.0242,0.3135,16.6501
Tianma,2,16.1054,0.0186,0.3032,16.1054
Tianma,6,9.2064,0.0120,0.1733,9.2064
Tianma,1,7.9631,0.0097,0.1499,7.9631
Tianma,9,7.1596,0.0090,0.1348,7.1596
Tianma,0,2.0861,0.0123,0.0393,2.0861
Toray,3,3.5029,0.0023,0.5834,3.5029
Toray,7,2.8957,0.0038,0.4823,2.8957
Toray,5,2.8327,0.0022,0.4718,2.8327
Toray,4,2.1718,0.0032,0.3617,2.1718
Toray,2,1.4641,0.0017,0.2438,1.4641
Toray,9,0.7160,0.0009,0.1192,0.7160
V2X,3,11.9099,0.0080,0.7067,11.9099
V2X,2,6.5886,0.0076,0.3910,6.5886
V2X,1,5.7914,0.0070,0.3437,5.7914
V2X,8,4.9573,0.0040,0.2942,4.9573
V2X,6,4.2491,0.0055,0.2521,4.2491
V2X,9,2.8638,0.0036,0.1699,2.8638
V2X,5,2.8327,0.0022,0.1681,2.8327
V2X,4,2.1718,0.0032,0.1289,2.1718
V2X,0,1.0430,0.0062,0.0619,1.0430
V2X,7,0.7239,0.0010,0.0430,0.7239
Visionox,5,16.9964,0.0132,0.4835,16.9964
Visionox,3,16.8140,0.0113,0.4783,16.8140
Visionox,7,15.2023,0.0202,0.4325,15.2023
Visionox,4,13.7545,0.0200,0.3913,13.7545
Visionox,8,12.0391,0.0097,0.3425,12.0391
Visionox,2,7.3206,0.0084,0.2083,7.3206
Visionox,6,5.6655,0.0074,0.1612,5.6655
Visionox,1,3.6196,0.0044,0.1030,3.6196
구글,3,39.9332,0.0268,0.5377,39.9332
구글,8,37.5338,0.0303,0.5054,37.5338
구글,1,23.8893,0.0290,0.3216,23.8893
구글,9,22.9108,0.0288,0.3085,22.9108
구글,2,21.2298,0.0245,0.2858,21.2298
구글,5,19.8292,0.0155,0.2670,19.8292
구글,6,19.8292,0.0259,0.2670,19.8292
구글,4,10.8588,0.0158,0.1462,10.8588
구글,7,7.2392,0.0096,0.0975,7.2392
구글,0,3.1291,0.0185,0.0421,3.1291
기아,3,16.8140,0.0113,0.5464,16.8140
기아,9,12.1714,0.0153,0.3955,12.1714
