org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,,11.58 (1%),8.05 (1%),12.61 (1%),,9.21 (1%),16.29 (2%),10.13 (1%),14.87 (1%),10.02 (1%)
AUO,,14.48 (2%),16.11 (2%),27.32 (2%),10.13 (1%),25.49 (2%),,7.96 (1%),19.83 (2%),12.17 (2%)
BMW,,6.52 (1%),8.05 (1%),16.11 (1%),5.07 (1%),6.37 (0%),5.67 (1%),,13.46 (1%),15.04 (2%)
BOE,,32.58 (4%),32.94 (4%),51.14 (3%),33.30 (5%),72.23 (6%),,44.88 (6%),54.53 (4%),32.22 (4%)
BYD,,6.52 (1%),5.86 (1%),9.81 (1%),,8.50 (1%),3.54 (0%),2.90 (0%),9.21 (1%),9.31 (1%)
CES,,,,,,,0.71 (0%),0.72 (0%),1.42 (0%),
CSOT,,14.48 (2%),14.64 (2%),26.62 (2%),20.27 (3%),44.62 (3%),16.29 (2%),28.96 (4%),33.28 (3%),
Continental,,,,,,,,0.72 (0%),,
Counterpoint,,,,0.70 (0%),,,0.71 (0%),2.90 (0%),0.71 (0%),0.72 (0%)
IEEE,,2.17 (0%),0.73 (0%),2.80 (0%),0.72 (0%),1.42 (0%),1.42 (0%),,2.83 (0%),2.15 (0%)
IMID,,0.72 (0%),0.73 (0%),2.10 (0%),0.72 (0%),1.42 (0%),0.71 (0%),0.72 (0%),,2.15 (0%)
Innolux,,26.06 (3%),24.89 (3%),28.72 (2%),13.03 (2%),28.33 (2%),,11.58 (2%),17.70 (1%),16.47 (2%)
IoT,,10.13 (1%),9.52 (1%),23.12 (2%),6.52 (1%),11.33 (1%),3.54 (0%),,11.33 (1%),7.88 (1%)
JDI,,,8.78 (1%),12.61 (1%),6.52 (1%),12.04 (1%),7.08 (1%),8.69 (1%),7.08 (1%),6.44 (1%)
LG디스플레이,,47.78 (6%),63.69 (7%),117.00 (8%),76.01 (11%),151.55 (12%),64.44 (8%),97.01 (13%),92.77 (7%),
LG전자,,43.44 (5%),61.49 (7%),80.57 (5%),31.85 (5%),60.90 (5%),37.53 (5%),,59.49 (5%),47.97 (6%)
LG화학,,12.31 (1%),25.62 (3%),25.22 (2%),9.41 (1%),10.62 (1%),11.33 (1%),,15.58 (1%),11.46 (1%)
MWC,,3.62 (0%),1.46 (0%),4.20 (0%),2.17 (0%),2.12 (0%),2.12 (0%),,7.79 (1%),3.58 (0%)
Photovoltaic,,2.17 (0%),0.73 (0%),1.40 (0%),,0.71 (0%),,,,0.72 (0%)
SID,,5.07 (1%),3.66 (0%),5.60 (0%),2.90 (0%),4.96 (0%),1.42 (0%),1.45 (0%),,2.86 (0%)
SK하이닉스,,28.23 (3%),37.34 (4%),56.75 (4%),15.20 (2%),21.95 (2%),39.66 (5%),,29.04 (2%),28.64 (4%)
Semiconductor,,12.31 (1%),11.71 (1%),19.62 (1%),5.07 (1%),9.21 (1%),8.50 (1%),,10.62 (1%),10.02 (1%)
TCL,,18.10 (2%),18.30 (2%),25.22 (2%),16.65 (2%),43.20 (3%),,19.55 (3%),35.41 (3%),20.05 (3%)
TSMC,,10.13 (1%),13.91 (2%),18.22 (1%),3.62 (1%),5.67 (0%),5.67 (1%),,9.21 (1%),9.31 (1%)
Tianma,,7.96 (1%),16.11 (2%),22.42 (2%),16.65 (2%),28.33 (2%),9.21 (1%),18.82 (2%),20.54 (2%),
Toray,,,1.46 (0%),3.50 (0%),2.17 (0%),2.83 (0%),,2.90 (0%),,0.72 (0%)
V2X,,5.79 (1%),6.59 (1%),11.91 (1%),2.17 (0%),2.83 (0%),4.25 (1%),,4.96 (0%),2.86 (0%)
Visionox,,3.62 (0%),7.32 (1%),16.81 (1%),13.75 (2%),17.00 (1%),5.67 (1%),15.20 (2%),12.04 (1%),
구글,,23.89 (3%),21.23 (2%),39.93 (3%),10.86 (2%),19.83 (2%),19.83 (3%),,37.53 (3%),22.91 (3%)
기아,,7.24 (1%),11.71 (1%),16.81 (1%),6.52 (1%),9.91 (1%),,6.52 (1%),9.91 (1%),12.17 (2%)
기아자동차,,5.07 (1%),2.20 (0%),3.50 (0%),,4.25 (0%),2.12 (0%),1.45 (0%),3.54 (0%),3.58 (0%)
네이버,,8.69 (1%),8.05 (1%),14.71 (1%),9.41 (1%),8.50 (1%),9.21 (1%),,12.04 (1%),6.44 (1%)
도우인시스,,,,0.70 (0%),0.72 (0%),0.71 (0%),2.83 (0%),2.17 (0%),0.71 (0%),
두산로보틱스,,2.90 (0%),0.73 (0%),3.50 (0%),2.90 (0%),0.71 (0%),2.12 (0%),,2.12 (0%),1.43 (0%)
디지타임스,,4.34 (1%),,5.60 (0%),2.90 (0%),4.96 (0%),3.54 (0%),4.34 (1%),4.25 (0%),2.15 (0%)
레노버,,2.90 (0%),1.46 (0%),2.10 (0%),2.90 (0%),2.12 (0%),,1.45 (0%),2.12 (0%),2.86 (0%)
리벨리온,,2.17 (0%),2.93 (0%),5.60 (0%),1.45 (0%),1.42 (0%),0.71 (0%),1.45 (0%),,1.43 (0%)
마이크로소프트,,7.24 (1%),13.91 (2%),15.41 (1%),,10.62 (1%),9.21 (1%),8.69 (1%),11.33 (1%),12.89 (2%)
메타,,20.99 (3%),13.18 (2%),35.73 (2%),7.96 (1%),15.58 (1%),12.75 (2%),,28.33 (2%),18.62 (2%)
미디어텍,,9.41 (1%),9.52 (1%),11.21 (1%),2.17 (0%),4.25 (0%),5.67 (1%),,9.21 (1%),5.73 (1%)
벤츠,31.29 (19%),4.34 (1%),2.20 (0%),7.01 (0%),7.96 (1%),5.67 (0%),,,4.25 (0%),8.59 (1%)
