org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
소셜,1,2,2,5,2,4,1,2
소액결제,1,3,3,2,5,2,4,2
솔루션,4,4,4,2,7,4,2,8
수상작,0,1,1,1,3,1,1,1
수소,0,1,4,0,3,4,0,3
스마트폰,1,1,0,4,2,2,1,0
스크린,5,1,1,0,1,2,0,2
시간,1,1,0,4,2,2,1,0
시는,1,2,4,0,1,2,1,2
시동,1,1,3,1,3,2,5,3
시리즈,0,1,0,4,4,0,1,1
시민,0,1,3,1,2,2,5,2
시스템,3,1,4,0,5,4,0,6
식습관,0,1,1,1,3,1,1,1
신사업,1,1,3,0,1,1,1,3
신축성,1,1,3,0,2,3,1,1
실내,5,0,2,0,1,1,0,1
실제,1,1,3,1,3,2,5,3
실증,1,1,3,1,3,2,5,3
실행,1,1,0,4,2,2,1,0
씨라이언,9,0,7,0,7,5,0,3
아이누리,0,1,1,1,3,1,1,1
아트,2,0,3,0,2,1,1,0
아트테크,1,4,1,1,3,1,2,2
안락함,5,0,2,0,1,1,0,1
안전,1,0,3,0,4,2,0,1
안전성,2,2,2,1,3,1,1,2
암호화폐,5,1,1,0,1,2,0,2
야시장,1,4,3,1,4,2,2,3
양도세,0,2,1,1,3,2,3,2
업무,0,2,2,5,3,2,1,2
에너지,2,1,1,0,1,2,0,5
에너지경제신문,1,4,3,1,4,2,2,3
에이전트,0,2,2,5,3,2,1,2
엑스포,1,4,3,1,4,2,2,3
여부,2,2,0,2,3,2,3,2
연구,1,1,3,0,2,3,1,1
연구성과,1,1,3,0,2,3,1,1
연료전지,0,1,4,0,3,4,0,3
영상,2,8,2,2,6,2,4,4
영상제,4,16,6,4,13,6,8,9
오후,2,8,2,2,6,2,4,4
올해,1,3,3,2,5,2,4,2
운영하,1,2,2,5,2,4,1,2
울산시,2,0,3,0,2,1,1,0
울산시에,2,0,3,0,2,1,1,0
워크숍,1,1,3,0,2,3,1,1
원을,3,0,2,0,2,2,0,1
위한,1,5,4,1,4,6,5,5
위해,0,2,1,1,3,2,3,2
유동성,2,2,0,2,3,2,3,2
유지,0,2,1,1,3,2,3,2
유치,1,3,7,1,3,4,6,4
으뜸기업,1,1,3,0,1,1,1,3
의료,1,2,4,0,1,2,1,2
이날,1,2,6,2,5,4,10,5
이더리움,5,1,1,0,1,2,0,2
이더리움클래식,5,1,1,0,1,2,0,2
이를,1,2,4,0,1,2,1,2
이마트,10,1,2,0,2,2,0,3
이번,12,15,10,7,16,11,8,14
이복현,1,4,4,10,5,6,2,4
이재명,1,3,3,2,5,2,4,2
이재빈,1,1,3,0,1,1,1,3
이철우,0,3,0,1,3,4,4,3
이틀간,1,4,1,1,3,1,2,2
인공지능,0,1,3,1,2,2,5,2
인도,1,0,3,0,4,2,0,1
인력,1,1,3,0,1,1,1,3
인재,1,1,3,0,1,1,1,3
인프라,0,2,2,5,3,2,1,2
입시,0,1,0,4,4,0,1,1
있는,4,8,5,2,8,3,5,4
있다,2,2,2,1,3,1,1,2
있다.,4,6,14,2,11,9,6,7
있도록,0,3,0,1,3,4,4,3
자율주행,1,1,3,1,3,2,5,3
장비,0,1,4,0,3,4,0,3
장생포,2,0,3,0,2,1,1,0
전광판,2,0,3,0,2,1,1,0
전국,1,0,3,0,4,2,0,1
전기,5,0,2,0,1,1,0,1
전기차,5,0,2,0,1,1,0,1
전략,1,4,3,1,4,2,2,3
전재,5,0,1,0,1,0,0,1
정부,1,3,3,2,5,2,4,2
정책,0,2,1,1,3,2,3,2
제품,1,2,4,4,5,6,1,3
젬허브,1,2,2,5,2,4,1,2
주도하고,2,0,3,0,2,1,1,0
주요,0,3,0,1,3,4,4,3
주행,6,0,5,0,5,3,0,2
중형,1,0,3,0,4,2,0,1
지난,0,1,1,1,3,1,1,1
지사,0,3,0,1,3,4,4,3
지원,1,5,4,1,4,6,5,5
지정,1,2,4,0,1,2,1,2
직접,1,1,3,1,3,2,5,3
진학,0,1,0,4,4,0,1,1
질감,5,0,2,0,1,1,0,1
차량,1,0,3,0,4,2,0,1
차량용,2,2,2,1,3,1,1,2
차세대,1,1,3,0,2,3,1,1
차지훈,1,2,2,5,2,4,1,2
채용,1,1,3,0,1,1,1,3
천지일보,1,1,3,0,1,1,1,3
첨단,4,16,6,4,13,6,8,9
청년,1,1,3,0,1,1,1,3
초기,2,2,0,2,3,2,3,2
충전,6,0,5,0,5,3,0,2
친환경,0,1,4,0,3,4,0,3
컨설팅,0,1,0,4,4,0,1,1
코스피,1,3,3,2,5,2,4,2
