term,cur,prev,diff,ma7,z_like,total
출고,8,0,8,1.333,3.094,8
오라클,7,0,7,1.167,2.804,7
씨라이언,10,0,10,2.667,2.785,16
byd코리아,8,0,8,1.667,2.764,10
시작,8,0,8,1.833,2.62,11
플랫폼,6,1,5,1.5,2.023,9
아마존,5,0,5,1.0,2.0,6
경제자유구역,4,0,4,0.667,1.835,4
삼성sds,4,0,4,0.667,1.835,4
안경,4,0,4,0.667,1.835,4
포항시,4,0,4,0.667,1.835,4
2025,15,6,9,8.0,1.828,48
byd,6,0,6,1.833,1.77,11
주가,5,0,5,1.333,1.702,8
모빌리티,6,0,6,2.0,1.657,12
폭등,4,0,4,0.833,1.655,5
ai,27,31,-4,18.667,1.566,112
ar,3,0,3,0.5,1.464,3
본격,3,0,3,0.5,1.464,3
부자,3,0,3,0.5,1.464,3
삼성디스플레이,3,0,3,0.5,1.464,3
소비자용,3,0,3,0.5,1.464,3
영상제,3,0,3,0.5,1.464,3
이주형,3,0,3,0.5,1.464,3
파주시,3,0,3,0.5,1.464,3
lg,5,1,4,1.667,1.455,10
개막,3,0,3,0.667,1.285,4
관련주,3,0,3,0.667,1.285,4
사람,3,0,3,0.667,1.285,4
삼성d,3,0,3,0.667,1.285,4
지정,3,0,3,0.667,1.285,4
메타버스,3,1,2,0.667,1.285,4
기반,4,1,3,1.5,1.124,9
100일,2,0,2,0.333,1.057,2
13일,2,0,2,0.333,1.057,2
1위,2,0,2,0.333,1.057,2
33년,2,0,2,0.333,1.057,2
36,2,0,2,0.333,1.057,2
cj프레시웨이,2,0,2,0.333,1.057,2
ebn,2,0,2,0.333,1.057,2
tech,2,0,2,0.333,1.057,2
경상국립대,2,0,2,0.333,1.057,2
고효율친환경건축대상,2,0,2,0.333,1.057,2
글래스,2,0,2,0.333,1.057,2
기술개발,2,0,2,0.333,1.057,2
껑충껑충,2,0,2,0.333,1.057,2
나노소재,2,0,2,0.333,1.057,2
드라이빙,2,0,2,0.333,1.057,2
등극,2,0,2,0.333,1.057,2
디케이락,2,0,2,0.333,1.057,2
