term,cur,prev,diff,ma7,z_like,total
출고,10,0,10,2.0,3.314,10
씨라이언,13,0,13,3.8,3.119,19
byd코리아,10,0,10,2.4,2.981,12
시작,9,0,9,2.4,2.589,12
오라클,7,0,7,1.4,2.565,7
포항시,7,0,7,1.4,2.565,7
2025,20,6,14,10.6,2.209,53
플랫폼,7,1,6,2.0,2.071,10
byd,8,0,8,2.6,2.067,13
경제자유구역,5,0,5,1.0,2.0,5
삼성sds,5,0,5,1.0,2.0,5
영상제,5,0,5,1.0,2.0,5
개막,5,0,5,1.2,1.813,6
아마존,5,0,5,1.2,1.813,6
메타버스,5,1,4,1.2,1.813,6
kicef,4,0,4,0.8,1.689,4
삼성디스플레이,4,0,4,0.8,1.689,4
스크린,4,0,4,0.8,1.689,4
안경,4,0,4,0.8,1.689,4
파주시,4,0,4,0.8,1.689,4
포터블,4,0,4,0.8,1.689,4
ai,32,31,1,23.2,1.513,116
주가,5,0,5,1.6,1.501,8
관련주,4,0,4,1.0,1.5,5
사람,4,0,4,1.0,1.5,5
이마트,4,0,4,1.0,1.5,5
지정,4,0,4,1.0,1.5,5
폭등,4,0,4,1.0,1.5,5
모빌리티,6,0,6,2.4,1.412,12
13일,3,0,3,0.6,1.352,3
ar,3,0,3,0.6,1.352,3
ebn,3,0,3,0.6,1.352,3
tech,3,0,3,0.6,1.352,3
경상국립대,3,0,3,0.6,1.352,3
기술개발,3,0,3,0.6,1.352,3
껑충껑충,3,0,3,0.6,1.352,3
나노소재,3,0,3,0.6,1.352,3
디케이락,3,0,3,0.6,1.352,3
본격,3,0,3,0.6,1.352,3
부자,3,0,3,0.6,1.352,3
소비자용,3,0,3,0.6,1.352,3
수소차,3,0,3,0.6,1.352,3
아이에스티이,3,0,3,0.6,1.352,3
엔케이,3,0,3,0.6,1.352,3
워크숍,3,0,3,0.6,1.352,3
위클리오늘,3,0,3,0.6,1.352,3
으뜸기업,3,0,3,0.6,1.352,3
이슈,3,0,3,0.6,1.352,3
이주형,3,0,3,0.6,1.352,3
잇는,3,0,3,0.6,1.352,3
자율주행,3,0,3,0.6,1.352,3
종합,3,0,3,0.6,1.352,3
차량과,3,0,3,0.6,1.352,3
한화솔루,3,0,3,0.6,1.352,3
한화이센셜,3,0,3,0.6,1.352,3
2025년,4,0,4,1.2,1.336,6
대통령,4,0,4,1.2,1.336,6
lg,5,1,4,2.0,1.243,10
kt,4,0,4,1.4,1.191,7
gamff,3,0,3,0.8,1.161,4
경북,3,0,3,0.8,1.161,4
삼성d,3,0,3,0.8,1.161,4
선정,4,3,1,1.6,1.06,8
뉴욕증시,3,0,3,1.0,1.0,5
성과,3,0,3,1.0,1.0,5
100일,2,0,2,0.4,0.98,2
1위,2,0,2,0.4,0.98,2
2027년,2,0,2,0.4,0.98,2
24인치,2,0,2,0.4,0.98,2
33년,2,0,2,0.4,0.98,2
36,2,0,2,0.4,0.98,2
5561명,2,0,2,0.4,0.98,2
ai수도,2,0,2,0.4,0.98,2
cj프레시웨이,2,0,2,0.4,0.98,2
enogia,2,0,2,0.4,0.98,2
great,2,0,2,0.4,0.98,2
imsi,2,0,2,0.4,0.98,2
orc,2,0,2,0.4,0.98,2
경북바이오산업,2,0,2,0.4,0.98,2
고효율친환경건축대상,2,0,2,0.4,0.98,2
관세협상에,2,0,2,0.4,0.98,2
국익,2,0,2,0.4,0.98,2
글래스,2,0,2,0.4,0.98,2
나연진의,2,0,2,0.4,0.98,2
나탔수,2,0,2,0.4,0.98,2
날아오른다,2,0,2,0.4,0.98,2
놀라다,2,0,2,0.4,0.98,2
드라이빙,2,0,2,0.4,0.98,2
등극,2,0,2,0.4,0.98,2
로씨에너지,2,0,2,0.4,0.98,2
