org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8
13일부터,4,2,3,0,1,3,2,5,1
316명,0,1,1,1,0,3,1,2,4
7은,1,0,1,5,1,1,1,0,0
7의,1,5,4,2,1,2,1,0,1
9월,1,0,1,1,2,2,1,2,5
AI,29,23,16,4,13,40,19,35,26
BYD,2,5,5,7,2,3,2,0,1
BYD코리아,2,10,7,6,2,6,4,0,1
CPI,1,0,1,1,2,2,1,2,5
data,0,0,0,0,0,1,0,1,1
EMOS,5,1,2,2,0,2,0,1,0
Enogia,5,1,2,2,0,2,0,1,0
EPD,5,2,2,1,1,1,0,1,0
GAMFF,12,7,9,0,3,9,6,15,3
global,0,0,0,0,0,1,0,1,1
Great,1,3,1,3,1,2,2,1,1
KB금융,1,5,3,4,1,4,3,0,0
KICEF,15,5,6,3,2,6,1,4,1
KT,2,5,1,0,3,5,5,3,5
K버거,3,3,2,2,1,1,1,2,2
LPG,2,1,0,0,1,3,1,2,2
OLED,2,1,0,0,3,4,1,2,2
ORC,5,1,2,2,0,2,0,1,0
SUV,2,5,5,7,2,3,2,0,1
the,0,0,0,0,0,1,0,1,1
가누다,1,5,3,4,1,4,3,0,0
가스,2,1,0,0,1,3,1,2,2
가스안전공사,2,1,0,0,1,3,1,2,2
가스저장시설,2,1,0,0,1,3,1,2,2
가장,1,5,3,4,1,4,3,0,0
각각각,4,3,4,0,2,2,2,1,2
간담회,4,3,3,0,1,3,2,5,1
감독,12,7,9,2,4,10,7,17,5
강조했다.,2,1,0,1,0,5,2,3,3
개막,4,3,3,0,1,3,2,5,1
개최,4,3,3,0,1,3,2,5,1
거래일,4,3,4,0,2,2,2,1,2
경북,4,3,3,0,1,3,2,5,1
경상국립대학교,2,1,2,1,5,2,2,1,0
계약,4,3,4,0,2,2,2,1,2
계획이다.,1,1,1,1,1,1,0,1,2
고객,4,15,8,6,5,11,9,3,6
고용,1,1,0,0,1,2,1,1,2
공급,4,3,4,0,2,2,2,1,2
공유,4,2,2,1,6,5,3,3,2
공유재산,1,1,1,1,1,1,0,1,2
관계,1,0,0,0,0,3,1,1,3
관련,0,1,1,1,0,3,1,2,4
관세,0,1,1,1,0,3,1,2,4
교수,4,2,2,2,5,7,4,4,3
교육,5,2,2,1,4,7,3,5,4
교체,2,5,1,0,3,5,5,3,5
구현,2,1,2,1,5,2,2,1,0
국내외,10,4,4,1,2,4,1,3,1
국민,0,1,1,1,0,3,1,2,4
국제,12,7,9,0,3,9,6,15,3
권력,2,1,0,1,0,5,2,3,3
귀국,0,1,1,1,0,3,1,2,4
규범,0,1,1,1,0,3,1,2,4
금리,1,0,1,1,2,2,1,2,5
기대,1,0,1,1,2,2,1,2,5
기반,8,4,4,3,6,9,3,4,2
기보,2,1,1,0,1,4,1,1,3
기술정보,2,1,0,0,1,3,1,2,2
기업에,2,1,0,1,0,5,2,3,3
기자,2,7,1,6,3,5,4,2,3
기준,4,8,5,6,2,5,4,2,2
