org,topic,base_score,topic_share,company_focus,hybrid_score
AMD,4,4.3328,0.0063,0.5630,4.3328
AMD,0,2.9716,0.0055,0.3861,2.9716
AMD,6,2.9716,0.0069,0.3861,2.9716
AMD,5,2.8885,0.0045,0.3753,2.8885
AMD,3,2.3296,0.0057,0.3027,2.3296
AMD,7,2.1664,0.0047,0.2815,2.1664
AMD,2,2.0794,0.0044,0.2702,2.0794
ASUS,2,5.5452,0.0117,0.7466,5.5452
ASUS,3,3.1061,0.0077,0.4182,3.1061
ASUS,5,2.8885,0.0045,0.3889,2.8885
ASUS,6,1.4858,0.0035,0.2000,1.4858
ASUS,4,1.4443,0.0021,0.1944,1.4443
ASUS,1,1.0296,0.0115,0.1386,1.0296
ASUS,0,0.7429,0.0014,0.1000,0.7429
ASUS,7,0.7221,0.0016,0.0972,0.7221
BMW,6,2.9716,0.0069,0.6238,2.9716
BMW,5,2.1664,0.0034,0.4548,2.1664
BMW,7,2.1664,0.0047,0.4548,2.1664
BMW,3,1.5531,0.0038,0.3260,1.5531
BMW,1,1.0296,0.0115,0.2161,1.0296
BMW,4,0.7221,0.0011,0.1516,0.7221
BMW,2,0.6931,0.0015,0.1455,0.6931
BOE,5,31.7739,0.0492,0.6131,31.7739
BOE,4,27.4411,0.0401,0.5295,27.4411
BOE,6,16.3440,0.0380,0.3154,16.3440
BOE,2,15.2492,0.0322,0.2943,15.2492
BOE,0,14.8582,0.0275,0.2867,14.8582
BOE,3,13.2010,0.0326,0.2547,13.2010
BOE,7,4.3328,0.0094,0.0836,4.3328
BOE,1,3.0889,0.0345,0.0596,3.0889
BYD,6,4.4575,0.0104,0.7580,4.4575
BYD,7,2.8885,0.0063,0.4912,2.8885
BYD,1,2.0592,0.0230,0.3502,2.0592
BYD,3,0.7765,0.0019,0.1321,0.7765
BYD,4,0.7221,0.0011,0.1228,0.7221
BYD,5,0.7221,0.0011,0.1228,0.7221
BYD,2,0.6931,0.0015,0.1179,0.6931
CES,0,4.4575,0.0083,0.7355,4.4575
CES,4,2.1664,0.0032,0.3575,2.1664
CES,5,2.1664,0.0034,0.3575,2.1664
CES,2,2.0794,0.0044,0.3431,2.0794
CES,7,1.4443,0.0031,0.2383,1.4443
CES,1,1.0296,0.0115,0.1699,1.0296
CSOT,5,20.9419,0.0324,0.7073,20.9419
CSOT,4,14.4427,0.0211,0.4878,14.4427
CSOT,2,9.7041,0.0205,0.3278,9.7041
CSOT,0,8.9149,0.0165,0.3011,8.9149
CSOT,3,6.2122,0.0153,0.2098,6.2122
CSOT,6,2.9716,0.0069,0.1004,2.9716
CSOT,7,2.8885,0.0063,0.0976,2.8885
HP,2,4.8520,0.0102,0.6043,4.8520
HP,0,3.7145,0.0069,0.4626,3.7145
HP,3,3.1061,0.0077,0.3868,3.1061
HP,5,2.8885,0.0045,0.3597,2.8885
HP,6,2.2287,0.0052,0.2776,2.2287
HP,4,1.4443,0.0021,0.1799,1.4443
HP,7,1.4443,0.0031,0.1799,1.4443
Harman,6,2.9716,0.0069,0.6686,2.9716
Harman,2,2.0794,0.0044,0.4678,2.0794
Harman,3,1.5531,0.0038,0.3494,1.5531
Harman,4,1.4443,0.0021,0.3249,1.4443
Harman,1,1.0296,0.0115,0.2316,1.0296
Harman,5,0.7221,0.0011,0.1625,0.7221
Harman,7,0.7221,0.0016,0.1625,0.7221
IoT,7,7.2213,0.0156,0.6141,7.2213
IoT,4,5.0549,0.0074,0.4298,5.0549
IoT,6,4.4575,0.0104,0.3790,4.4575
