term,cur,prev,diff,total,ma7,z_like
amd,4,0,4,5,0.714,1.781
화웨이,1,0,1,3,0.286,0.465
폴더블,3,2,1,18,2.286,0.284
패널,1,0,1,10,0.571,0.244
메타,1,0,1,11,0.571,0.244
게이밍,1,0,1,11,0.857,0.074
삼성전자,4,0,4,57,3.857,0.048
lg전자,1,1,0,23,2.0,-0.414
oled,2,2,0,122,7.714,-1.513
