org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
10월,0,1,3,0,1,1,2,0,1,0,0,0
120Hz,1,1,0,2,0,0,0,0,0,1,0,0
12억달러,2,2,0,3,2,2,3,2,5,2,0,2
1위,5,3,4,4,1,2,1,1,1,4,0,2
2024년,1,1,4,2,2,2,1,1,1,1,0,5
2030년,2,2,0,3,2,2,3,2,5,2,0,2
2030년에,2,2,1,3,2,2,3,2,5,2,0,3
20분,0,0,0,0,0,1,1,1,0,0,0,0
2가지,2,2,0,3,1,0,2,1,2,2,0,0
2개,0,0,0,1,0,1,1,0,0,0,0,0
2분기,4,2,0,5,1,0,0,1,1,5,0,1
32B,0,0,2,0,0,3,0,0,0,0,0,2
3루,0,1,1,0,0,1,0,0,0,0,0,0
3루에,0,1,1,0,0,1,0,0,0,0,0,0
3이닝,0,0,2,0,0,1,0,0,0,0,4,0
4가지,0,0,0,1,0,1,1,0,0,0,0,0
4분기,5,3,3,5,1,2,1,1,1,5,0,1
500니트,1,1,0,2,0,0,0,0,0,1,0,0
5G,2,2,4,2,2,2,3,1,0,2,2,5
7.8B,0,0,2,0,0,3,0,0,0,0,0,2
7경기,0,1,2,0,0,0,0,0,0,0,0,0
8.6G,10,8,6,14,3,5,2,9,7,13,0,3
8.6세대,53,32,22,58,19,24,10,21,17,58,0,8
8세대,4,4,2,10,2,4,2,10,3,8,0,3
8월,1,1,2,2,1,3,0,0,1,1,0,1
AI,12,13,14,15,15,25,7,7,12,10,7,21
Air,0,0,0,1,0,1,1,0,0,0,0,0
AI연구원,0,0,2,0,0,3,0,0,0,0,0,2
AMAZE,1,2,2,2,3,1,1,0,0,1,0,2
AMG,1,1,1,1,0,0,2,0,1,1,0,0
and,0,0,0,0,0,1,0,0,2,0,0,1
APEC,0,0,0,0,0,2,0,0,0,0,1,0
AP시스템,10,10,6,23,3,10,5,25,6,20,0,6
AR,2,2,1,4,2,2,0,1,2,2,1,3
BOE,22,16,15,29,9,10,2,11,8,26,0,8
by,0,0,0,0,0,1,0,0,2,0,0,1
CEO,0,1,1,1,1,6,0,0,0,0,1,2
chips,0,0,0,0,0,1,0,0,2,0,0,1
CIOE,1,1,0,2,1,0,0,0,0,1,0,2
CLE,1,1,1,1,0,0,2,0,1,1,0,0
CLENOX,0,0,0,1,4,1,19,0,12,0,0,1
CNS,5,4,2,3,5,4,1,3,3,3,4,3
cooling,0,0,0,0,0,1,0,0,2,0,0,1
Corintis,0,0,0,0,0,1,0,0,2,0,0,1
CTO,4,2,1,3,2,2,0,1,3,2,0,1
DB손보,0,0,2,0,1,0,0,0,0,0,0,1
ELA,10,10,6,23,3,10,5,25,6,20,0,6
email,0,1,1,0,1,2,0,0,0,0,0,0
EMI,1,1,1,2,2,2,3,2,0,1,0,0
for,0,0,0,0,0,1,0,0,2,0,0,1
H-1B,0,0,3,1,4,2,1,0,1,0,1,2
in,0,0,0,0,0,1,0,0,2,0,0,1
is,0,0,0,0,0,1,0,0,2,0,0,1
IT,18,12,8,18,6,6,3,6,6,19,0,2
ITC,8,6,5,10,3,0,0,3,2,10,0,2
IT기기용,5,3,2,5,3,2,1,2,2,5,0,0
IT용,8,5,0,9,2,1,1,3,4,9,0,1
K-pop,1,2,2,2,3,1,1,0,0,1,0,2
KBL,0,1,0,0,0,0,0,0,0,0,0,0
KBO,0,1,2,0,0,0,0,0,0,0,0,0
KCC,2,1,0,1,0,1,0,0,0,1,0,0
Laser,2,2,1,4,0,2,1,5,1,4,0,1
LCD,8,4,6,7,3,5,2,3,2,4,1,0
LCK,0,0,2,0,0,1,0,0,0,0,4,0
LED,10,8,6,13,7,11,11,5,22,8,0,12
LFD,3,5,0,4,1,1,0,2,2,2,5,0
LG,6,6,7,4,6,11,2,3,3,5,10,6
LG디스플레,48,31,23,41,19,28,13,13,14,44,1,9
LG디스플레이,19,12,9,17,6,10,7,4,6,17,1,3
LG전자,0,1,1,1,1,4,0,0,0,0,0,2
LLO,2,2,2,5,1,2,1,5,1,4,0,1
LTPO,3,3,1,6,1,1,1,3,1,3,0,1
LTPS,2,2,1,4,1,1,1,3,1,2,0,1
Meta,1,1,4,2,2,2,1,1,1,1,0,5
Micro-LED,6,6,3,10,6,9,12,4,20,6,0,11
MS,0,0,0,1,1,3,0,0,2,0,0,2
NB,0,0,0,0,1,1,10,0,6,0,0,1
of,0,0,0,0,0,1,0,0,2,0,0,1
OLED,157,118,71,175,64,81,35,85,62,158,22,45
OMEN,7,11,0,8,2,1,0,5,4,5,9,0
on,0,0,0,0,0,1,0,0,2,0,0,1
P-Complex,0,0,0,0,1,0,5,0,3,0,0,1
PC,3,6,3,4,3,3,1,1,3,4,8,3
PCE,0,0,2,1,1,1,0,0,1,0,0,1
Pin,0,0,0,2,5,1,23,0,15,0,0,1
protected,0,1,1,0,1,2,0,0,0,0,0,0
Ray-Ban,1,1,4,2,2,2,1,1,1,1,0,5
RGB,4,3,0,4,1,1,1,2,3,4,0,0
RPG,4,5,3,5,3,4,0,1,3,5,12,3
SBA,0,1,0,0,1,0,2,0,1,1,0,0
Shot,0,0,0,2,5,1,23,0,15,0,0,1
SK,0,1,0,0,0,0,0,0,0,0,0,0
SON,0,0,2,0,0,1,0,0,0,0,4,0
SSG,0,1,2,0,0,0,0,0,0,0,0,0
SUV,2,2,1,4,3,1,3,1,1,2,0,2
