term,cur,prev,diff,total,ma7,z_like
스트레처블,1,0,1,3,0.143,0.622
롤러블,1,0,1,5,0.143,0.622
아이패드,1,1,0,7,0.286,0.465
lg디스플레이,1,0,1,69,1.0,0.0
oled,3,0,3,133,3.143,-0.052
