entity,type,freq,sample_count
A2A,PRODUCT,11,1
iX3,PRODUCT,3,1
G3,PRODUCT,2,1
LG디스플레이,ORG,2,1
삼성디스플레이,ORG,2,2
G7,PRODUCT,1,1
MP4,PRODUCT,1,1
TOP3,PRODUCT,1,1
구글,ORG,1,1
대모험2,PRODUCT,1,1
브레인핏45,PRODUCT,1,1
빅5,PRODUCT,1,1
삼성전자,ORG,1,1
아이폰,BRAND,1,1
애플,ORG,1,1
폴스타5,PRODUCT,1,1
