term,cur,prev,diff,ma7,z_like,total
고려아연,7,0,7,1.0,3.0,7
it자산,6,0,6,0.857,2.67,6
기부,6,0,6,0.857,2.67,7
발광재료,6,0,6,0.857,2.67,6
탑재,6,1,5,1.0,2.5,7
메타,8,0,8,2.0,2.485,15
교육,6,0,6,1.143,2.348,9
내년,6,0,6,1.143,2.348,13
경영닥터제,5,0,5,0.714,2.323,5
발대식,5,0,5,0.714,2.323,5
2기,4,0,4,0.571,1.953,4
루벤티스,4,0,4,0.571,1.953,4
우위,4,0,4,0.571,1.953,4
맞춤형,4,0,4,0.714,1.781,10
파트너,4,0,4,0.714,1.781,6
성장,6,0,6,1.857,1.753,15
서비스,4,2,2,0.857,1.632,6
선정,4,0,4,0.857,1.632,9
퀄컴,4,0,4,0.857,1.632,6
기대감,5,1,4,1.429,1.627,10
14,3,0,3,0.429,1.554,3
29일,3,0,3,0.429,1.554,3
4년만에,3,0,3,0.429,1.554,3
500hz,3,0,3,0.429,1.554,3
799달러,3,0,3,0.429,1.554,3
aoc,3,0,3,0.429,1.554,3
q27g4kd,3,0,3,0.429,1.554,3
to,3,0,3,0.429,1.554,6
검토,3,0,3,0.429,1.554,4
격차,3,0,3,0.429,1.554,3
견본주택,3,0,3,0.429,1.554,3
동일하이빌,3,0,3,0.429,1.554,3
롯데장학재단,3,0,3,0.429,1.554,3
보잉,3,0,3,0.429,1.554,3
보잉코리아,3,0,3,0.429,1.554,3
사피엔반도체,3,0,3,0.429,1.554,3
소액결제,3,0,3,0.429,1.554,3
수혜,3,0,3,0.429,1.554,3
신한투자,3,0,3,0.429,1.554,3
실천,3,0,3,0.429,1.554,3
알파스캔,3,0,3,0.429,1.554,3
에미상,3,0,3,0.429,1.554,3
이사회,3,0,3,0.429,1.554,3
자원순환,3,0,3,0.429,1.554,3
정보취약계층에,3,0,3,0.429,1.554,3
중소,3,0,3,0.429,1.554,3
카드,3,0,3,0.429,1.554,3
파크레인,3,0,3,0.429,1.554,3
피해,3,0,3,0.429,1.554,4
한경협,3,0,3,0.429,1.554,3
한국인,3,0,3,0.429,1.554,3
흑자전환,3,0,3,0.429,1.554,4
전쟁,5,0,5,1.571,1.521,11
글래스,4,0,4,1.0,1.5,7
전자,4,3,1,1.0,1.5,7
스마트폰,5,2,3,1.714,1.423,13
26일,3,0,3,0.571,1.383,4
kodex,3,1,2,0.571,1.383,5
가격,3,0,3,0.571,1.383,4
개발,3,0,3,0.571,1.383,7
개선,3,0,3,0.571,1.383,4
공략,3,0,3,0.571,1.383,7
사업,3,0,3,0.571,1.383,4
온라인,3,0,3,0.571,1.383,4
청문회,3,1,2,0.571,1.383,4
패널,3,0,3,0.571,1.383,7
해소,3,0,3,0.571,1.383,4
본격,4,1,3,1.143,1.381,10
삼성sdi,4,2,2,1.143,1.381,8
아이폰,4,2,2,1.143,1.381,12
삼성디스플레이,5,0,5,1.857,1.33,15
