org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
.attr,3,0,1,1,1,1,1,1,0,1,1
.css,3,0,1,1,1,1,1,1,0,1,1
.find,3,0,1,1,1,1,1,1,0,1,1
.val,3,0,1,1,1,1,1,1,0,1,1
1로,1,1,3,0,1,1,2,0,0,0,0
2023년,1,1,1,0,0,0,1,4,2,0,1
2025년,1,0,0,0,0,0,0,0,0,0,0
2026년형,2,0,2,1,1,0,1,1,0,2,1
2026학년도,1,1,3,0,1,1,2,0,0,0,0
26일부터,3,0,2,1,1,1,2,0,0,1,0
2차전지,2,1,3,0,0,1,2,1,1,1,5
3년간,1,0,2,0,0,0,2,5,2,0,0
3분기,1,0,3,1,2,0,3,2,1,2,1
3종,0,0,1,0,1,2,1,0,0,0,1
40도,1,1,0,0,0,0,2,0,0,0,1
4855억,1,0,3,1,2,0,3,2,1,2,1
4성,0,0,1,0,1,2,1,0,0,0,1
50주년,0,0,1,0,0,0,0,0,0,0,0
6시,0,0,1,0,0,0,0,0,0,0,0
70명,0,1,1,0,0,0,0,0,0,0,0
7호실,1,0,1,0,0,0,1,0,0,0,0
8.6세대,2,1,2,0,0,1,2,8,4,0,3
8월,1,0,0,0,0,0,0,0,0,0,0
9건,1,1,2,0,0,0,1,1,0,1,0
9월,1,4,0,0,0,3,1,0,0,0,0
AI,26,3,15,7,18,12,18,17,13,8,11
AMD,2,1,2,0,1,1,1,0,0,0,1
Apple,1,0,1,0,0,2,0,0,0,0,0
A씨,3,0,0,0,0,0,1,0,0,0,0
BOE,5,1,6,0,0,1,7,18,8,0,3
BYD,2,0,2,1,1,0,1,1,0,2,1
CBC뉴스,4,1,4,0,0,10,2,1,0,0,1
CD,3,0,1,1,1,1,1,1,0,1,1
CPU,5,1,3,0,1,2,3,1,1,0,1
CSOT,1,0,1,0,0,1,1,4,2,0,2
Design,4,0,3,4,10,2,2,6,4,4,1
else,3,0,1,1,1,1,1,1,0,1,1
email,1,1,1,0,0,2,1,1,0,0,1
ESG,0,1,1,0,0,0,0,0,0,0,0
ESS,2,1,3,0,0,1,2,1,1,1,5
ETERNA,1,0,1,0,0,2,0,0,0,0,0
FE,2,0,0,0,1,1,2,0,0,0,0
function,3,0,1,1,1,1,1,1,0,1,1
GFX,3,0,1,1,1,4,3,2,3,1,2
HK이노엔,0,1,1,0,0,0,0,0,0,0,0
HPSP,4,2,5,0,2,2,4,2,1,0,10
id,3,0,1,1,1,1,1,1,0,1,1
IDEA,18,0,17,37,29,2,9,8,6,24,2
iF,1,0,3,3,4,1,1,1,0,2,0
if,3,0,1,1,1,1,1,1,0,1,1
ITC,2,0,2,0,0,0,3,5,2,0,0
IT용,2,1,2,0,0,1,2,8,4,0,3
JV,3,1,3,0,1,2,2,4,5,0,3
KBS,0,0,1,0,0,0,0,0,0,0,0
KBS2TV,1,0,1,0,0,0,0,1,0,0,0
KizunaAI,3,0,2,1,1,1,2,0,0,1,0
KODEX,2,1,3,0,1,0,3,1,2,0,5
KT,3,1,3,0,1,2,2,4,5,0,3
