org,topic,base_score,topic_share,company_focus,hybrid_score
AUO,7,5.6555,0.0323,0.6152,5.6555
AUO,6,4.2109,0.0263,0.4580,4.2109
AUO,3,3.0080,0.0191,0.3272,3.0080
AUO,0,2.9453,0.0215,0.3204,2.9453
AUO,4,2.7726,0.0151,0.3016,2.7726
AUO,5,2.7196,0.0227,0.2958,2.7196
AUO,2,1.4139,0.0097,0.1538,1.4139
BOE,7,10.6041,0.0605,0.5145,10.6041
BOE,3,9.0239,0.0574,0.4378,9.0239
BOE,5,8.1588,0.0682,0.3959,8.1588
BOE,4,6.9315,0.0377,0.3363,6.9315
BOE,0,6.6269,0.0484,0.3215,6.6269
BOE,2,6.3625,0.0437,0.3087,6.3625
BOE,6,5.0531,0.0316,0.2452,5.0531
BOE,1,2.5265,0.0147,0.1226,2.5265
CES,2,0.7069,0.0049,0.5886,0.7069
CES,4,0.6931,0.0038,0.5771,0.6931
CES,5,0.6799,0.0057,0.5661,0.6799
CSOT,3,7.5199,0.0478,0.6089,7.5199
CSOT,2,4.9486,0.0340,0.4007,4.9486
CSOT,7,4.9486,0.0282,0.4007,4.9486
CSOT,0,3.6816,0.0269,0.2981,3.6816
CSOT,5,3.3995,0.0284,0.2753,3.3995
CSOT,6,3.3687,0.0211,0.2728,3.3687
CSOT,4,2.7726,0.0151,0.2245,2.7726
CSOT,1,1.6844,0.0098,0.1364,1.6844
Counterpoint,1,0.8422,0.0049,0.6514,0.8422
Counterpoint,7,0.7069,0.0040,0.5468,0.7069
Counterpoint,5,0.6799,0.0057,0.5259,0.6799
Innolux,7,5.6555,0.0323,0.6152,5.6555
Innolux,6,4.2109,0.0263,0.4580,4.2109
Innolux,3,3.0080,0.0191,0.3272,3.0080
Innolux,0,2.9453,0.0215,0.3204,2.9453
Innolux,4,2.7726,0.0151,0.3016,2.7726
Innolux,5,2.7196,0.0227,0.2958,2.7196
Innolux,2,1.4139,0.0097,0.1538,1.4139
IoT,1,7.5796,0.0441,0.6806,7.5796
IoT,6,5.0531,0.0316,0.4537,5.0531
IoT,0,4.4179,0.0323,0.3967,4.4179
IoT,4,3.4657,0.0189,0.3112,3.4657
IoT,7,2.8278,0.0161,0.2539,2.8278
IoT,3,0.7520,0.0048,0.0675,0.7520
IoT,2,0.7069,0.0049,0.0635,0.7069
IoT,5,0.6799,0.0057,0.0610,0.6799
JDI,3,5.2639,0.0335,0.5288,5.2639
JDI,6,4.2109,0.0263,0.4230,4.2109
JDI,4,4.1589,0.0226,0.4178,4.1589
JDI,7,3.5347,0.0202,0.3551,3.5347
JDI,1,3.3687,0.0196,0.3384,3.3687
JDI,0,2.9453,0.0215,0.2959,2.9453
JDI,2,1.4139,0.0097,0.1420,1.4139
JDI,5,1.3598,0.0114,0.1366,1.3598
LG디스플레이,3,15.7917,0.1005,0.4793,15.7917
LG디스플레이,7,14.1388,0.0806,0.4291,14.1388
LG디스플레이,4,13.1698,0.0717,0.3997,13.1698
LG디스플레이,1,11.7906,0.0686,0.3578,11.7906
LG디스플레이,2,11.3110,0.0777,0.3433,11.3110
LG디스플레이,6,9.2640,0.0579,0.2812,9.2640
LG디스플레이,5,7.4789,0.0625,0.2270,7.4789
LG디스플레이,0,7.3632,0.0538,0.2235,7.3632
LG전자,1,25.2655,0.1471,0.4909,25.2655
LG전자,4,22.8739,0.1245,0.4445,22.8739
LG전자,6,21.8968,0.1368,0.4255,21.8968
LG전자,7,17.6735,0.1008,0.3434,17.6735
LG전자,0,15.4627,0.1129,0.3005,15.4627
LG전자,5,12.9181,0.1080,0.2510,12.9181
LG전자,3,12.0318,0.0766,0.2338,12.0318
LG전자,2,12.0180,0.0825,0.2335,12.0180
LG화학,2,4.2416,0.0291,0.5800,4.2416
LG화학,4,3.4657,0.0189,0.4739,3.4657
LG화학,1,3.3687,0.0196,0.4606,3.3687
LG화학,5,2.7196,0.0227,0.3719,2.7196
LG화학,0,1.4726,0.0108,0.2014,1.4726
LG화학,7,1.4139,0.0081,0.1933,1.4139
LG화학,3,0.7520,0.0048,0.1028,0.7520
SK하이닉스,2,4.2416,0.0291,0.5800,4.2416
SK하이닉스,4,3.4657,0.0189,0.4739,3.4657
SK하이닉스,1,3.3687,0.0196,0.4606,3.3687
SK하이닉스,5,2.7196,0.0227,0.3719,2.7196
SK하이닉스,0,1.4726,0.0108,0.2014,1.4726
SK하이닉스,7,1.4139,0.0081,0.1933,1.4139
SK하이닉스,3,0.7520,0.0048,0.1028,0.7520
Semiconductor,6,6.7375,0.0421,0.5728,6.7375
Semiconductor,4,6.2383,0.0340,0.5304,6.2383
Semiconductor,1,5.8953,0.0343,0.5012,5.8953
Semiconductor,0,2.9453,0.0215,0.2504,2.9453
Semiconductor,2,2.1208,0.0146,0.1803,2.1208
Semiconductor,3,1.5040,0.0096,0.1279,1.5040
Semiconductor,7,1.4139,0.0081,0.1202,1.4139
Semiconductor,5,1.3598,0.0114,0.1156,1.3598
TCL,7,0.7069,0.0040,0.5886,0.7069
TCL,4,0.6931,0.0038,0.5771,0.6931
TCL,5,0.6799,0.0057,0.5661,0.6799
TSMC,4,5.5452,0.0302,0.6015,5.5452
TSMC,1,5.0531,0.0294,0.5481,5.0531
TSMC,2,2.8278,0.0194,0.3067,2.8278
TSMC,5,2.7196,0.0227,0.2950,2.7196
TSMC,3,2.2560,0.0144,0.2447,2.2560
TSMC,0,2.2090,0.0161,0.2396,2.2090
TSMC,6,1.6844,0.0105,0.1827,1.6844
TSMC,7,0.7069,0.0040,0.0767,0.7069
Tianma,7,7.7763,0.0444,0.6492,7.7763
Tianma,5,5.4392,0.0455,0.4541,5.4392
Tianma,6,4.2109,0.0263,0.3515,4.2109
Tianma,3,3.7599,0.0239,0.3139,3.7599
Tianma,0,2.9453,0.0215,0.2459,2.9453
Tianma,4,2.7726,0.0151,0.2315,2.7726
Tianma,2,2.1208,0.0146,0.1770,2.1208
Tianma,1,0.8422,0.0049,0.0703,0.8422
Visionox,3,3.0080,0.0191,0.5347,3.0080
Visionox,2,2.8278,0.0194,0.5027,2.8278
Visionox,0,2.2090,0.0161,0.3927,2.2090
Visionox,7,2.1208,0.0121,0.3770,2.1208
Visionox,6,1.6844,0.0105,0.2994,1.6844
