org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
AUO,2.95 (2%),,1.41 (1%),3.01 (2%),2.77 (2%),2.72 (2%),4.21 (3%),5.66 (3%)
BOE,6.63 (5%),2.53 (1%),6.36 (4%),9.02 (6%),6.93 (4%),8.16 (7%),5.05 (3%),10.60 (6%)
CES,,,0.71 (0%),,0.69 (0%),0.68 (1%),,
CSOT,3.68 (3%),1.68 (1%),4.95 (3%),7.52 (5%),2.77 (2%),3.40 (3%),3.37 (2%),4.95 (3%)
Counterpoint,,0.84 (0%),,,,0.68 (1%),,0.71 (0%)
Innolux,2.95 (2%),,1.41 (1%),3.01 (2%),2.77 (2%),2.72 (2%),4.21 (3%),5.66 (3%)
IoT,4.42 (3%),7.58 (4%),0.71 (0%),0.75 (0%),3.47 (2%),0.68 (1%),5.05 (3%),2.83 (2%)
JDI,2.95 (2%),3.37 (2%),1.41 (1%),5.26 (3%),4.16 (2%),1.36 (1%),4.21 (3%),3.53 (2%)
LG디스플레이,7.36 (5%),11.79 (7%),11.31 (8%),15.79 (10%),13.17 (7%),7.48 (6%),9.26 (6%),14.14 (8%)
LG전자,15.46 (11%),25.27 (15%),12.02 (8%),12.03 (8%),22.87 (12%),12.92 (11%),21.90 (14%),17.67 (10%)
LG화학,1.47 (1%),3.37 (2%),4.24 (3%),0.75 (0%),3.47 (2%),2.72 (2%),,1.41 (1%)
SK하이닉스,1.47 (1%),3.37 (2%),4.24 (3%),0.75 (0%),3.47 (2%),2.72 (2%),,1.41 (1%)
Semiconductor,2.95 (2%),5.90 (3%),2.12 (1%),1.50 (1%),6.24 (3%),1.36 (1%),6.74 (4%),1.41 (1%)
TCL,,,,,0.69 (0%),0.68 (1%),,0.71 (0%)
TSMC,2.21 (2%),5.05 (3%),2.83 (2%),2.26 (1%),5.55 (3%),2.72 (2%),1.68 (1%),0.71 (0%)
Tianma,2.95 (2%),0.84 (0%),2.12 (1%),3.76 (2%),2.77 (2%),5.44 (5%),4.21 (3%),7.78 (4%)
Visionox,2.21 (2%),,2.83 (2%),3.01 (2%),1.39 (1%),0.68 (1%),1.68 (1%),2.12 (1%)
구글,3.68 (3%),10.95 (6%),2.12 (1%),3.01 (2%),6.24 (3%),3.40 (3%),9.26 (6%),4.24 (2%)
기아,1.47 (1%),3.37 (2%),4.24 (3%),0.75 (0%),3.47 (2%),2.72 (2%),,1.41 (1%)
마이크로소프트,1.47 (1%),1.68 (1%),2.12 (1%),2.26 (1%),2.77 (2%),1.36 (1%),0.84 (1%),2.12 (1%)
메타,3.68 (3%),7.58 (4%),3.53 (2%),4.51 (3%),6.93 (4%),4.08 (3%),5.90 (4%),4.95 (3%)
비보,2.21 (2%),,2.83 (2%),3.01 (2%),1.39 (1%),0.68 (1%),1.68 (1%),2.12 (1%)
삼성디스플레이,5.15 (4%),5.05 (3%),7.78 (5%),12.78 (8%),6.93 (4%),4.08 (3%),8.42 (5%),11.31 (6%)
삼성전자,14.73 (11%),26.95 (16%),19.09 (13%),24.06 (15%),24.26 (13%),19.04 (16%),23.58 (15%),27.57 (16%)
샤오미,2.21 (2%),,2.83 (2%),3.01 (2%),1.39 (1%),0.68 (1%),1.68 (1%),2.12 (1%)
샤프,2.95 (2%),,1.41 (1%),3.01 (2%),2.77 (2%),2.72 (2%),4.21 (3%),5.66 (3%)
아마존,1.47 (1%),1.68 (1%),2.12 (1%),2.26 (1%),2.77 (2%),1.36 (1%),0.84 (1%),2.12 (1%)
알파벳,1.47 (1%),1.68 (1%),2.12 (1%),2.26 (1%),2.77 (2%),1.36 (1%),0.84 (1%),2.12 (1%)
애플,21.35 (16%),12.63 (7%),14.85 (10%),17.30 (11%),13.17 (7%),6.80 (6%),20.21 (13%),15.55 (9%)
엔비디아,5.89 (4%),9.26 (5%),2.83 (2%),3.01 (2%),6.24 (3%),2.04 (2%),5.90 (4%),4.95 (3%)
오포,2.21 (2%),,2.83 (2%),3.01 (2%),1.39 (1%),0.68 (1%),1.68 (1%),2.12 (1%)
원익IPS,2.21 (2%),5.05 (3%),2.12 (1%),2.26 (1%),4.85 (3%),2.04 (2%),1.68 (1%),0.71 (0%)
카카오,1.47 (1%),3.37 (2%),4.24 (3%),0.75 (0%),3.47 (2%),2.72 (2%),,1.41 (1%)
하이센스,,,0.71 (0%),,0.69 (0%),0.68 (1%),,
한미반도체,1.47 (1%),3.37 (2%),4.24 (3%),0.75 (0%),3.47 (2%),2.72 (2%),,1.41 (1%)
현대자동차,0.74 (1%),4.21 (2%),0.71 (0%),,2.08 (1%),0.68 (1%),1.68 (1%),0.71 (0%)
현대차,1.47 (1%),3.37 (2%),4.24 (3%),0.75 (0%),3.47 (2%),2.72 (2%),,1.41 (1%)
