org,topic,base_score,topic_share,company_focus,hybrid_score
AMD,4,0.7835,0.0045,0.4273,0.7835
AMD,6,0.7835,0.0030,0.4273,0.7835
AMD,1,0.7691,0.0021,0.4194,0.7691
AMD,12,0.7419,0.0026,0.4046,0.7419
AMD,11,0.7047,0.0025,0.3843,0.7047
AMD,13,0.7047,0.0029,0.3843,0.7047
ASUS,4,6.2682,0.0359,0.7697,6.2682
ASUS,6,3.1341,0.0120,0.3849,3.1341
ASUS,13,2.1141,0.0086,0.2596,2.1141
ASUS,5,1.7300,0.0112,0.2124,1.7300
ASUS,2,1.5970,0.0058,0.1961,1.5970
ASUS,1,1.5383,0.0043,0.1889,1.5383
ASUS,12,1.4839,0.0053,0.1822,1.4839
ASUS,11,1.4094,0.0051,0.1731,1.4094
ASUS,3,0.7985,0.0046,0.0981,0.7985
BOE,1,23.8431,0.0664,0.4899,23.8431
BOE,6,18.8047,0.0723,0.3863,18.8047
BOE,7,16.9209,0.0598,0.3476,16.9209
BOE,12,16.3226,0.0580,0.3354,16.3226
BOE,11,15.5036,0.0558,0.3185,15.5036
BOE,0,12.3943,0.0306,0.2546,12.3943
BOE,13,11.2753,0.0457,0.2317,11.2753
BOE,4,9.4024,0.0538,0.1932,9.4024
BOE,3,8.7836,0.0507,0.1805,8.7836
BOE,8,8.6188,0.0512,0.1771,8.6188
BOE,5,6.9200,0.0447,0.1422,6.9200
BOE,9,6.6774,0.0265,0.1372,6.6774
BOE,2,6.3881,0.0232,0.1312,6.3881
CES,0,3.6454,0.0090,0.6568,3.6454
CES,11,2.8188,0.0102,0.5079,2.8188
CES,9,2.2258,0.0088,0.4010,2.2258
CES,1,1.5383,0.0043,0.2771,1.5383
CES,8,0.7835,0.0047,0.1412,0.7835
CES,7,0.7691,0.0027,0.1386,0.7691
CES,12,0.7419,0.0026,0.1337,0.7419
CES,13,0.7047,0.0029,0.1270,0.7047
CSOT,6,10.9694,0.0422,0.4374,10.9694
CSOT,1,10.7679,0.0300,0.4294,10.7679
CSOT,11,9.1612,0.0330,0.3653,9.1612
CSOT,12,8.9032,0.0317,0.3550,8.9032
CSOT,7,7.6913,0.0272,0.3067,7.6913
CSOT,0,7.2908,0.0180,0.2907,7.2908
CSOT,9,5.1936,0.0206,0.2071,5.1936
CSOT,13,4.9330,0.0200,0.1967,4.9330
CSOT,3,4.7910,0.0276,0.1910,4.7910
CSOT,4,3.9177,0.0224,0.1562,3.9177
