org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
10월,0,0,0,0,0,3,0,0,0,0,0,1
10주년,0,0,0,0,0,0,0,0,0,0,1,2
119구급대,0,0,0,0,0,0,0,0,0,0,0,1
120Hz,0,0,1,1,0,0,1,0,0,0,1,0
12억달러,1,1,3,2,2,0,4,1,5,3,1,1
16년간,0,0,0,0,1,0,1,0,0,0,0,0
1948년,0,0,0,0,0,1,0,0,0,0,0,0
1년동안,1,0,1,0,3,0,2,0,0,0,0,1
1실점,0,0,0,0,0,10,0,0,0,0,0,0
2024년,6,1,8,2,7,1,9,3,4,2,5,6
2025년,6,1,9,2,9,1,9,3,4,3,5,7
2030년,1,1,3,2,2,0,4,1,5,3,1,1
2030년에,1,1,3,2,2,0,3,1,5,3,1,1
25곳,1,0,1,0,3,0,2,0,0,0,0,1
2가지,0,1,2,1,0,0,2,1,2,1,1,0
2분기,7,3,8,14,3,2,8,14,8,5,12,6
3분기,5,2,5,10,2,1,6,9,4,3,8,4
3천4백,1,0,1,0,3,1,1,0,0,0,0,1
3천5백억,1,0,1,0,3,1,1,0,0,0,0,1
4.5일제,1,0,1,0,2,3,4,0,1,2,0,2
500니트,0,0,1,1,0,0,1,0,0,0,1,0
5G,3,0,3,2,5,1,4,1,0,3,1,4
5성급,0,0,0,0,0,0,0,0,0,0,1,2
5세대,1,1,3,1,4,1,4,1,1,2,0,2
5탈삼진,0,0,0,0,0,10,0,0,0,0,0,0
6월,0,0,0,0,0,0,1,0,0,0,0,2
6이닝,0,0,0,0,0,10,0,0,0,0,0,0
78년,0,0,0,0,0,1,0,0,0,0,0,0
7피안타,0,0,0,0,0,10,0,0,0,0,0,0
7회,0,0,0,0,0,10,0,0,0,0,0,0
8.6G,3,1,3,1,1,0,2,2,3,0,4,3
8.6세대,34,12,34,46,14,11,34,52,34,7,52,29
8세대,10,3,12,7,5,2,9,9,9,1,13,5
8시50분,1,0,0,0,1,0,1,0,0,0,1,4
8월,2,0,0,0,2,1,2,0,0,2,1,6
9월25일,1,0,1,0,3,0,2,0,0,0,0,1
advertisement,1,0,1,0,2,3,4,0,1,2,0,2
AI,25,11,32,27,34,11,53,24,22,17,21,29
AMAZE,0,0,2,1,3,0,5,0,0,1,0,2
and,0,0,0,0,2,0,1,0,1,0,0,0
AP시스템,15,5,20,5,6,1,9,10,15,0,20,9
AR,2,1,2,1,3,0,3,1,3,0,3,3
A씨,0,0,0,0,0,0,0,0,0,0,0,1
BOE,8,3,7,9,4,1,10,9,7,1,12,6
by,0,0,0,0,2,0,1,0,1,0,0,0
B씨,0,0,0,0,0,0,0,0,0,0,0,1
CCTV,1,0,0,0,0,1,0,0,0,1,0,2
chips,0,0,0,0,2,0,1,0,1,0,0,0
CIOE,3,0,5,1,5,1,5,0,1,1,1,2
CLENOX,0,0,1,0,0,0,4,0,8,19,0,0
CLS,0,0,1,0,0,3,0,0,0,3,0,3
CNS,3,5,2,3,2,2,5,4,5,1,2,3
cooling,0,0,0,0,2,0,1,0,1,0,0,0
Corintis,0,0,0,0,2,0,1,0,1,0,0,0
DX,1,0,1,0,1,1,2,0,0,0,0,0
ELA,15,5,20,5,6,1,9,10,15,0,20,9
for,0,0,0,0,2,0,1,0,1,0,0,0
GPU,2,0,4,0,4,0,4,0,1,2,1,3
H-1B,0,0,5,0,3,0,3,0,3,0,0,2
in,0,0,0,0,2,0,1,0,1,0,0,0
is,0,0,0,0,2,0,1,0,1,0,0,0
IT,4,2,4,10,0,2,4,10,4,2,7,4
K-pop,0,0,2,1,3,0,5,0,0,1,0,2
KBO,0,0,0,0,0,20,0,0,0,0,0,0
KIA,0,0,0,0,0,3,0,0,0,0,0,1
KODEX,5,0,2,0,2,0,2,0,0,2,1,4
KOTRA,3,0,5,1,5,1,5,0,1,1,1,2
Laser,3,1,4,1,1,0,1,2,3,0,4,2
LCD,5,2,5,4,1,3,6,6,6,2,8,7
LCK,0,2,0,0,0,6,0,0,0,0,0,7
LED,4,3,11,10,9,1,13,7,19,12,6,7
LFD,1,5,2,2,0,0,2,2,3,0,3,2
LG,3,5,2,3,2,30,5,4,5,1,2,3
LG디스플레,21,10,22,38,5,10,29,47,30,10,39,22
LG디스플레이,7,4,8,14,0,5,9,18,11,6,16,7
LG전자,1,0,1,0,2,3,4,0,1,2,0,2
LIG넥스원,1,0,1,0,2,3,4,0,1,2,0,2
LLO,3,1,3,1,1,0,2,2,3,0,4,3
LTPO,2,1,3,2,0,0,3,1,3,1,4,1
LTPS,2,1,2,1,0,0,2,1,3,1,3,1
MHN,0,0,1,0,1,1,1,0,0,0,0,3
Micro-LED,4,2,10,8,9,0,12,2,16,12,2,4
NB,0,0,0,0,0,0,1,0,4,10,0,0
of,0,0,0,0,2,0,1,0,1,0,0,0
OLED,77,70,97,107,35,23,102,125,115,28,127,72
OLED에,4,1,3,5,2,1,4,5,3,1,5,3
OMEN,2,18,6,6,0,0,6,7,9,0,7,4
on,0,0,0,0,2,0,1,0,1,0,0,0
OTFT,2,1,3,1,1,0,3,1,5,0,1,1
P-Complex,0,0,0,0,0,0,1,0,2,5,0,0
PC,1,1,3,1,4,1,4,1,1,2,0,2
Pin,0,0,2,0,0,0,5,0,10,24,0,0
RGB,3,3,5,9,0,3,5,15,9,4,12,5
RPG,1,2,1,1,3,0,3,0,0,0,1,5
SBS,1,0,0,0,1,0,1,0,0,0,1,4
SEMI-e,3,0,5,1,5,1,5,0,1,1,1,2
Shot,0,0,2,0,0,0,5,0,10,24,0,0
SK하이닉스,1,0,1,0,1,0,0,0,0,0,0,0
SOL뱅크,0,0,0,0,0,20,0,0,0,0,0,0
SSG,0,0,0,0,0,3,0,0,0,0,0,1
SUV,1,1,2,1,1,0,3,1,2,2,2,1
TFT,2,1,2,1,0,0,2,1,3,1,3,1
TGS,2,7,3,3,3,0,5,2,3,0,4,7
that,0,0,0,0,2,0,1,0,1,0,0,0
the,0,0,0,0,2,0,1,0,1,0,0,0
THE,0,0,0,0,0,0,0,0,0,0,1,2
to,0,0,0,0,2,0,1,0,1,0,0,0
Visionox,3,1,4,1,1,0,2,2,3,0,4,1
